,ts,id,rssi
847,2023-10-05 09:09:38,2,-58
846,2023-10-05 09:21:21,2,-58
845,2023-10-05 09:21:33,2,-100
844,2023-10-05 09:21:39,2,-54
843,2023-10-05 09:21:51,1,-100
842,2023-10-05 09:21:57,1,-58
841,2023-10-05 09:32:57,2,-100
840,2023-10-05 09:33:03,2,-58
839,2023-10-05 09:34:27,1,-100
838,2023-10-05 09:34:27,2,-100
837,2023-10-05 09:34:33,1,-57
836,2023-10-05 09:34:33,2,-54
835,2023-10-05 09:43:34,2,-54
834,2023-10-05 09:50:22,2,-54
833,2023-10-05 09:56:28,2,-54
832,2023-10-05 09:57:40,2,-60
831,2023-10-05 09:58:10,2,-53
830,2023-10-05 09:58:59,2,-59
829,2023-10-05 09:59:23,1,-100
828,2023-10-05 09:59:29,1,-58
827,2023-10-05 09:59:41,1,-100
826,2023-10-05 09:59:47,1,-58
825,2023-10-05 10:00:59,2,-53
824,2023-10-05 10:02:11,2,-59
823,2023-10-05 10:02:41,2,-53
822,2023-10-05 10:02:53,2,-59
821,2023-10-05 10:03:53,2,-53
820,2023-10-05 10:04:11,2,-59
819,2023-10-05 10:04:47,2,-53
818,2023-10-05 10:05:17,2,-59
817,2023-10-05 10:06:17,2,-100
816,2023-10-05 10:06:23,2,-58
815,2023-10-05 10:11:23,2,-100
814,2023-10-05 10:11:29,2,-54
813,2023-10-05 10:16:42,2,-54
812,2023-10-05 10:20:24,2,-100
811,2023-10-05 10:20:42,2,-54
810,2023-10-05 10:23:06,2,-100
809,2023-10-05 10:23:12,2,-58
808,2023-10-05 10:23:42,1,-100
807,2023-10-05 10:23:48,1,-58
806,2023-10-05 10:24:18,2,-100
805,2023-10-05 10:24:24,2,-59
804,2023-10-05 10:25:12,2,-53
803,2023-10-05 10:27:36,2,-100
802,2023-10-05 10:27:42,2,-58
801,2023-10-05 10:43:01,1,-60
800,2023-10-05 10:45:01,2,-100
799,2023-10-05 10:45:07,2,-54
798,2023-10-05 10:49:31,1,-100
797,2023-10-05 10:49:31,2,-100
796,2023-10-05 10:49:37,1,-58
795,2023-10-05 10:49:43,2,-58
794,2023-10-05 10:55:49,2,-100
793,2023-10-05 10:55:55,2,-59
792,2023-10-05 10:57:01,2,-53
791,2023-10-05 10:57:55,2,-59
790,2023-10-05 10:58:02,2,-53
789,2023-10-05 10:58:32,2,-100
788,2023-10-05 10:58:38,2,-53
787,2023-10-05 10:59:14,2,-59
786,2023-10-05 10:59:50,2,-53
785,2023-10-05 11:01:02,2,-59
784,2023-10-05 11:01:14,2,-53
783,2023-10-05 11:01:44,2,-59
782,2023-10-05 11:02:56,2,-53
781,2023-10-05 11:03:50,2,-59
780,2023-10-05 11:04:02,2,-53
779,2023-10-05 11:04:08,2,-59
778,2023-10-05 11:04:38,2,-53
777,2023-10-05 11:04:56,2,-59
776,2023-10-05 11:05:20,2,-53
775,2023-10-05 11:05:32,2,-59
774,2023-10-05 11:06:26,2,-53
773,2023-10-05 11:06:32,2,-59
772,2023-10-05 11:07:08,2,-53
771,2023-10-05 11:07:14,2,-59
770,2023-10-05 11:07:26,2,-53
769,2023-10-05 11:07:32,2,-59
768,2023-10-05 11:08:44,1,-100
767,2023-10-05 11:08:50,1,-58
766,2023-10-05 11:09:08,2,-53
765,2023-10-05 11:09:56,2,-100
764,2023-10-05 11:10:03,2,-54
763,2023-10-05 11:11:03,2,-60
762,2023-10-05 11:11:21,2,-53
761,2023-10-05 11:12:03,1,-100
760,2023-10-05 11:12:09,1,-60
759,2023-10-05 11:12:21,2,-59
758,2023-10-05 11:12:33,2,-53
757,2023-10-05 11:13:15,2,-59
756,2023-10-05 11:13:15,1,-100
755,2023-10-05 11:13:21,2,-53
754,2023-10-05 11:13:27,1,-58
753,2023-10-05 11:13:51,2,-59
752,2023-10-05 11:13:51,1,-100
751,2023-10-05 11:13:57,1,-58
750,2023-10-05 11:14:27,2,-100
749,2023-10-05 11:14:33,2,-58
748,2023-10-05 11:18:57,2,-100
747,2023-10-05 11:19:03,2,-54
746,2023-10-05 11:19:51,2,-100
745,2023-10-05 11:19:57,2,-53
744,2023-10-05 11:20:15,2,-59
743,2023-10-05 11:20:21,2,-53
742,2023-10-05 11:20:33,2,-59
741,2023-10-05 11:20:57,2,-53
740,2023-10-05 11:21:21,2,-100
739,2023-10-05 11:21:33,2,-54
738,2023-10-05 11:22:33,2,-100
737,2023-10-05 11:22:39,2,-57
736,2023-10-05 11:29:40,2,-59
735,2023-10-05 11:29:46,2,-53
734,2023-10-05 11:29:52,2,-59
733,2023-10-05 11:30:10,2,-53
732,2023-10-05 11:30:28,2,-59
731,2023-10-05 11:30:46,2,-53
730,2023-10-05 11:30:52,2,-59
729,2023-10-05 11:31:04,2,-53
728,2023-10-05 11:32:04,2,-60
727,2023-10-05 11:32:10,2,-53
726,2023-10-05 11:33:16,2,-59
725,2023-10-05 11:34:22,2,-53
724,2023-10-05 11:34:28,2,-59
723,2023-10-05 11:34:40,2,-53
722,2023-10-05 11:34:52,2,-59
721,2023-10-05 11:35:28,2,-53
720,2023-10-05 11:36:10,2,-59
719,2023-10-05 11:37:04,2,-53
