Stamp;Agent;Model;Nquadro
25/09/2023 11:12:56;T014;HAMLET-49;202302000079871
25/09/2023 11:14:05;T012;SPT120018W;202301000127595
25/09/2023 11:14:44;T014;HAMLET-49;202302000079868
25/09/2023 11:14:59;T012;SPT120018W;202301000127596
25/09/2023 11:15:45;T012;SPT120018W;202301000127596
25/09/2023 11:16:33;T012;SPT120018W;202301000127596
25/09/2023 11:16:39;T014;HAMLET-49;202302000079870
25/09/2023 11:17:21;T012;SPT120018W;202301000127597
25/09/2023 11:18:13;T012;SPT120018W;202301000127598
25/09/2023 11:19:05;T014;HAMLET-49;202302000079929
25/09/2023 11:19:38;T012;SPT120018W;202301000127599
25/09/2023 11:20:54;T014;HAMLET-49;202302000079930
25/09/2023 11:22:53;T014;HAMLET-49;202302000079931
25/09/2023 11:23:12;T012;SPT120018W;202301000127600
25/09/2023 11:24:00;T012;SPT120018W;202301000127601
25/09/2023 11:24:51;T014;HAMLET-49;202302000079932
25/09/2023 11:25:08;T012;SPT120018W;202301000127602
25/09/2023 11:26:27;T014;HAMLET-49;202302000079867
25/09/2023 11:26:35;T012;SPT120018W;202301000127603
25/09/2023 11:27:53;T012;SPT120018W;202301000127604
25/09/2023 11:28:48;T014;HAMLET-49;202302000079869
25/09/2023 11:30:03;T012;SPT120018W;202301000127605
25/09/2023 11:30:58;T014;HAMLET-49;202302000079933
25/09/2023 11:31:02;T012;SPT120018W;202301000127606
25/09/2023 11:32:53;T012;SPT120018W;202301000127607
25/09/2023 11:32:54;T014;HAMLET-49;202302000079934
25/09/2023 11:33:43;T012;SPT120018W;202301000127608
25/09/2023 11:35:27;T012;SPT120018W;202301000127609
25/09/2023 11:36:25;T014;HAMLET-49;202302000079935
25/09/2023 11:36:41;T012;SPT120018W;202301000127610
25/09/2023 11:37:44;T012;SPT120018W;202301000127611
25/09/2023 11:38:22;T014;HAMLET-49;202302000079936
25/09/2023 11:39:10;T012;SPT120018W;202301000127612
25/09/2023 11:41:30;T012;SPT120018W;202301000127612
25/09/2023 11:41:51;T014;HAMLET-49;202302000079937
25/09/2023 11:42:34;T012;SPT120018W;202301000127613
25/09/2023 11:43:18;T012;SPT120018W;202301000127613
25/09/2023 11:44:13;T014;HAMLET-49;202302000079876
25/09/2023 11:44:44;T012;SPT120018W;202301000127614
25/09/2023 11:45:45;T012;SPT120018W;202301000127615
25/09/2023 11:47:21;T012;SPT120018W;202301000127616
25/09/2023 11:47:55;T014;HAMLET-49;202302000079924
25/09/2023 11:48:17;T012;SPT120018W;202301000127617
25/09/2023 11:49:16;T012;SPT120018W;202301000127618
25/09/2023 11:49:34;T014;HAMLET-49;202302000079923
25/09/2023 11:50:03;T012;SPT120018W;202301000127619
25/09/2023 11:51:09;T012;SPT120018W;202301000127620
25/09/2023 11:51:12;T014;HAMLET-49;202302000079922
25/09/2023 11:53:16;T012;SPT120018W;202301000127621
25/09/2023 11:53:24;T014;HAMLET-49;202302000079922
25/09/2023 11:54:06;T012;SPT120018W;202301000127622
25/09/2023 11:56:04;T014;HAMLET-49;202302000079921
25/09/2023 11:56:43;T012;SPT120018W;202301000127623
25/09/2023 11:58:03;T014;HAMLET-49;202302000079920
25/09/2023 11:58:24;T012;SPT120018W;202301000127624
25/09/2023 12:00:10;T012;SPT120018W;202301000127625
25/09/2023 12:00:48;T014;HAMLET-49;202302000079919
25/09/2023 12:01:50;T012;SPT120018W;202301000127626
25/09/2023 12:02:39;T012;SPT120018W;202301000127627
25/09/2023 12:03:14;T014;HAMLET-49;202302000079918
25/09/2023 12:04:57;T014;HAMLET-49;202302000079917
25/09/2023 12:05:40;T012;SPT120018W;202301000127629
25/09/2023 12:06:33;T014;HAMLET-49;202302000079924
25/09/2023 12:07:21;T012;SPT120018W;202301000127630
25/09/2023 12:07:51;T014;HAMLET-49;202302000079924
25/09/2023 12:08:09;T012;SPT120018W;202301000127631
25/09/2023 12:09:34;T014;HAMLET-49;202302000079924
25/09/2023 12:09:45;T012;SPT120018W;202301000127632
25/09/2023 12:11:42;T014;HAMLET-49;202302000079916
25/09/2023 12:12:50;T012;SPT120018W;202301000127633
25/09/2023 12:13:28;T014;HAMLET-49;202302000079915
25/09/2023 12:14:46;T012;SPT120018W;202301000127633
25/09/2023 12:14:53;T014;HAMLET-49;202302000079915
25/09/2023 12:15:34;T012;SPT120018W;202301000127628
25/09/2023 12:16:36;T012;SPT120018W;202301000127634
25/09/2023 12:16:46;T014;HAMLET-49;202302000079914
25/09/2023 12:17:40;T012;SPT120018W;202301000127635
25/09/2023 12:18:44;T012;SPT120018W;202301000127636
25/09/2023 12:19:05;T014;HAMLET-49;202302000079913
25/09/2023 12:19:38;T012;SPT120018W;202301000127637
25/09/2023 12:21:30;T012;SPT120018W;202301000127638
25/09/2023 12:21:37;T014;HAMLET-49;202302000079877
25/09/2023 12:23:11;T012;SPT120018W;202301000127639
25/09/2023 12:23:50;T014;HAMLET-49;202302000079949
25/09/2023 12:25:14;T012;SPT120018W;202301000127640
25/09/2023 12:25:44;T014;HAMLET-49;202302000079948
25/09/2023 12:26:44;T012;SPT120018W;202301000127641
25/09/2023 12:27:43;T014;HAMLET-49;202302000079947
25/09/2023 12:27:51;T012;SPT120018W;202301000127642
25/09/2023 12:29:26;T012;SPT120018W;202301000127643
25/09/2023 12:30:08;T014;HAMLET-49;202302000079946
25/09/2023 12:30:24;T012;SPT120018W;202301000127644
25/09/2023 12:32:06;T012;SPT120018W;202301000127645
25/09/2023 12:32:43;T014;HAMLET-49;202302000079945
25/09/2023 12:33:25;T012;SPT120018W;202301000127646
25/09/2023 12:34:36;T014;HAMLET-49;202302000079944
25/09/2023 12:34:43;T012;SPT120018W;202301000127647
25/09/2023 12:36:34;T012;SPT120018W;202301000127648
25/09/2023 12:37:30;T014;HAMLET-49;202302000079943
25/09/2023 12:37:48;T012;SPT120018W;202301000127649
25/09/2023 12:39:13;T014;HAMLET-49;202302000079942
25/09/2023 12:39:23;T012;SPT120018W;202301000127650
25/09/2023 12:40:11;T012;SPT120018W;202301000127650
25/09/2023 12:40:55;T014;HAMLET-49;202302000079941
25/09/2023 12:41:04;T012;SPT120018W;202301000127651
25/09/2023 12:42:04;T012;SPT120018W;202301000127652
25/09/2023 12:43:38;T012;SPT120018W;202301000127653
25/09/2023 12:43:46;T014;HAMLET-49;202302000079940
25/09/2023 12:45:06;T012;SPT120018W;202301000127654
25/09/2023 12:45:50;T014;HAMLET-49;202302000079939
25/09/2023 12:46:22;T012;SPT120018W;202301000127655
25/09/2023 12:48:01;T012;SPT120018W;202301000127656
25/09/2023 12:48:20;T014;HAMLET-49;202302000079938
25/09/2023 12:49:03;T012;SPT120018W;202301000127657
25/09/2023 12:50:18;T012;SPT120018W;202301000127658
25/09/2023 12:52:25;T012;SPT120018W;202301000127659
25/09/2023 12:53:25;T012;SPT120018W;202301000127660
25/09/2023 12:54:45;T012;SPT120018W;202301000127658
25/09/2023 12:55:38;T012;SPT120018W;202301000127661
25/09/2023 12:56:38;T014;HAMLET-49;202302000079957
25/09/2023 12:57:06;T012;SPT120018W;202301000127662
25/09/2023 12:58:01;T012;SPT120018W;202301000127663
25/09/2023 12:58:41;T014;HAMLET-49;202302000079956
25/09/2023 12:58:47;T012;SPT120018W;202301000127663
25/09/2023 14:01:27;T012;SPT120018W;202301000127664
25/09/2023 14:04:50;T012;SPT120018W;202301000127665
25/09/2023 14:05:47;T012;SPT120018W;202301000127666
25/09/2023 14:06:57;T012;SPT120018W;202301000127667
25/09/2023 14:09:10;T012;SPT120018W;202301000127668
25/09/2023 14:09:55;T014;HAMLET-49;202302000079955
25/09/2023 14:12:25;T012;SPT120018W;202301000127669
25/09/2023 14:12:38;T014;HAMLET-49;202302000079954
25/09/2023 14:13:51;T012;SPT120018W;202301000127670
25/09/2023 14:15:50;T012;SPT120018W;202301000127671
25/09/2023 14:16:43;T012;SPT120018W;202301000127672
25/09/2023 14:19:38;T012;SPT120018W;202301000127673
25/09/2023 14:20:13;T014;HAMLET-49;202302000079953
25/09/2023 14:20:37;T012;SPT120018W;202301000127674
25/09/2023 14:22:01;T014;HAMLET-49;202302000079952
25/09/2023 14:22:13;T012;SPT120018W;202301000127675
25/09/2023 14:23:10;T012;SPT120018W;202301000127676
25/09/2023 14:24:02;T012;SPT120018W;202301000127677
25/09/2023 14:24:05;T014;HAMLET-49;202302000079952
25/09/2023 14:24:59;T012;SPT120018W;202301000127678
25/09/2023 14:26:45;T014;HAMLET-49;202302000079951
25/09/2023 14:27:04;T012;SPT120018W;202301000127679
25/09/2023 14:28:24;T012;SPT120018W;202301000127680
25/09/2023 14:29:27;T014;HAMLET-49;202302000079950
25/09/2023 14:29:50;T012;SPT120018W;202301000127681
25/09/2023 14:30:53;T012;SPT120018W;202301000127682
25/09/2023 14:31:48;T014;HAMLET-49;202302000079965
25/09/2023 14:32:17;T012;SPT120018W;202301000127683
25/09/2023 14:33:29;T014;HAMLET-49;202302000079964
25/09/2023 14:33:32;T012;SPT120018W;202301000127684
25/09/2023 14:35:12;T012;SPT120018W;202301000127685
25/09/2023 14:35:16;T014;HAMLET-49;202302000079963
25/09/2023 14:36:58;T014;HAMLET-49;202302000079962
25/09/2023 14:37:04;T012;SPT120018W;202301000127685
25/09/2023 14:38:47;T014;HAMLET-49;202302000079961
25/09/2023 14:40:37;T014;HAMLET-49;202302000079960
25/09/2023 14:41:39;T012;SPT120018W;202301000127686
25/09/2023 14:42:55;T012;SPT120018W;202301000127687
25/09/2023 14:44:16;T012;SPT120018W;202301000127688
25/09/2023 14:44:27;T014;HAMLET-49;202302000079959
25/09/2023 14:46:19;T012;SPT120018W;202301000127689
25/09/2023 14:46:23;T014;HAMLET-49;202302000079958
25/09/2023 14:47:01;T014;HAMLET-49;202302000079958
25/09/2023 14:48:33;T012;SPT120018W;202301000127690
25/09/2023 14:49:24;T014;HAMLET-49;202302000079973
25/09/2023 14:51:16;T012;SPT120018W;202301000127691
25/09/2023 14:51:27;T014;HAMLET-49;202302000079972
25/09/2023 14:53:01;T012;SPT120018W;202301000127692
25/09/2023 14:53:13;T014;HAMLET-49;202302000079972
25/09/2023 14:54:19;T012;SPT120018W;202301000127693
25/09/2023 14:55:02;T014;HAMLET-49;202302000079971
25/09/2023 14:55:08;T012;SPT120018W;202301000127694
25/09/2023 14:56:38;T012;SPT120018W;202301000127695
25/09/2023 14:56:46;T014;HAMLET-49;202302000079970
25/09/2023 14:58:02;T012;SPT120018W;202301000127696
25/09/2023 14:59:34;T012;SPT120018W;202301000127697
25/09/2023 15:00:11;T012;SPT120018W;202301000127697
25/09/2023 15:01:31;T012;SPT120018W;202301000127698
25/09/2023 15:02:13;T014;HAMLET-49;202302000079969
25/09/2023 15:03:13;T012;SPT120018W;202301000127699
25/09/2023 15:04:12;T014;HAMLET-49;202302000079968
25/09/2023 15:04:27;T012;SPT120018W;202301000127700
25/09/2023 15:05:46;T012;SPT120018W;202301000127701
25/09/2023 15:06:51;T012;SPT120018W;202301000127702
25/09/2023 15:07:16;T014;HAMLET-49;202302000079967
25/09/2023 15:07:54;T012;SPT120018W;202301000127703
25/09/2023 15:09:54;T012;SPT120018W;202301000127704
25/09/2023 15:10:23;T014;HAMLET-49;202302000079966
25/09/2023 15:11:17;T012;SPT120018W;202301000127705
25/09/2023 15:12:26;T012;SPT120018W;202301000127706
25/09/2023 15:12:27;T014;HAMLET-49;202302000079981
25/09/2023 15:13:47;T012;SPT120018W;202301000127707
25/09/2023 15:14:43;T014;HAMLET-49;202302000079980
25/09/2023 15:15:00;T012;SPT120018W;202301000127708
25/09/2023 15:16:25;T012;SPT120018W;202301000127709
25/09/2023 15:16:31;T014;HAMLET-49;202302000079979
25/09/2023 15:18:04;T012;SPT120018W;202301000127710
25/09/2023 15:20:10;T012;SPT120018W;202301000127711
25/09/2023 15:20:34;T014;HAMLET-49;202302000079978
25/09/2023 15:21:16;T012;SPT120018W;202301000127712
25/09/2023 15:22:05;T012;SPT120018W;202301000127713
25/09/2023 15:22:56;T014;HAMLET-49;202302000079977
25/09/2023 15:23:27;T012;SPT120018W;202301000127714
25/09/2023 15:24:47;T014;HAMLET-49;202302000079976
25/09/2023 15:26:31;T014;HAMLET-49;202302000079975
25/09/2023 15:26:41;T012;SPT120018W;202301000127715
25/09/2023 15:27:44;T012;SPT120018W;202301000127716
25/09/2023 15:28:26;T014;HAMLET-49;202302000079974
25/09/2023 15:28:41;T012;SPT120018W;202301000127717
25/09/2023 15:29:36;T012;SPT120018W;202301000127718
25/09/2023 15:30:19;T014;HAMLET-49;202302000079989
25/09/2023 15:30:26;T012;SPT120018W;202301000127719
25/09/2023 15:32:19;T014;HAMLET-49;202302000079988
25/09/2023 15:33:02;T012;SPT120018W;202301000127720
25/09/2023 15:34:09;T012;SPT120018W;202301000127721
25/09/2023 15:34:12;T014;HAMLET-49;202302000079987
25/09/2023 15:35:05;T012;SPT120018W;202301000127722
