ts,distance,state
2023-08-29 09:01:00,829,0
2023-08-29 09:02:01,832,0
2023-08-29 09:03:01,826,0
2023-08-29 09:04:02,829,0
2023-08-29 09:05:03,832,0
2023-08-29 09:06:04,825,0
2023-08-29 09:07:04,825,0
2023-08-29 09:08:05,828,0
2023-08-29 09:09:05,826,0
2023-08-29 09:10:06,823,0
2023-08-29 09:11:07,829,0
2023-08-29 09:12:07,830,0
2023-08-29 09:13:08,828,0
2023-08-29 09:14:09,829,0
2023-08-29 09:15:09,828,0
2023-08-29 09:16:10,826,0
2023-08-29 09:17:11,829,0
2023-08-29 09:18:12,827,0
2023-08-29 09:19:12,827,0
2023-08-29 09:20:13,833,0
2023-08-29 09:21:13,829,0
2023-08-29 09:22:14,832,0
2023-08-29 09:23:15,829,0
2023-08-29 09:24:15,828,0
2023-08-29 09:25:16,828,0
2023-08-29 09:26:17,828,0
2023-08-29 09:27:17,832,0
2023-08-29 09:28:18,828,0
2023-08-29 09:29:20,825,0
2023-08-29 09:30:20,835,0
2023-08-29 09:31:20,826,0
2023-08-29 09:32:21,826,0
2023-08-29 09:33:22,835,0
2023-08-29 09:34:22,825,0
2023-08-29 09:35:23,828,0
2023-08-29 09:36:24,831,0
2023-08-29 09:37:24,831,0
2023-08-29 09:38:25,822,0
2023-08-29 09:39:26,830,0
2023-08-29 09:40:26,827,0
2023-08-29 09:41:27,838,0
2023-08-29 09:42:28,829,0
2023-08-29 09:43:28,832,0
2023-08-29 09:44:29,827,0
2023-08-29 09:45:30,831,0
2023-08-29 09:46:30,831,0
2023-08-29 09:47:31,831,0
2023-08-29 09:48:32,829,0
2023-08-29 09:49:32,825,0
2023-08-29 09:50:33,834,0
2023-08-29 09:51:34,830,0
2023-08-29 09:52:34,832,0
2023-08-29 09:53:35,828,0
2023-08-29 09:54:36,823,0
2023-08-29 09:55:37,827,0
2023-08-29 09:56:37,836,0
2023-08-29 09:57:38,830,0
2023-08-29 09:58:39,833,0
2023-08-29 09:59:39,827,0
2023-08-29 10:00:40,827,0
2023-08-29 10:01:41,832,0
2023-08-29 10:07:23,829,0
2023-08-29 10:08:23,828,0
2023-08-29 10:09:24,839,0
2023-08-29 10:10:25,834,0
2023-08-29 10:11:25,835,0
2023-08-29 10:12:26,831,0
2023-08-29 10:13:27,831,0
2023-08-29 10:14:27,829,0
2023-08-29 10:15:28,830,0
2023-08-29 10:16:29,832,0
2023-08-29 10:17:29,831,0
2023-08-29 10:18:30,834,0
2023-08-29 10:19:31,829,0
2023-08-29 10:20:31,823,0
2023-08-29 10:21:32,834,0
2023-08-29 10:22:33,832,0
2023-08-29 10:23:34,833,0
2023-08-29 10:24:34,826,0
2023-08-29 10:25:35,823,0
2023-08-29 10:26:36,828,0
2023-08-29 10:27:38,828,0
2023-08-29 10:28:37,824,0
2023-08-29 10:29:38,825,0
2023-08-29 10:30:38,825,0
2023-08-29 10:32:23,827,0
2023-08-29 10:33:24,826,0
2023-08-29 10:34:25,832,0
2023-08-29 10:35:26,829,0
2023-08-29 10:36:26,825,0
2023-08-29 10:37:27,833,0
2023-08-29 10:38:28,828,0
2023-08-29 10:39:29,835,0
2023-08-29 10:40:30,828,0
2023-08-29 10:41:30,832,0
2023-08-29 10:42:30,827,0
2023-08-29 10:43:31,832,0
2023-08-29 10:44:32,831,0
2023-08-29 10:45:32,834,0
2023-08-29 10:46:33,836,0
2023-08-29 10:47:34,830,0
2023-08-29 10:48:34,827,0
2023-08-29 10:49:35,829,0
2023-08-29 10:50:36,826,0
2023-08-29 10:51:36,828,0
2023-08-29 10:52:37,828,0
2023-08-29 10:53:38,831,0
2023-08-29 10:54:38,831,0
2023-08-29 10:55:39,828,0
2023-08-29 10:56:40,829,0
2023-08-29 10:57:41,825,0
2023-08-29 10:58:41,828,0
2023-08-29 10:59:42,833,0
2023-08-29 11:00:43,830,0
2023-08-29 11:01:43,825,0
2023-08-29 11:02:44,833,0
2023-08-29 11:03:45,832,0
2023-08-29 11:04:45,830,0
2023-08-29 11:05:46,823,0
2023-08-29 11:06:47,831,0
2023-08-29 11:07:48,830,0
2023-08-29 11:08:48,833,0
2023-08-29 11:09:49,827,0
2023-08-29 11:10:49,834,0
2023-08-29 11:11:50,830,0
2023-08-29 11:12:51,833,0
2023-08-29 11:13:52,833,0
2023-08-29 11:14:52,820,0
2023-08-29 11:15:53,828,0
2023-08-29 11:16:54,826,0
2023-08-29 11:17:54,831,0
2023-08-29 11:18:55,825,0
2023-08-29 11:19:56,831,0
2023-08-29 11:20:56,831,0
2023-08-29 11:21:57,827,0
2023-08-29 11:22:58,830,0
2023-08-29 11:23:59,826,0
2023-08-29 11:24:59,824,0
2023-08-29 11:26:00,824,0
2023-08-29 11:27:01,835,0
2023-08-29 11:28:01,825,0
2023-08-29 11:29:02,829,0
2023-08-29 11:30:03,829,0
2023-08-29 11:31:03,832,0
2023-08-29 11:32:04,826,0
2023-08-29 11:33:05,830,0
2023-08-29 11:34:05,822,0
2023-08-29 11:35:06,827,0
2023-08-29 11:36:10,832,0
2023-08-29 11:37:09,826,0
2023-08-29 11:38:10,829,0
2023-08-29 11:38:42,498,1
2023-08-29 11:39:42,494,1
2023-08-29 11:40:23,645,1
2023-08-29 11:40:38,481,1
2023-08-29 11:41:38,491,0
2023-08-29 11:42:39,485,0
2023-08-29 11:43:40,497,0
2023-08-29 11:44:41,488,0
2023-08-29 11:45:41,490,0
2023-08-29 11:46:42,488,0
2023-08-29 11:47:43,495,0
2023-08-29 11:48:43,486,0
2023-08-29 11:49:44,484,0
2023-08-29 11:50:45,496,0
2023-08-29 11:51:45,498,0
2023-08-29 11:52:46,486,0
2023-08-29 11:53:47,492,0
2023-08-29 11:54:47,509,0
2023-08-29 11:55:48,494,0
2023-08-29 11:56:49,499,0
2023-08-29 11:57:49,504,0
2023-08-29 11:58:50,504,0
2023-08-29 11:59:51,498,0
2023-08-29 12:00:51,505,0
2023-08-29 12:01:52,487,0
2023-08-29 12:02:53,493,0
2023-08-29 12:03:54,493,0
2023-08-29 12:04:54,501,0
2023-08-29 12:05:55,480,0
2023-08-29 12:06:56,498,0
2023-08-29 12:07:57,499,0
2023-08-29 12:08:57,495,0
2023-08-29 12:09:58,492,0
2023-08-29 12:10:59,491,0
2023-08-29 12:11:59,516,0
2023-08-29 12:13:00,494,0
2023-08-29 12:14:07,745,1
2023-08-29 12:14:22,507,1
2023-08-29 12:15:22,494,0
2023-08-29 12:16:23,483,0
2023-08-29 12:17:24,502,0
2023-08-29 12:18:24,488,0
2023-08-29 12:19:25,479,0
2023-08-29 12:20:26,500,0
2023-08-29 12:21:27,493,0
2023-08-29 12:22:27,494,0
2023-08-29 12:23:28,494,0
2023-08-29 12:24:29,506,0
2023-08-29 12:25:29,498,0
2023-08-29 12:26:30,484,0
2023-08-29 12:27:31,509,0
2023-08-29 12:28:31,491,0
2023-08-29 12:29:32,482,0
2023-08-29 12:30:33,489,0
2023-08-29 12:31:34,492,0
2023-08-29 12:32:34,489,0
2023-08-29 12:33:35,494,0
2023-08-29 12:34:36,491,0
2023-08-29 12:35:36,490,0
2023-08-29 12:36:17,672,1
2023-08-29 12:36:32,488,1
2023-08-29 12:37:33,513,1
2023-08-29 12:38:02,667,1
2023-08-29 12:38:17,483,1
2023-08-29 12:39:18,493,0
2023-08-29 12:40:18,486,0
2023-08-29 12:41:19,476,0
2023-08-29 12:42:20,472,0
2023-08-29 12:43:20,492,0
2023-08-29 12:44:21,490,0
2023-08-29 12:45:22,489,0
2023-08-29 12:46:23,508,0
2023-08-29 12:47:23,494,0
2023-08-29 12:48:24,496,0
2023-08-29 12:49:25,488,0
2023-08-29 12:50:25,497,0
2023-08-29 12:51:26,493,0
2023-08-29 12:52:27,517,0
2023-08-29 12:53:28,472,0
2023-08-29 12:54:28,516,0
