ts,distance,state
2023-08-05 09:00:12,802,0
2023-08-05 09:01:13,812,0
2023-08-05 09:02:14,804,0
2023-08-05 09:03:15,805,0
2023-08-05 09:04:15,807,0
2023-08-05 09:05:16,810,0
2023-08-05 09:06:17,817,0
2023-08-05 09:07:18,809,0
2023-08-05 09:08:18,803,0
2023-08-05 09:09:19,801,0
2023-08-05 09:10:20,816,0
2023-08-05 09:11:21,807,0
2023-08-05 09:12:21,801,0
2023-08-05 09:13:22,805,0
2023-08-05 09:14:23,813,0
2023-08-05 09:15:24,801,0
2023-08-05 09:16:24,810,0
2023-08-05 09:17:25,814,0
2023-08-05 09:18:26,804,0
2023-08-05 09:19:27,806,0
2023-08-05 09:20:28,812,0
2023-08-05 09:21:28,809,0
2023-08-05 09:22:29,806,0
2023-08-05 09:23:30,805,0
2023-08-05 09:24:31,806,0
2023-08-05 09:25:31,809,0
2023-08-05 09:26:32,805,0
2023-08-05 09:27:33,809,0
2023-08-05 09:28:34,811,0
2023-08-05 09:29:35,811,0
2023-08-05 09:30:35,807,0
2023-08-05 09:31:36,804,0
2023-08-05 09:32:37,804,0
2023-08-05 09:33:38,806,0
2023-08-05 09:34:38,810,0
2023-08-05 09:35:39,806,0
2023-08-05 09:36:40,807,0
2023-08-05 09:37:41,802,0
2023-08-05 09:38:42,807,0
2023-08-05 09:39:42,813,0
2023-08-05 09:40:43,814,0
2023-08-05 09:41:44,809,0
2023-08-05 09:42:45,804,0
2023-08-05 09:43:45,806,0
2023-08-05 09:44:46,809,0
2023-08-05 09:45:47,804,0
2023-08-05 09:46:48,805,0
2023-08-05 09:47:49,804,0
2023-08-05 09:48:49,804,0
2023-08-05 09:49:50,811,0
2023-08-05 09:50:51,806,0
2023-08-05 09:51:52,808,0
2023-08-05 09:52:52,807,0
2023-08-05 09:53:53,803,0
2023-08-05 09:54:54,810,0
2023-08-05 09:55:55,816,0
2023-08-05 09:56:56,805,0
2023-08-05 09:57:56,805,0
2023-08-05 09:58:57,809,0
2023-08-05 09:59:58,802,0
2023-08-05 10:00:59,808,0
2023-08-05 10:01:59,802,0
2023-08-05 10:03:00,806,0
2023-08-05 10:04:01,806,0
2023-08-05 10:05:02,814,0
2023-08-05 10:06:02,804,0
2023-08-05 10:07:03,810,0
2023-08-05 10:08:04,807,0
2023-08-05 10:09:05,800,0
2023-08-05 10:10:05,804,0
2023-08-05 10:11:06,804,0
2023-08-05 10:12:07,808,0
2023-08-05 10:13:08,802,0
2023-08-05 10:14:09,808,0
2023-08-05 10:15:09,809,0
2023-08-05 10:16:10,813,0
2023-08-05 10:17:11,805,0
2023-08-05 10:18:12,816,0
2023-08-05 10:19:13,804,0
2023-08-05 10:20:13,802,0
2023-08-05 10:21:14,806,0
2023-08-05 10:22:15,806,0
2023-08-05 10:23:16,806,0
2023-08-05 10:24:16,806,0
2023-08-05 10:25:17,809,0
2023-08-05 10:26:18,805,0
2023-08-05 10:27:19,807,0
2023-08-05 10:28:19,797,0
2023-08-05 10:29:20,808,0
2023-08-05 10:30:21,808,0
2023-08-05 10:31:22,810,0
2023-08-05 10:32:22,808,0
2023-08-05 10:33:23,805,0
2023-08-05 10:34:24,808,0
2023-08-05 10:35:25,803,0
2023-08-05 10:36:26,808,0
2023-08-05 10:37:26,808,0
2023-08-05 10:38:27,804,0
2023-08-05 10:39:28,809,0
2023-08-05 10:40:29,808,0
2023-08-05 10:41:30,808,0
2023-08-05 10:42:30,810,0
2023-08-05 10:43:31,798,0
2023-08-05 10:44:32,805,0
2023-08-05 10:45:33,803,0
2023-08-05 10:46:33,807,0
2023-08-05 10:47:34,811,0
2023-08-05 10:48:35,808,0
2023-08-05 10:49:36,807,0
2023-08-05 10:50:37,806,0
2023-08-05 10:51:37,807,0
2023-08-05 10:52:38,808,0
2023-08-05 10:53:39,811,0
2023-08-05 10:54:40,811,0
2023-08-05 10:55:40,807,0
2023-08-05 10:56:41,808,0
2023-08-05 10:57:42,807,0
2023-08-05 10:58:43,810,0
2023-08-05 10:59:44,805,0
2023-08-05 11:00:45,803,0
2023-08-05 11:01:45,805,0
2023-08-05 11:02:46,806,0
2023-08-05 11:03:47,805,0
2023-08-05 11:04:48,807,0
2023-08-05 11:05:48,814,0
2023-08-05 11:06:49,802,0
2023-08-05 11:07:50,807,0
2023-08-05 11:08:51,809,0
2023-08-05 11:09:52,805,0
2023-08-05 11:10:52,810,0
2023-08-05 11:11:53,808,0
2023-08-05 11:12:54,811,0
2023-08-05 11:13:55,809,0
2023-08-05 11:14:55,803,0
2023-08-05 11:15:56,805,0
2023-08-05 11:16:57,809,0
2023-08-05 11:17:58,811,0
2023-08-05 11:18:59,810,0
2023-08-05 11:19:59,810,0
2023-08-05 11:21:00,807,0
2023-08-05 11:22:01,796,0
2023-08-05 11:23:02,805,0
2023-08-05 11:24:03,813,0
2023-08-05 11:25:03,809,0
2023-08-05 11:26:04,803,0
2023-08-05 11:27:05,808,0
2023-08-05 11:28:06,801,0
2023-08-05 11:29:06,806,0
2023-08-05 11:30:07,803,0
2023-08-05 11:31:08,807,0
2023-08-05 11:32:09,807,0
2023-08-05 11:33:10,810,0
2023-08-05 11:34:11,799,0
2023-08-05 11:35:11,804,0
2023-08-05 11:36:12,807,0
2023-08-05 11:37:13,815,0
2023-08-05 11:38:14,805,0
2023-08-05 11:39:14,804,0
2023-08-05 11:40:15,809,0
2023-08-05 11:41:16,810,0
2023-08-05 11:42:17,817,0
2023-08-05 11:43:18,807,0
2023-08-05 11:44:18,806,0
2023-08-05 11:45:19,804,0
2023-08-05 11:46:20,809,0
2023-08-05 11:47:21,809,0
2023-08-05 11:48:22,805,0
2023-08-05 11:49:23,802,0
2023-08-05 11:50:23,807,0
2023-08-05 11:51:24,812,0
2023-08-05 11:52:25,806,0
2023-08-05 11:53:26,811,0
2023-08-05 11:54:26,813,0
2023-08-05 11:55:27,813,0
2023-08-05 11:56:28,813,0
2023-08-05 11:57:29,815,0
2023-08-05 11:58:30,809,0
2023-08-05 11:59:30,811,0
2023-08-05 12:00:31,804,0
2023-08-05 12:01:32,805,0
2023-08-05 12:02:33,803,0
2023-08-05 12:03:34,807,0
2023-08-05 12:04:34,810,0
2023-08-05 12:05:35,805,0
2023-08-05 12:06:36,816,0
2023-08-05 12:07:37,799,0
2023-08-05 12:08:38,811,0
2023-08-05 12:09:38,807,0
2023-08-05 12:10:39,808,0
2023-08-05 12:11:40,799,0
2023-08-05 12:12:41,811,0
2023-08-05 12:13:42,804,0
2023-08-05 12:14:42,806,0
2023-08-05 12:15:43,808,0
2023-08-05 12:16:44,805,0
2023-08-05 12:17:45,809,0
2023-08-05 12:18:46,805,0
2023-08-05 12:19:47,807,0
2023-08-05 12:20:47,813,0
2023-08-05 12:21:48,811,0
2023-08-05 12:22:49,806,0
2023-08-05 12:23:50,809,0
2023-08-05 12:24:51,812,0
2023-08-05 12:25:51,808,0
2023-08-05 12:26:52,813,0
2023-08-05 12:27:53,800,0
2023-08-05 12:28:54,811,0
2023-08-05 12:29:55,824,0
2023-08-05 12:30:56,804,0
2023-08-05 12:31:56,812,0
2023-08-05 12:32:57,804,0
2023-08-05 12:33:58,819,0
2023-08-05 12:34:59,808,0
2023-08-05 12:35:59,812,0
2023-08-05 12:37:00,807,0
2023-08-05 12:38:01,802,0
2023-08-05 12:39:02,801,0
2023-08-05 12:40:03,808,0
2023-08-05 12:41:04,808,0
2023-08-05 12:42:04,814,0
2023-08-05 12:43:05,808,0
2023-08-05 12:44:06,807,0
2023-08-05 12:45:07,804,0
2023-08-05 12:46:08,800,0
2023-08-05 12:47:09,810,0
2023-08-05 12:48:09,803,0
2023-08-05 12:49:10,812,0
2023-08-05 12:50:11,813,0
2023-08-05 12:51:12,812,0
2023-08-05 12:52:12,811,0
2023-08-05 12:53:13,799,0
2023-08-05 12:54:14,806,0
2023-08-05 12:55:15,808,0
2023-08-05 12:56:16,799,0
2023-08-05 12:57:16,801,0
2023-08-05 12:58:17,805,0
2023-08-05 12:59:18,810,0
2023-08-05 13:00:19,796,0
2023-08-05 13:01:20,804,0
2023-08-05 13:02:21,806,0
2023-08-05 13:03:21,811,0
2023-08-05 13:04:22,804,0
2023-08-05 13:05:23,803,0
2023-08-05 13:06:24,810,0
2023-08-05 13:07:25,811,0
2023-08-05 13:08:26,809,0
2023-08-05 13:09:26,817,0
2023-08-05 13:10:27,802,0
2023-08-05 13:11:28,808,0
2023-08-05 13:12:29,805,0
2023-08-05 13:13:29,801,0
2023-08-05 13:14:30,805,0
2023-08-05 13:15:31,812,0
2023-08-05 13:16:32,814,0
2023-08-05 13:17:33,809,0
2023-08-05 13:18:34,811,0
2023-08-05 13:19:34,805,0
2023-08-05 13:20:35,812,0
2023-08-05 13:21:36,803,0
2023-08-05 13:22:37,812,0
2023-08-05 13:23:38,811,0
2023-08-05 13:24:38,806,0
2023-08-05 13:25:39,810,0
