ts,distance,state
2023-09-14 15:12:58,323,1
2023-09-14 15:13:59,322,0
2023-09-14 15:14:59,322,0
2023-09-14 15:16:10,326,0
2023-09-14 15:17:11,323,0
2023-09-14 15:18:12,323,0
2023-09-14 15:19:12,322,0
2023-09-14 15:20:13,325,0
2023-09-14 15:21:14,323,0
2023-09-14 15:22:14,324,0
2023-09-14 15:23:15,325,0
2023-09-14 15:24:16,325,0
2023-09-14 15:25:17,323,0
2023-09-14 15:26:17,324,0
2023-09-14 15:27:18,325,0
2023-09-14 15:28:19,321,0
2023-09-14 15:29:19,325,0
2023-09-14 15:30:20,323,0
2023-09-14 15:31:21,324,0
2023-09-14 15:32:22,324,0
2023-09-14 15:33:22,326,0
2023-09-14 15:34:23,325,0
2023-09-14 15:35:24,325,0
2023-09-14 15:36:24,324,0
2023-09-14 15:37:25,324,0
2023-09-14 15:38:26,324,0
2023-09-14 15:39:27,324,0
2023-09-14 15:40:28,322,0
2023-09-14 15:41:29,325,0
2023-09-14 15:42:30,325,0
2023-09-14 15:43:31,325,0
2023-09-14 15:44:31,319,0
2023-09-14 15:45:32,325,0
2023-09-14 15:46:33,323,0
2023-09-14 15:47:35,323,0
2023-09-14 15:48:34,324,0
2023-09-14 15:57:10,323,0
2023-09-14 15:58:11,322,0
2023-09-14 15:59:12,325,0
2023-09-14 16:00:12,324,0
2023-09-14 16:01:13,324,0
2023-09-14 16:02:14,324,0
2023-09-14 16:03:14,325,0
2023-09-14 16:04:15,325,0
2023-09-14 16:05:16,325,0
2023-09-14 16:06:17,321,0
2023-09-14 16:07:17,324,0
2023-09-14 16:08:18,323,0
2023-09-14 16:09:19,324,0
2023-09-14 16:10:19,321,0
2023-09-14 16:11:20,324,0
2023-09-14 16:12:21,326,0
2023-09-14 16:13:22,323,0
2023-09-14 16:14:22,323,0
2023-09-14 16:15:23,324,0
2023-09-14 16:16:24,325,0
2023-09-14 16:17:25,324,0
2023-09-14 16:18:25,325,0
2023-09-14 16:19:26,324,0
2023-09-14 16:20:27,324,0
2023-09-14 16:21:28,323,0
2023-09-14 16:22:28,325,0
2023-09-14 16:23:29,326,0
2023-09-14 16:24:30,322,0
2023-09-14 16:25:30,325,0
2023-09-14 16:26:31,323,0
2023-09-14 16:27:32,323,0
2023-09-14 16:28:32,324,0
2023-09-14 16:29:33,323,0
2023-09-14 16:30:34,323,0
2023-09-14 16:31:34,325,0
2023-09-14 16:32:35,325,0
2023-09-14 16:33:36,325,0
2023-09-14 16:34:37,324,0
2023-09-14 16:35:37,324,0
2023-09-14 16:36:38,321,0
2023-09-14 16:37:39,325,0
2023-09-14 16:38:40,322,0
2023-09-14 16:39:52,323,0
2023-09-14 16:40:52,327,0
2023-09-14 16:41:53,323,0
2023-09-14 16:42:57,321,0
2023-09-14 16:43:57,324,0
2023-09-14 16:44:58,324,0
2023-09-14 16:45:59,324,0
2023-09-14 16:46:59,325,0
2023-09-14 16:48:00,325,0
2023-09-14 16:49:01,325,0
2023-09-14 16:50:02,324,0
2023-09-14 16:51:02,323,0
2023-09-14 16:52:03,323,0
2023-09-14 16:53:04,322,0
2023-09-14 16:54:04,323,0
2023-09-14 16:55:05,323,0
2023-09-14 16:56:06,323,0
2023-09-14 16:58:09,325,0
2023-09-14 16:59:09,324,0
2023-09-14 17:00:10,322,0
2023-09-14 17:01:10,324,0
2023-09-14 17:02:11,324,0
2023-09-14 17:03:12,323,0
2023-09-14 17:04:13,324,0
2023-09-14 17:05:13,325,0
2023-09-14 17:06:14,324,0
2023-09-14 17:07:15,324,0
2023-09-14 17:08:15,324,0
2023-09-14 17:09:16,325,0
2023-09-14 17:10:17,322,0
2023-09-14 17:11:18,325,0
2023-09-14 17:12:18,321,0
2023-09-14 17:13:19,321,0
2023-09-14 17:14:20,325,0
2023-09-14 17:15:20,325,0
2023-09-14 17:16:21,324,0
2023-09-14 17:17:22,322,0
2023-09-14 17:18:23,325,0
2023-09-14 17:19:23,325,0
2023-09-14 17:20:24,324,0
2023-09-14 17:21:25,323,0
2023-09-14 17:22:26,325,0
2023-09-14 17:23:26,323,0
2023-09-14 17:24:27,326,0
2023-09-14 17:25:28,324,0
2023-09-14 17:26:28,323,0
2023-09-14 17:27:29,325,0
2023-09-14 17:28:30,323,0
2023-09-14 17:29:31,323,0
2023-09-14 17:30:31,325,0
2023-09-14 17:31:32,324,0
2023-09-14 17:32:33,322,0
2023-09-14 17:33:33,323,0
2023-09-14 17:34:34,324,0
2023-09-14 17:35:35,327,0
2023-09-14 17:36:36,322,0
2023-09-14 17:37:37,323,0
2023-09-14 17:38:37,323,0
2023-09-14 17:39:38,320,0
2023-09-14 17:40:39,324,0
2023-09-14 17:41:40,322,0
2023-09-14 17:42:40,325,0
2023-09-14 17:43:41,324,0
2023-09-14 17:44:41,326,0
2023-09-14 17:45:42,323,0
2023-09-14 17:46:48,322,0
2023-09-14 17:47:49,326,0
2023-09-14 17:48:49,323,0
2023-09-14 17:49:50,323,0
2023-09-14 17:50:51,324,0
2023-09-14 17:51:51,324,0
2023-09-14 17:52:52,325,0
2023-09-14 17:53:53,325,0
2023-09-14 17:54:54,324,0
2023-09-14 17:55:54,324,0
2023-09-14 17:56:55,323,0
2023-09-14 17:57:56,324,0
2023-09-14 17:58:57,325,0
2023-09-14 17:59:57,322,0
