ts,distance,state
2023-09-19 09:00:55,304,1
2023-09-19 09:01:56,304,0
2023-09-19 09:02:56,303,0
2023-09-19 09:03:57,305,0
2023-09-19 09:04:58,307,0
2023-09-19 09:05:58,304,0
2023-09-19 09:06:59,305,0
2023-09-19 09:08:00,306,0
2023-09-19 09:09:00,307,0
2023-09-19 09:10:01,306,0
2023-09-19 09:11:02,307,0
2023-09-19 09:12:03,307,0
2023-09-19 09:13:03,309,0
2023-09-19 09:14:03,305,0
2023-09-19 09:15:04,306,0
2023-09-19 09:16:02,117,1
2023-09-19 09:16:17,307,1
2023-09-19 09:17:17,308,0
2023-09-19 09:18:18,307,0
2023-09-19 09:19:19,305,0
2023-09-19 09:20:19,305,0
2023-09-19 09:21:20,304,0
2023-09-19 09:22:21,307,0
2023-09-19 09:23:21,306,0
2023-09-19 09:24:23,306,0
2023-09-19 09:25:23,305,0
2023-09-19 09:26:23,304,0
2023-09-19 09:27:24,304,0
2023-09-19 09:28:25,307,0
2023-09-19 09:29:25,306,0
2023-09-19 09:30:26,304,0
2023-09-19 09:31:27,307,0
2023-09-19 09:32:27,306,0
2023-09-19 09:33:28,305,0
2023-09-19 09:34:29,306,0
2023-09-19 09:35:29,306,0
2023-09-19 09:36:30,305,0
2023-09-19 09:37:31,307,0
2023-09-19 09:38:31,305,0
2023-09-19 09:39:32,305,0
2023-09-19 09:40:33,306,0
2023-09-19 09:41:33,305,0
2023-09-19 09:42:34,307,0
2023-09-19 09:43:35,306,0
2023-09-19 09:44:35,306,0
2023-09-19 09:45:36,310,0
2023-09-19 09:46:37,304,0
2023-09-19 09:47:37,306,0
2023-09-19 09:48:38,306,0
2023-09-19 09:49:38,303,0
2023-09-19 09:50:39,305,0
2023-09-19 09:51:40,306,0
2023-09-19 09:52:40,306,0
2023-09-19 09:53:41,305,0
2023-09-19 09:54:42,304,0
2023-09-19 09:55:42,306,0
2023-09-19 09:56:45,305,0
2023-09-19 09:57:44,307,0
2023-09-19 09:58:44,302,0
2023-09-19 09:59:49,306,0
2023-09-19 10:00:46,306,0
2023-09-19 10:01:46,304,0
2023-09-19 10:02:47,306,0
2023-09-19 10:03:48,306,0
2023-09-19 10:04:48,305,0
2023-09-19 10:05:50,303,0
2023-09-19 10:06:50,302,0
2023-09-19 10:07:50,303,0
2023-09-19 10:08:51,304,0
2023-09-19 10:10:52,302,0
2023-09-19 10:11:53,304,0
2023-09-19 10:12:53,307,0
2023-09-19 10:13:54,305,0
2023-09-19 10:14:55,305,0
2023-09-19 10:15:55,306,0
2023-09-19 10:16:56,304,0
2023-09-19 10:17:57,305,0
2023-09-19 10:18:57,305,0
2023-09-19 10:19:58,305,0
2023-09-19 10:20:59,306,0
2023-09-19 10:21:59,305,0
2023-09-19 10:23:00,305,0
2023-09-19 10:24:01,308,0
2023-09-19 10:25:02,305,0
2023-09-19 10:26:56,305,0
2023-09-19 10:27:55,305,0
2023-09-19 10:28:56,305,0
2023-09-19 10:32:46,304,0
2023-09-19 10:34:31,306,0
2023-09-19 10:34:47,303,0
2023-09-19 10:35:49,304,0
2023-09-19 10:36:49,304,0
2023-09-19 10:37:52,305,0
2023-09-19 10:39:16,307,0
2023-09-19 10:40:19,304,0
2023-09-19 10:41:34,304,0
2023-09-19 10:44:53,305,0
2023-09-19 10:46:39,307,0
2023-09-19 10:46:54,303,0
