ts,distance,state
2023-09-22 09:00:00,2592,0
2023-09-22 09:00:16,2960,0
2023-09-22 09:00:32,2495,0
2023-09-22 09:00:48,2783,0
2023-09-22 09:01:03,2536,0
2023-09-22 09:01:18,2821,0
2023-09-22 09:01:33,2603,0
2023-09-22 09:01:52,2862,0
2023-09-22 09:02:08,2594,0
2023-09-22 09:02:25,2789,0
2023-09-22 09:02:41,2988,0
2023-09-22 09:02:56,2704,0
2023-09-22 09:03:21,2936,0
2023-09-22 09:03:38,2512,0
2023-09-22 09:03:54,2800,0
2023-09-22 09:04:09,2646,0
2023-09-22 09:04:24,2495,0
2023-09-22 09:04:39,2678,0
2023-09-22 09:04:55,2929,0
2023-09-22 09:05:10,2775,0
2023-09-22 09:05:27,2474,0
2023-09-22 09:05:45,2766,0
2023-09-22 09:06:02,2496,0
2023-09-22 09:06:17,2710,0
2023-09-22 09:06:40,2554,0
2023-09-22 09:06:57,2765,0
2023-09-22 09:07:15,2573,0
2023-09-22 09:07:30,2959,0
2023-09-22 09:07:45,2787,0
2023-09-22 09:08:01,2577,0
2023-09-22 09:08:16,2743,0
2023-09-22 09:08:33,2895,0
2023-09-22 09:08:48,2605,0
2023-09-22 09:09:07,2789,0
2023-09-22 09:09:22,2569,0
2023-09-22 09:09:37,2747,0
2023-09-22 09:10:04,2373,0
2023-09-22 09:10:19,2756,0
2023-09-22 09:10:36,2535,0
2023-09-22 09:10:52,2822,0
2023-09-22 09:11:09,2655,0
2023-09-22 09:11:25,2436,0
2023-09-22 09:11:40,2646,0
2023-09-22 09:11:56,2879,0
2023-09-22 09:12:11,2714,0
2023-09-22 09:12:27,2483,0
2023-09-22 09:12:42,2668,0
2023-09-22 09:13:02,3041,0
2023-09-22 09:13:17,2778,0
2023-09-22 09:13:35,2577,0
2023-09-22 09:13:50,2834,0
2023-09-22 09:14:07,2547,0
2023-09-22 09:14:22,2888,0
2023-09-22 09:14:40,2697,0
2023-09-22 09:14:56,2469,0
2023-09-22 09:15:11,2865,0
2023-09-22 09:15:27,2504,0
2023-09-22 09:15:42,2784,0
2023-09-22 09:15:58,2535,0
2023-09-22 09:16:16,2687,0
2023-09-22 09:16:32,2966,0
2023-09-22 09:16:47,2785,0
2023-09-22 09:17:07,2491,0
2023-09-22 09:17:22,2684,0
2023-09-22 09:17:41,2418,0
2023-09-22 09:17:58,2696,0
2023-09-22 09:18:16,2854,0
2023-09-22 09:18:31,2594,0
2023-09-22 09:18:51,2823,0
2023-09-22 09:19:09,2569,0
2023-09-22 09:19:27,2729,0
2023-09-22 09:19:44,2542,0
2023-09-22 09:19:59,2829,0
2023-09-22 09:20:16,2662,0
2023-09-22 09:20:33,2874,0
2023-09-22 09:20:50,2575,0
2023-09-22 09:21:07,2913,0
2023-09-22 09:21:23,2635,0
2023-09-22 09:21:38,2482,0
2023-09-22 09:21:55,2753,0
2023-09-22 09:22:12,2511,0
2023-09-22 09:22:28,2810,0
2023-09-22 09:22:44,2633,0
2023-09-22 09:23:08,2879,0
2023-09-22 09:23:24,2672,0
2023-09-22 09:23:43,2857,0
2023-09-22 09:24:00,2578,0
2023-09-22 09:24:18,2760,0
2023-09-22 09:24:42,2468,0
2023-09-22 09:24:58,2693,0
2023-09-22 09:25:14,2493,0
2023-09-22 09:25:30,2753,0
2023-09-22 09:25:46,2559,0
2023-09-22 09:26:01,2751,0
2023-09-22 09:26:21,2358,0
2023-09-22 09:26:37,2833,0
2023-09-22 09:26:54,2641,0
2023-09-22 09:27:09,2905,0
2023-09-22 09:27:26,2633,0
2023-09-22 09:27:41,2441,0
2023-09-22 09:27:56,2610,0
2023-09-22 09:28:12,2818,0
2023-09-22 09:28:28,2605,0
2023-09-22 09:28:48,2798,0
2023-09-22 09:29:07,2637,0
2023-09-22 09:29:23,2882,0
2023-09-22 09:29:39,2560,0
2023-09-22 09:29:57,2819,0
2023-09-22 09:30:12,2543,0
2023-09-22 09:30:29,2828,0
2023-09-22 09:30:44,2577,0
2023-09-22 09:30:59,2882,0
2023-09-22 09:31:15,2621,0
2023-09-22 09:31:31,2838,0
2023-09-22 09:31:50,2634,0
2023-09-22 09:32:06,2867,0
2023-09-22 09:32:21,2640,0
2023-09-22 09:32:39,2875,0
2023-09-22 09:32:54,2611,0
2023-09-22 09:33:13,2784,0
2023-09-22 09:33:36,2579,0
2023-09-22 09:33:54,2949,0
2023-09-22 09:34:14,2733,0
2023-09-22 09:34:32,2574,0
2023-09-22 09:34:48,2841,0
2023-09-22 09:35:04,2580,0
2023-09-22 09:35:22,2779,0
2023-09-22 09:35:37,2503,0
2023-09-22 09:35:53,2814,0
2023-09-22 09:36:11,2661,0
2023-09-22 09:36:30,2897,0
2023-09-22 09:36:46,2590,0
2023-09-22 09:37:01,2742,0
2023-09-22 09:37:19,2528,0
2023-09-22 09:37:37,2872,0
2023-09-22 09:37:52,2604,0
2023-09-22 09:38:13,2826,0
2023-09-22 09:38:29,2527,0
2023-09-22 09:38:44,2891,0
2023-09-22 09:39:00,2723,0
2023-09-22 09:39:15,2537,0
2023-09-22 09:39:30,2903,0
2023-09-22 09:39:45,2615,0
2023-09-22 09:40:01,2902,0
2023-09-22 09:40:16,2619,0
2023-09-22 09:40:31,2892,0
2023-09-22 09:40:49,2597,0
2023-09-22 09:41:04,2827,0
2023-09-22 09:41:22,2557,0
2023-09-22 09:41:38,2817,0
2023-09-22 09:41:57,2652,0
2023-09-22 09:42:25,2818,0
2023-09-22 09:42:43,2600,0
2023-09-22 09:43:04,2980,0
2023-09-22 09:43:19,2762,0
2023-09-22 09:43:34,2442,0
2023-09-22 09:43:49,2749,0
2023-09-22 09:44:08,2965,0
2023-09-22 09:44:24,2774,0
2023-09-22 09:44:40,2617,0
