ts,distance,state
2023-08-07 09:00:03,819,0
2023-08-07 09:01:04,802,0
2023-08-07 09:02:05,809,0
2023-08-07 09:03:06,806,0
2023-08-07 09:04:06,808,0
2023-08-07 09:05:07,809,0
2023-08-07 09:06:08,807,0
2023-08-07 09:07:09,804,0
2023-08-07 09:08:10,802,0
2023-08-07 09:09:11,807,0
2023-08-07 09:10:11,806,0
2023-08-07 09:11:12,809,0
2023-08-07 09:12:13,804,0
2023-08-07 09:13:14,805,0
2023-08-07 09:14:15,809,0
2023-08-07 09:15:16,807,0
2023-08-07 09:16:16,808,0
2023-08-07 09:17:17,807,0
2023-08-07 09:18:18,808,0
2023-08-07 09:19:19,814,0
2023-08-07 09:20:20,807,0
2023-08-07 09:21:21,803,0
2023-08-07 09:22:21,810,0
2023-08-07 09:23:22,807,0
2023-08-07 09:24:23,810,0
2023-08-07 09:25:24,810,0
2023-08-07 09:26:25,805,0
2023-08-07 09:27:26,815,0
2023-08-07 09:28:26,809,0
2023-08-07 09:29:27,807,0
2023-08-07 09:30:28,811,0
2023-08-07 09:31:29,809,0
2023-08-07 09:32:30,805,0
2023-08-07 09:33:31,809,0
2023-08-07 09:34:32,813,0
2023-08-07 09:35:32,806,0
2023-08-07 09:36:33,812,0
2023-08-07 09:37:34,806,0
2023-08-07 09:38:35,804,0
2023-08-07 09:39:36,813,0
2023-08-07 09:40:37,815,0
2023-08-07 09:41:37,812,0
2023-08-07 09:42:38,804,0
2023-08-07 09:43:39,816,0
2023-08-07 09:44:40,808,0
2023-08-07 09:45:41,801,0
2023-08-07 09:46:42,805,0
2023-08-07 09:47:43,808,0
2023-08-07 09:48:44,815,0
2023-08-07 09:49:44,807,0
2023-08-07 09:50:45,808,0
2023-08-07 09:51:46,811,0
2023-08-07 09:52:47,802,0
2023-08-07 09:53:48,808,0
2023-08-07 09:54:49,805,0
2023-08-07 09:55:49,808,0
2023-08-07 09:56:50,806,0
2023-08-07 09:57:51,804,0
2023-08-07 09:58:52,803,0
2023-08-07 09:59:53,809,0
2023-08-07 10:00:54,809,0
2023-08-07 10:01:55,806,0
2023-08-07 10:02:55,812,0
2023-08-07 10:03:56,810,0
2023-08-07 10:04:57,804,0
2023-08-07 10:05:58,805,0
2023-08-07 10:06:59,807,0
2023-08-07 10:08:00,810,0
2023-08-07 10:09:01,803,0
2023-08-07 10:10:01,806,0
2023-08-07 10:11:02,800,0
2023-08-07 10:12:03,808,0
2023-08-07 10:13:04,808,0
2023-08-07 10:14:05,809,0
2023-08-07 10:15:06,811,0
2023-08-07 10:16:07,811,0
2023-08-07 10:17:07,814,0
2023-08-07 10:18:08,806,0
2023-08-07 10:19:09,809,0
2023-08-07 10:20:10,811,0
2023-08-07 10:21:11,806,0
2023-08-07 10:22:12,808,0
2023-08-07 10:23:13,814,0
2023-08-07 10:24:13,814,0
2023-08-07 10:25:14,809,0
2023-08-07 10:26:15,807,0
2023-08-07 10:27:16,808,0
2023-08-07 10:28:17,809,0
2023-08-07 10:29:18,806,0
2023-08-07 10:30:19,809,0
2023-08-07 10:31:19,806,0
2023-08-07 10:32:20,808,0
2023-08-07 10:33:21,808,0
2023-08-07 10:34:22,811,0
2023-08-07 10:35:23,802,0
2023-08-07 10:36:24,808,0
2023-08-07 10:37:25,806,0
2023-08-07 10:38:25,809,0
2023-08-07 10:39:26,810,0
2023-08-07 10:40:27,806,0
2023-08-07 10:41:28,798,0
2023-08-07 10:42:29,810,0
2023-08-07 10:43:30,807,0
2023-08-07 10:44:31,804,0
2023-08-07 10:45:31,806,0
2023-08-07 10:46:32,803,0
2023-08-07 10:47:33,813,0
2023-08-07 10:48:34,812,0
2023-08-07 10:49:35,813,0
2023-08-07 10:50:36,805,0
2023-08-07 10:51:37,805,0
2023-08-07 10:52:38,807,0
2023-08-07 10:53:38,805,0
2023-08-07 10:54:39,807,0
2023-08-07 10:55:40,809,0
2023-08-07 10:56:41,800,0
2023-08-07 10:57:42,808,0
2023-08-07 10:58:43,818,0
2023-08-07 10:59:43,804,0
2023-08-07 11:00:44,809,0
2023-08-07 11:01:46,807,0
2023-08-07 11:02:46,808,0
2023-08-07 11:03:47,808,0
2023-08-07 11:04:48,810,0
2023-08-07 11:05:49,806,0
2023-08-07 11:06:49,808,0
2023-08-07 11:07:50,809,0
2023-08-07 11:08:51,811,0
2023-08-07 11:09:52,812,0
2023-08-07 11:10:53,808,0
2023-08-07 11:11:54,810,0
2023-08-07 11:12:55,814,0
2023-08-07 11:13:56,806,0
2023-08-07 11:14:56,804,0
2023-08-07 11:15:57,805,0
2023-08-07 11:16:58,810,0
2023-08-07 11:17:59,803,0
2023-08-07 11:19:00,806,0
2023-08-07 11:20:01,804,0
2023-08-07 11:21:01,812,0
2023-08-07 11:22:02,805,0
2023-08-07 11:23:03,806,0
2023-08-07 11:24:04,808,0
2023-08-07 11:25:05,807,0
2023-08-07 11:26:06,812,0
2023-08-07 11:27:07,801,0
2023-08-07 11:28:08,810,0
2023-08-07 11:29:09,808,0
2023-08-07 11:30:09,807,0
2023-08-07 11:31:10,808,0
2023-08-07 11:32:11,806,0
2023-08-07 11:33:12,811,0
2023-08-07 11:34:13,801,0
2023-08-07 11:35:14,814,0
2023-08-07 11:36:14,807,0
2023-08-07 11:37:15,808,0
2023-08-07 11:38:16,811,0
2023-08-07 11:39:17,807,0
2023-08-07 11:40:18,810,0
2023-08-07 11:41:19,815,0
2023-08-07 11:42:20,814,0
2023-08-07 11:43:21,815,0
2023-08-07 11:44:22,815,0
2023-08-07 11:45:22,808,0
2023-08-07 11:46:23,809,0
2023-08-07 11:47:24,808,0
2023-08-07 11:48:25,807,0
2023-08-07 11:49:26,808,0
2023-08-07 11:50:27,806,0
2023-08-07 11:51:27,803,0
2023-08-07 11:52:28,812,0
2023-08-07 11:53:29,805,0
2023-08-07 11:54:30,809,0
2023-08-07 11:55:31,810,0
2023-08-07 11:56:32,805,0
2023-08-07 11:57:33,808,0
2023-08-07 11:58:34,808,0
2023-08-07 11:59:35,808,0
2023-08-07 12:00:35,815,0
2023-08-07 12:01:36,810,0
2023-08-07 12:02:37,804,0
2023-08-07 12:03:38,809,0
2023-08-07 12:04:39,814,0
2023-08-07 12:05:40,809,0
2023-08-07 12:06:41,810,0
2023-08-07 12:07:41,809,0
2023-08-07 12:08:43,812,0
2023-08-07 12:09:43,809,0
2023-08-07 12:10:44,820,0
2023-08-07 12:11:45,811,0
2023-08-07 12:12:46,805,0
2023-08-07 12:13:47,808,0
2023-08-07 12:14:48,810,0
2023-08-07 12:15:49,812,0
2023-08-07 12:16:49,811,0
2023-08-07 12:17:50,806,0
2023-08-07 12:18:51,808,0
2023-08-07 12:19:52,808,0
2023-08-07 12:20:53,810,0
2023-08-07 12:21:54,794,0
2023-08-07 12:22:55,810,0
2023-08-07 12:23:56,805,0
2023-08-07 12:24:57,806,0
2023-08-07 12:25:57,808,0
2023-08-07 12:26:58,796,0
2023-08-07 12:27:59,801,0
2023-08-07 12:29:00,810,0
2023-08-07 12:30:01,805,0
2023-08-07 12:31:02,805,0
2023-08-07 12:32:03,808,0
2023-08-07 12:33:04,808,0
2023-08-07 12:34:05,818,0
2023-08-07 12:35:05,804,0
2023-08-07 12:36:06,811,0
2023-08-07 12:37:07,815,0
2023-08-07 12:38:08,822,0
2023-08-07 12:39:09,801,0
2023-08-07 12:40:10,813,0
2023-08-07 12:41:11,814,0
2023-08-07 12:42:12,812,0
2023-08-07 12:43:13,800,0
2023-08-07 12:44:14,810,0
2023-08-07 12:45:14,811,0
2023-08-07 12:46:15,805,0
