ts,distance,state
2023-09-17 09:00:01,318,1
2023-09-17 09:01:02,319,0
2023-09-17 09:02:02,317,0
2023-09-17 09:03:03,318,0
2023-09-17 09:04:04,319,0
2023-09-17 09:05:04,318,0
2023-09-17 09:06:05,318,0
2023-09-17 09:07:05,320,0
2023-09-17 09:08:06,319,0
2023-09-17 09:09:07,319,0
2023-09-17 09:10:07,318,0
2023-09-17 09:11:08,318,0
2023-09-17 09:12:09,318,0
2023-09-17 09:13:09,318,0
2023-09-17 09:14:10,319,0
2023-09-17 09:15:11,319,0
2023-09-17 09:16:11,309,0
2023-09-17 09:17:12,318,0
2023-09-17 09:18:13,319,0
2023-09-17 09:19:13,320,0
2023-09-17 09:20:14,318,0
2023-09-17 09:21:14,313,0
2023-09-17 09:22:15,319,0
2023-09-17 09:23:16,319,0
2023-09-17 09:24:16,319,0
2023-09-17 09:25:17,319,0
2023-09-17 09:26:18,319,0
2023-09-17 09:27:18,317,0
2023-09-17 09:28:19,318,0
2023-09-17 09:29:20,316,0
2023-09-17 09:30:20,312,0
2023-09-17 09:31:21,318,0
2023-09-17 09:32:22,318,0
2023-09-17 09:33:22,318,0
2023-09-17 09:34:23,310,0
2023-09-17 09:35:24,319,0
2023-09-17 09:36:24,318,0
2023-09-17 09:37:25,318,0
2023-09-17 09:38:26,318,0
2023-09-17 09:39:26,318,0
2023-09-17 09:40:27,318,0
2023-09-17 09:41:28,312,0
2023-09-17 09:42:28,317,0
2023-09-17 09:43:29,318,0
2023-09-17 09:44:30,320,0
2023-09-17 09:45:30,318,0
2023-09-17 09:46:31,321,0
2023-09-17 09:47:31,320,0
2023-09-17 09:48:32,319,0
2023-09-17 09:49:33,319,0
2023-09-17 09:50:33,320,0
2023-09-17 09:51:34,318,0
2023-09-17 09:52:35,316,0
2023-09-17 09:53:35,317,0
2023-09-17 09:54:36,317,0
2023-09-17 09:55:37,319,0
2023-09-17 09:56:37,319,0
2023-09-17 09:57:38,316,0
2023-09-17 09:58:39,317,0
2023-09-17 09:59:39,319,0
2023-09-17 10:00:40,319,0
2023-09-17 10:01:41,320,0
2023-09-17 10:02:41,320,0
2023-09-17 10:03:42,316,0
2023-09-17 10:04:43,319,0
2023-09-17 10:05:43,312,0
2023-09-17 10:06:44,316,0
