,ts,id,rssi
3427,2023-10-10 09:00:23,2,-70
3426,2023-10-10 09:00:36,2,-100
3425,2023-10-10 09:00:42,2,-63
3424,2023-10-10 09:00:48,2,-71
3423,2023-10-10 09:00:54,2,-62
3422,2023-10-10 09:00:54,1,-59
3421,2023-10-10 09:01:00,2,-73
3420,2023-10-10 09:01:12,2,-63
3419,2023-10-10 09:01:18,1,-66
3418,2023-10-10 09:01:24,1,-58
3417,2023-10-10 09:01:48,2,-71
3416,2023-10-10 09:01:54,2,-77
3415,2023-10-10 09:02:00,1,-69
3414,2023-10-10 09:02:06,1,-51
3413,2023-10-10 09:02:06,2,-100
3412,2023-10-10 09:02:18,2,-74
3411,2023-10-10 09:02:30,1,-58
3410,2023-10-10 09:02:42,2,-64
3409,2023-10-10 09:02:42,1,-64
3408,2023-10-10 09:03:00,2,-78
3407,2023-10-10 09:03:24,1,-75
3406,2023-10-10 09:03:30,1,-60
3405,2023-10-10 09:03:36,1,-69
3404,2023-10-10 09:03:42,1,-63
3403,2023-10-10 09:04:00,1,-56
3402,2023-10-10 09:04:06,1,-72
3401,2023-10-10 09:04:18,2,-72
3400,2023-10-10 09:04:18,1,-63
3399,2023-10-10 09:04:30,2,-100
3398,2023-10-10 09:04:36,2,-77
3397,2023-10-10 09:04:36,1,-53
3396,2023-10-10 09:04:48,2,-100
3395,2023-10-10 09:04:54,2,-74
3394,2023-10-10 09:04:54,1,-59
3393,2023-10-10 09:05:06,1,-48
3392,2023-10-10 09:05:06,2,-100
3391,2023-10-10 09:05:12,2,-66
3390,2023-10-10 09:05:12,1,-57
3389,2023-10-10 09:05:30,1,-51
3388,2023-10-10 09:05:36,2,-76
3387,2023-10-10 09:05:42,1,-60
3386,2023-10-10 09:05:48,2,-59
3385,2023-10-10 09:05:48,1,-76
3384,2023-10-10 09:05:54,2,-65
3383,2023-10-10 09:06:00,1,-70
3382,2023-10-10 09:06:12,2,-73
3381,2023-10-10 09:06:12,1,-76
3380,2023-10-10 09:06:18,1,-65
3379,2023-10-10 09:06:30,2,-62
3378,2023-10-10 09:06:30,1,-53
3377,2023-10-10 09:06:42,2,-73
3376,2023-10-10 09:06:48,2,-67
3375,2023-10-10 09:06:54,1,-61
3374,2023-10-10 09:07:06,2,-73
3373,2023-10-10 09:07:12,2,-79
3372,2023-10-10 09:07:12,1,-71
3371,2023-10-10 09:07:24,2,-73
3370,2023-10-10 09:07:30,1,-62
3369,2023-10-10 09:07:36,2,-49
3368,2023-10-10 09:07:42,2,-72
3367,2023-10-10 09:07:48,2,-65
3366,2023-10-10 09:07:48,1,-74
3365,2023-10-10 09:07:54,2,-58
3364,2023-10-10 09:07:54,1,-56
3363,2023-10-10 09:08:06,2,-67
3362,2023-10-10 09:08:06,1,-62
3361,2023-10-10 09:08:12,2,-76
3360,2023-10-10 09:08:18,2,-63
3359,2023-10-10 09:08:18,1,-55
3358,2023-10-10 09:08:24,2,-78
3357,2023-10-10 09:08:24,1,-62
3356,2023-10-10 09:08:30,2,-57
3355,2023-10-10 09:08:36,2,-67
3354,2023-10-10 09:08:36,1,-55
3353,2023-10-10 09:08:42,2,-75
3352,2023-10-10 09:08:54,1,-64
3351,2023-10-10 09:09:00,2,-66
3350,2023-10-10 09:09:12,2,-72
3349,2023-10-10 09:09:24,2,-66
3348,2023-10-10 09:09:30,1,-56
3347,2023-10-10 09:09:48,1,-62
3346,2023-10-10 09:10:00,2,-73
3345,2023-10-10 09:10:12,2,-67
3344,2023-10-10 09:10:18,1,-72
3343,2023-10-10 09:10:24,2,-73
3342,2023-10-10 09:10:36,1,-64
3341,2023-10-10 09:10:42,1,-57
3340,2023-10-10 09:10:54,1,-68
3339,2023-10-10 09:11:06,1,-62
3338,2023-10-10 09:11:30,2,-61
3337,2023-10-10 09:11:30,1,-71
3336,2023-10-10 09:11:36,1,-64
3335,2023-10-10 09:11:42,2,-55
3334,2023-10-10 09:11:48,2,-73
