,ts,task,empid,sec
304,2023-07-27 11:58:21,0,0,0
303,2023-07-27 12:03:49,0,0,0
302,2023-07-27 12:04:30,0,0,0
301,2023-07-27 12:08:07,0,0,0
300,2023-07-27 12:09:27,0,0,0
299,2023-07-27 12:12:29,0,0,0
298,2023-07-27 12:13:42,0,0,0
297,2023-07-27 12:14:02,0,0,0
296,2023-07-27 12:15:25,0,0,0
295,2023-07-27 12:16:02,0,0,0
294,2023-07-27 12:16:49,0,0,0
293,2023-07-27 12:17:19,0,5,51
292,2023-07-27 12:17:19,3,5,0
291,2023-07-27 12:17:27,0,,
290,2023-07-27 12:21:58,0,5,353
289,2023-07-27 12:21:58,2,5,0
288,2023-07-27 12:22:05,0,,
287,2023-07-27 12:22:08,0,5,4
286,2023-07-27 12:22:08,2,5,0
285,2023-07-27 12:22:25,2,5,17
284,2023-07-27 12:22:47,2,5,21
283,2023-07-27 12:23:36,0,,
282,2023-07-27 12:23:42,0,5,7
281,2023-07-27 12:23:42,2,5,0
280,2023-07-27 12:23:52,2,5,9
279,2023-07-27 12:24:00,0,,
278,2023-07-27 12:24:03,0,5,5
277,2023-07-27 12:24:03,2,5,0
276,2023-07-27 12:24:05,2,5,1
275,2023-07-27 12:24:16,0,,
274,2023-07-27 12:25:04,0,5,45
273,2023-07-27 12:25:05,2,5,0
272,2023-07-27 12:25:07,2,5,2
271,2023-07-27 12:25:09,2,5,2
270,2023-07-27 12:25:11,2,5,1
269,2023-07-27 12:25:13,0,,
268,2023-07-27 12:25:48,0,5,34
267,2023-07-27 12:25:50,2,5,0
266,2023-07-27 12:25:51,0,,
265,2023-07-27 12:28:56,0,5,260
264,2023-07-27 12:28:56,2,5,0
263,2023-07-27 12:29:34,0,0,0
262,2023-07-27 12:30:46,0,0,0
261,2023-07-27 12:32:33,0,0,0
260,2023-07-27 12:33:43,0,0,0
259,2023-07-27 12:34:58,0,5,82
258,2023-07-27 12:34:58,2,5,0
257,2023-07-27 12:34:59,0,,
256,2023-07-27 12:35:01,0,5,3
255,2023-07-27 12:35:01,2,5,0
254,2023-07-27 12:35:36,0,,
253,2023-07-27 12:35:39,0,5,5
252,2023-07-27 12:35:39,2,5,0
251,2023-07-27 12:35:46,2,5,6
250,2023-07-27 12:35:59,2,5,13
249,2023-07-27 12:36:06,2,5,7
248,2023-07-27 12:36:20,2,5,14
247,2023-07-27 12:36:26,2,5,6
246,2023-07-27 12:36:59,0,,
245,2023-07-27 12:37:01,0,5,4
244,2023-07-27 12:37:01,2,5,0
243,2023-07-27 12:37:08,2,5,6
242,2023-07-27 12:37:17,2,5,9
241,2023-07-27 12:37:26,2,5,9
240,2023-07-27 12:37:35,2,5,9
239,2023-07-27 12:37:45,2,5,10
238,2023-07-27 12:37:54,0,,
237,2023-07-27 12:37:55,0,5,3
236,2023-07-27 12:37:55,2,5,0
235,2023-07-27 12:38:05,2,5,9
234,2023-07-27 12:38:17,2,5,12
233,2023-07-27 12:38:31,2,5,14
232,2023-07-27 12:38:37,2,5,6
231,2023-07-27 12:38:44,2,5,7
230,2023-07-27 12:39:04,2,5,20
229,2023-07-27 12:39:43,2,5,39
228,2023-07-27 12:39:46,2,5,2
227,2023-07-27 12:39:54,2,5,9
226,2023-07-27 12:39:59,2,5,4
225,2023-07-27 12:40:05,2,5,5
224,2023-07-27 12:40:09,2,5,5
223,2023-07-27 12:40:15,0,,
222,2023-07-27 12:40:18,0,5,4
221,2023-07-27 12:40:18,2,5,0
220,2023-07-27 12:40:32,0,0,0
219,2023-07-27 12:40:34,0,0,4
218,2023-07-27 12:40:34,2,0,0
217,2023-07-27 12:40:39,0,,
216,2023-07-27 12:40:46,0,0,13
215,2023-07-27 12:40:46,1,0,0
214,2023-07-27 12:40:55,1,0,8
213,2023-07-27 12:41:02,1,0,7
212,2023-07-27 12:41:13,1,0,11
211,2023-07-27 12:41:19,1,0,6
210,2023-07-27 12:41:26,1,0,7
209,2023-07-27 12:41:33,1,0,7
208,2023-07-27 12:41:40,1,0,7
207,2023-07-27 12:42:00,1,0,20
206,2023-07-27 12:42:06,1,0,6
205,2023-07-27 12:42:15,1,0,8
204,2023-07-27 12:42:35,0,,
203,2023-07-27 12:42:44,0,5,14
202,2023-07-27 12:42:44,1,5,0
201,2023-07-27 12:42:54,1,5,10
200,2023-07-27 12:43:06,1,5,11
199,2023-07-27 12:43:12,1,5,7
198,2023-07-27 12:43:40,0,,
197,2023-07-27 12:44:32,0,0,48
196,2023-07-27 12:44:32,1,0,0
195,2023-07-27 12:48:47,1,0,250
194,2023-07-27 12:48:49,0,,
193,2023-07-27 12:48:54,0,0,6
192,2023-07-27 12:48:54,1,0,0
191,2023-07-27 12:49:06,1,0,12
190,2023-07-27 12:49:50,1,0,43
189,2023-07-27 12:50:01,1,0,9
188,2023-07-27 12:50:02,1,0,3
187,2023-07-27 12:50:11,1,0,9
186,2023-07-27 12:51:43,1,0,91
185,2023-07-27 12:52:22,1,0,39
184,2023-07-27 12:52:25,1,0,3
183,2023-07-27 12:55:08,1,0,158
182,2023-07-27 12:55:18,1,0,9
181,2023-07-27 12:58:05,0,0,0
180,2023-07-27 12:59:08,0,4,117
179,2023-07-27 12:59:08,1,4,0
178,2023-07-27 12:59:11,1,4,2
177,2023-07-27 13:29:22,1,0,2018
176,2023-07-27 13:31:28,1,4,1878
175,2023-07-27 13:31:45,1,4,16
174,2023-07-27 13:31:49,1,4,4
173,2023-07-27 13:31:54,1,0,148
172,2023-07-27 13:31:57,1,0,3
171,2023-07-27 13:32:08,1,4,18
170,2023-07-27 13:32:11,1,4,3
169,2023-07-27 13:32:13,1,4,2
168,2023-07-27 13:33:23,1,4,69
167,2023-07-27 13:34:05,1,4,41
166,2023-07-27 13:34:09,1,4,4
165,2023-07-27 13:34:13,1,4,4
164,2023-07-27 13:34:17,1,4,4
163,2023-07-27 13:34:34,0,4,13
162,2023-07-27 13:34:34,1,4,0
161,2023-07-27 13:37:11,1,4,153
160,2023-07-27 13:38:48,1,4,94
159,2023-07-27 13:38:51,1,4,3
158,2023-07-27 13:39:27,1,4,35
157,2023-07-27 13:39:30,1,4,3
156,2023-07-27 13:39:42,0,0,0
155,2023-07-27 13:40:22,0,4,38
154,2023-07-27 13:40:22,1,4,0
153,2023-07-27 13:41:42,0,4,62
152,2023-07-27 13:41:42,1,4,0
151,2023-07-27 13:41:55,0,,
150,2023-07-27 13:51:05,0,4,491
149,2023-07-27 13:51:05,3,4,0
148,2023-07-27 13:55:21,1,0,1384
147,2023-07-27 13:55:29,1,0,8
146,2023-07-27 13:55:32,1,0,1
145,2023-07-27 13:55:32,1,0,2
144,2023-07-27 13:55:34,1,0,1
143,2023-07-27 13:55:35,1,0,2
142,2023-07-27 13:55:45,1,0,9
141,2023-07-27 13:55:47,1,0,3
140,2023-07-27 13:55:54,1,0,7
139,2023-07-27 14:04:15,3,4,769
138,2023-07-27 14:36:49,0,0,0
137,2023-07-27 14:37:02,0,0,0
136,2023-07-27 14:37:16,1,0,2449
135,2023-07-27 14:37:16,1,0,0
134,2023-07-27 14:37:16,1,0,0
133,2023-07-27 14:37:17,1,0,0
132,2023-07-27 14:37:18,1,0,2
131,2023-07-27 14:37:19,1,0,0
130,2023-07-27 14:37:19,1,0,1
129,2023-07-27 14:37:19,1,0,0
128,2023-07-27 14:37:19,1,0,0
127,2023-07-27 14:37:20,1,0,0
126,2023-07-27 14:37:20,1,0,1
125,2023-07-27 14:37:28,1,0,8
124,2023-07-27 14:37:29,1,0,0
123,2023-07-27 14:37:29,1,0,1
122,2023-07-27 14:37:30,1,0,1
121,2023-07-27 14:37:31,1,0,1
120,2023-07-27 14:37:32,1,0,1
119,2023-07-27 14:37:33,1,0,1
118,2023-07-27 14:37:34,1,0,0
117,2023-07-27 14:37:34,1,0,1
116,2023-07-27 14:37:34,1,0,0
115,2023-07-27 14:37:35,1,0,0
114,2023-07-27 14:37:35,1,0,0
113,2023-07-27 14:37:35,1,0,0
112,2023-07-27 14:37:35,1,0,0
111,2023-07-27 14:37:36,1,0,1
110,2023-07-27 14:37:36,1,0,1
109,2023-07-27 14:37:36,1,0,0
108,2023-07-27 14:38:05,0,0,0
107,2023-07-27 14:41:21,0,,
106,2023-07-27 14:41:26,0,0,7
105,2023-07-27 14:41:26,0,0,0
104,2023-07-27 14:41:34,0,,
103,2023-07-27 14:42:09,0,5,59
102,2023-07-27 14:42:09,3,5,0
101,2023-07-27 14:42:16,3,5,7
100,2023-07-27 14:42:34,3,5,18
99,2023-07-27 14:42:38,3,5,3
98,2023-07-27 15:16:01,0,4,2033
97,2023-07-27 15:16:01,4,4,0
96,2023-07-27 15:16:02,0,,
95,2023-07-27 15:17:14,0,4,64
94,2023-07-27 15:17:14,4,4,0
93,2023-07-27 15:17:18,4,4,4
92,2023-07-27 15:17:21,4,4,3
91,2023-07-27 15:17:33,4,4,11
90,2023-07-27 15:17:42,0,,
