,ts,task,empid,sec
30,2023-07-26 15:09:32,0,,
29,2023-07-26 15:09:35,0,14,5
28,2023-07-26 15:09:36,2,14,0
27,2023-07-26 15:11:55,2,14,135
26,2023-07-26 15:12:08,2,14,11
25,2023-07-26 15:12:08,0,,
24,2023-07-26 15:13:11,1,13,0
23,2023-07-26 15:13:13,1,13,2
22,2023-07-26 15:13:16,0,,
21,2023-07-26 15:13:43,0,13,50
20,2023-07-26 15:13:44,1,13,0
19,2023-07-26 15:13:46,1,13,2
18,2023-07-26 15:13:47,0,,
17,2023-07-26 15:13:57,0,13,15
16,2023-07-26 15:13:57,1,13,0
15,2023-07-26 15:14:08,1,13,10
14,2023-07-26 15:14:13,0,,
13,2023-07-26 15:21:41,0,13,398
12,2023-07-26 15:21:42,3,13,0
11,2023-07-26 15:21:44,3,13,2
10,2023-07-26 15:21:50,3,13,6
9,2023-07-26 15:21:59,3,13,8
8,2023-07-26 15:22:49,3,13,48
7,2023-07-26 15:24:07,3,13,74
6,2023-07-26 15:28:30,3,13,249
5,2023-07-26 15:28:38,3,13,8
4,2023-07-26 15:28:40,0,,
3,2023-07-26 15:29:28,0,12,80
2,2023-07-26 15:29:28,3,12,0
1,2023-07-26 15:29:37,3,12,8
0,2023-07-26 15:31:23,3,12,102
