ts,id,rssi
2023-10-11 09:00:15,2,-100
2023-10-11 09:00:21,2,-65
2023-10-11 09:00:33,2,-73
2023-10-11 09:00:33,1,-73
2023-10-11 09:00:39,2,-60
2023-10-11 09:00:39,1,-67
2023-10-11 09:00:51,2,-50
2023-10-11 09:00:51,1,-78
2023-10-11 09:01:03,2,-67
2023-10-11 09:01:09,2,-61
2023-10-11 09:01:09,1,-63
2023-10-11 09:01:27,2,-69
2023-10-11 09:01:45,1,-100
2023-10-11 09:01:51,1,-56
2023-10-11 09:02:03,2,-56
2023-10-11 09:02:03,1,-67
2023-10-11 09:02:21,2,-72
2023-10-11 09:02:21,1,-61
2023-10-11 09:02:33,2,-80
2023-10-11 09:02:33,1,-67
2023-10-11 09:02:45,2,-70
2023-10-11 09:02:51,1,-59
2023-10-11 09:03:03,1,-65
2023-10-11 09:03:09,2,-76
2023-10-11 09:03:15,1,-72
2023-10-11 09:03:27,1,-65
2023-10-11 09:03:33,2,-64
2023-10-11 09:03:45,1,-75
2023-10-11 09:03:51,1,-62
2023-10-11 09:03:57,2,-73
2023-10-11 09:04:03,1,-74
2023-10-11 09:04:15,2,-63
2023-10-11 09:04:21,1,-64
2023-10-11 09:04:33,2,-72
2023-10-11 09:04:39,2,-65
2023-10-11 09:05:03,2,-75
2023-10-11 09:05:03,1,-100
2023-10-11 09:05:15,2,-63
2023-10-11 09:05:15,1,-61
2023-10-11 09:05:39,2,-69
2023-10-11 09:05:39,1,-100
2023-10-11 09:05:57,2,-100
2023-10-11 09:06:04,1,-65
2023-10-11 09:06:28,2,-58
2023-10-11 09:06:34,2,-72
2023-10-11 09:06:40,1,-55
2023-10-11 09:06:46,1,-67
2023-10-11 09:06:52,2,-62
2023-10-11 09:07:16,2,-56
2023-10-11 09:07:40,1,-75
2023-10-11 09:07:46,2,-100
2023-10-11 09:07:52,2,-60
2023-10-11 09:07:58,2,-66
2023-10-11 09:08:10,2,-59
2023-10-11 09:08:16,1,-63
2023-10-11 09:08:16,2,-46
2023-10-11 09:08:22,2,-61
2023-10-11 09:08:28,2,-67
2023-10-11 09:08:40,1,-100
2023-10-11 09:08:40,2,-100
2023-10-11 09:08:46,2,-65
2023-10-11 09:08:52,1,-74
2023-10-11 09:09:04,1,-63
2023-10-11 09:09:28,1,-74
2023-10-11 09:09:40,2,-58
2023-10-11 09:09:52,2,-65
2023-10-11 09:09:52,1,-63
2023-10-11 09:10:04,1,-73
2023-10-11 09:10:22,1,-60
2023-10-11 09:10:28,1,-66
2023-10-11 09:10:46,1,-72
2023-10-11 09:10:52,1,-61
2023-10-11 09:11:04,2,-100
2023-10-11 09:11:16,2,-61
2023-10-11 09:11:16,1,-72
2023-10-11 09:11:22,2,-69
2023-10-11 09:11:22,1,-62
2023-10-11 09:11:34,1,-76
2023-10-11 09:11:40,2,-62
2023-10-11 09:11:40,1,-66
2023-10-11 09:11:46,2,-56
2023-10-11 09:11:58,2,-62
2023-10-11 09:12:34,2,-100
2023-10-11 09:12:34,1,-100
2023-10-11 09:12:40,1,-66
2023-10-11 09:12:40,2,-67
2023-10-11 09:12:46,1,-59
2023-10-11 09:12:58,1,-68
2023-10-11 09:13:10,2,-59
2023-10-11 09:13:28,2,-69
2023-10-11 09:13:29,1,-100
2023-10-11 09:13:40,1,-64
2023-10-11 09:13:46,2,-100
2023-10-11 09:14:04,2,-71
2023-10-11 09:14:06,1,-100
2023-10-11 09:14:10,1,-63
2023-10-11 09:14:22,1,-100
2023-10-11 09:14:22,2,-100
2023-10-11 09:14:41,1,-68
2023-10-11 09:14:41,2,-69
2023-10-11 09:14:59,2,-62
2023-10-11 09:15:23,2,-69
2023-10-11 09:15:35,2,-100
2023-10-11 09:15:53,1,-100
2023-10-11 09:15:59,1,-73
2023-10-11 09:16:05,2,-62
2023-10-11 09:16:17,1,-66
2023-10-11 09:16:29,2,-100
2023-10-11 09:16:41,2,-56
2023-10-11 09:16:53,1,-73
2023-10-11 09:17:05,1,-100
2023-10-11 09:17:05,2,-100
2023-10-11 09:17:11,2,-67
2023-10-11 09:17:11,1,-68
2023-10-11 09:17:17,2,-59
2023-10-11 09:17:23,2,-73
2023-10-11 09:17:29,2,-66
2023-10-11 09:17:59,2,-100
2023-10-11 09:17:59,1,-100
2023-10-11 09:18:05,1,-73
2023-10-11 09:18:11,2,-61
2023-10-11 09:18:17,2,-78
2023-10-11 09:18:17,1,-100
2023-10-11 09:18:23,1,-65
2023-10-11 09:18:29,2,-70
2023-10-11 09:18:35,1,-75
2023-10-11 09:18:41,1,-61
2023-10-11 09:18:47,1,-77
2023-10-11 09:18:53,1,-67
2023-10-11 09:18:59,2,-64
2023-10-11 09:19:11,1,-77
2023-10-11 09:19:17,1,-70
2023-10-11 09:19:17,2,-72
2023-10-11 09:19:29,2,-53
2023-10-11 09:19:35,1,-64
2023-10-11 09:19:41,1,-71
2023-10-11 09:19:41,2,-77
2023-10-11 09:19:53,2,-60
2023-10-11 09:20:05,1,-100
2023-10-11 09:20:11,1,-64
2023-10-11 09:20:47,2,-73
2023-10-11 09:20:59,1,-100
2023-10-11 09:21:11,1,-64
2023-10-11 09:21:11,2,-57
2023-10-11 09:21:17,2,-65
2023-10-11 09:21:35,1,-100
2023-10-11 09:21:41,1,-63
2023-10-11 09:21:59,1,-72
2023-10-11 09:22:11,1,-57
2023-10-11 09:22:11,2,-100
2023-10-11 09:22:17,1,-70
2023-10-11 09:22:17,2,-73
2023-10-11 09:22:29,1,-61
2023-10-11 09:22:29,2,-62
2023-10-11 09:22:41,1,-71
2023-10-11 09:22:47,1,-65
2023-10-11 09:22:53,2,-71
2023-10-11 09:23:05,2,-100
2023-10-11 09:23:23,1,-77
2023-10-11 09:23:35,2,-63
2023-10-11 09:23:41,1,-100
2023-10-11 09:23:53,1,-73
2023-10-11 09:23:59,1,-64
2023-10-11 09:23:59,2,-100
2023-10-11 09:24:17,1,-100
2023-10-11 09:24:23,1,-73
2023-10-11 09:24:29,2,-64
2023-10-11 09:25:11,1,-100
2023-10-11 09:25:11,2,-100
2023-10-11 09:25:17,2,-72
2023-10-11 09:25:23,2,-61
2023-10-11 09:25:23,1,-68
2023-10-11 09:25:35,1,-57
2023-10-11 09:25:47,1,-69
2023-10-11 09:25:47,2,-100
2023-10-11 09:25:53,2,-63
2023-10-11 09:26:17,2,-75
2023-10-11 09:26:23,2,-54
2023-10-11 09:26:35,2,-63
2023-10-11 09:26:41,1,-100
2023-10-11 09:27:00,2,-73
2023-10-11 09:27:06,2,-65
2023-10-11 09:27:12,2,-58
2023-10-11 09:27:12,1,-64
2023-10-11 09:27:24,2,-64
2023-10-11 09:27:36,2,-70
2023-10-11 09:27:42,1,-70
2023-10-11 09:27:54,2,-100
2023-10-11 09:28:00,2,-57
2023-10-11 09:28:24,2,-67
2023-10-11 09:28:30,2,-73
2023-10-11 09:28:36,2,-60
2023-10-11 09:28:48,2,-69
2023-10-11 09:28:54,2,-63
2023-10-11 09:29:18,2,-56
2023-10-11 09:29:36,1,-62
2023-10-11 09:29:42,1,-75
2023-10-11 09:29:48,2,-67
2023-10-11 09:29:48,1,-67
2023-10-11 09:29:54,2,-58
2023-10-11 09:30:00,2,-68
2023-10-11 09:30:00,1,-59
2023-10-11 09:30:06,2,-53
2023-10-11 09:30:12,2,-64
2023-10-11 09:30:30,2,-77
2023-10-11 09:30:36,2,-62
2023-10-11 09:30:48,1,-69
2023-10-11 09:31:12,2,-72
2023-10-11 09:31:18,2,-59
2023-10-11 09:31:24,1,-54
2023-10-11 09:31:36,2,-70
2023-10-11 09:31:48,1,-65
2023-10-11 09:31:54,2,-64
2023-10-11 09:32:00,1,-59
2023-10-11 09:32:06,1,-67
2023-10-11 09:32:18,1,-75
2023-10-11 09:32:24,1,-62
2023-10-11 09:32:36,1,-75
2023-10-11 09:32:54,1,-63
2023-10-11 09:33:00,1,-72
2023-10-11 09:33:06,1,-64
2023-10-11 09:33:18,1,-73
2023-10-11 09:33:24,1,-58
2023-10-11 09:33:48,1,-67
2023-10-11 09:33:54,1,-60
2023-10-11 09:34:00,2,-58
2023-10-11 09:34:00,1,-67
2023-10-11 09:34:12,2,-66
2023-10-11 09:34:12,1,-51
2023-10-11 09:34:18,1,-63
2023-10-11 09:34:24,1,-53
2023-10-11 09:34:36,1,-62
2023-10-11 09:34:42,2,-75
2023-10-11 09:34:42,1,-50
2023-10-11 09:34:48,2,-69
2023-10-11 09:34:48,1,-65
2023-10-11 09:34:54,1,-51
2023-10-11 09:35:00,1,-74
2023-10-11 09:35:06,1,-63
2023-10-11 09:35:12,1,-52
2023-10-11 09:35:18,1,-59
2023-10-11 09:35:24,1,-65
2023-10-11 09:35:36,2,-59
2023-10-11 09:35:36,1,-55
2023-10-11 09:35:42,2,-52
2023-10-11 09:35:42,1,-69
2023-10-11 09:35:48,2,-59
2023-10-11 09:35:48,1,-63
2023-10-11 09:35:54,2,-65
2023-10-11 09:35:54,1,-73
2023-10-11 09:36:00,1,-62
2023-10-11 09:36:12,1,-80
2023-10-11 09:36:30,1,-74
2023-10-11 09:36:36,2,-58
2023-10-11 09:36:48,2,-69
2023-10-11 09:37:12,2,-62
2023-10-11 09:37:18,2,-53
2023-10-11 09:37:24,2,-59
2023-10-11 09:37:24,1,-62
2023-10-11 09:37:36,2,-68
2023-10-11 09:38:00,2,-60
2023-10-11 09:38:00,1,-71
2023-10-11 09:38:06,1,-63
2023-10-11 09:38:12,2,-68
2023-10-11 09:38:18,2,-59
2023-10-11 09:38:18,1,-69
2023-10-11 09:38:30,2,-66
2023-10-11 09:38:30,1,-63
2023-10-11 09:38:36,1,-70
2023-10-11 09:38:48,2,-60
2023-10-11 09:38:48,1,-61
2023-10-11 09:39:01,2,-66
2023-10-11 09:39:06,1,-71
2023-10-11 09:39:13,1,-63
2023-10-11 09:39:19,1,-71
2023-10-11 09:39:25,1,-63
2023-10-11 09:39:31,2,-60
2023-10-11 09:39:43,2,-73
2023-10-11 09:39:49,2,-60
2023-10-11 09:39:55,1,-69
2023-10-11 09:40:13,1,-57
2023-10-11 09:40:19,1,-75
2023-10-11 09:40:25,2,-69
2023-10-11 09:40:31,2,-57
2023-10-11 09:40:37,2,-69
