Stamp,Model,Status
2023-09-25 15:11:17,SPT120018W,OK
2023-09-25 15:12:26,SPT120018W,OK
2023-09-25 15:13:47,SPT120018W,OK
2023-09-25 15:15:00,SPT120018W,OK
2023-09-25 15:16:25,SPT120018W,OK
2023-09-25 15:18:04,SPT120018W,OK
2023-09-25 15:20:10,SPT120018W,OK
2023-09-25 15:21:16,SPT120018W,OK
2023-09-25 15:22:05,SPT120018W,OK
2023-09-25 15:23:27,SPT120018W,OK
2023-09-25 15:26:41,SPT120018W,OK
2023-09-25 15:27:44,SPT120018W,OK
2023-09-25 15:28:41,SPT120018W,OK
2023-09-25 15:29:36,SPT120018W,OK
2023-09-25 15:30:26,SPT120018W,OK
2023-09-25 15:33:02,SPT120018W,OK
2023-09-25 15:34:09,SPT120018W,OK
2023-09-25 15:35:05,SPT120018W,OK
2023-09-25 15:36:38,SPT120018W,OK
2023-09-25 15:37:45,SPT120018W,OK
2023-09-25 15:39:19,SPT120018W,OK
2023-09-25 15:41:03,SPT120018W,OK
2023-09-25 15:41:54,SPT120018W,KO
2023-09-25 15:42:46,SPT120018W,OK
2023-09-25 15:43:36,SPT120018W,OK
2023-09-25 15:45:21,SPT120018W,OK
2023-09-25 15:46:45,SPT120018W,OK
2023-09-25 15:48:20,SPT120018W,OK
2023-09-25 15:49:44,SPT120018W,KO
2023-09-25 15:50:21,SPT120018W,OK
2023-09-25 15:51:07,SPT120018W,OK
2023-09-25 15:52:13,SPT120018W,OK
2023-09-25 15:53:58,SPT120018W,OK
2023-09-25 15:55:24,SPT120018W,KO
2023-09-25 15:56:11,SPT120018W,OK
2023-09-25 15:57:09,SPT120018W,KO
2023-09-25 15:59:30,SPT120018W,OK
2023-09-25 16:00:21,SPT120018W,OK
2023-09-25 16:01:16,SPT120018W,OK
2023-09-25 16:02:10,SPT120018W,OK
2023-09-25 16:03:00,SPT120018W,OK
2023-09-25 16:04:50,SPT120018W,OK
2023-09-25 16:05:37,SPT120018W,OK
2023-09-25 16:07:00,SPT120018W,OK
2023-09-25 16:09:40,SPT120018W,OK
2023-09-25 16:10:37,SPT120018W,OK
2023-09-25 16:11:55,SPT120018W,OK
2023-09-25 16:13:21,SPT120018W,OK
2023-09-25 16:15:38,SPT120018W,OK
2023-09-25 16:16:54,SPT120018W,OK
2023-09-25 16:18:06,SPT120018W,OK
2023-09-25 16:18:56,SPT120018W,OK
2023-09-25 16:19:54,SPT120018W,OK
2023-09-25 16:21:03,SPT120018W,OK
2023-09-25 16:22:31,SPT120018W,OK
2023-09-25 16:24:00,SPT120018W,OK
2023-09-25 16:25:08,SPT120018W,OK
2023-09-25 16:27:14,SPT120018W,OK
2023-09-25 16:28:41,SPT120018W,OK
2023-09-25 16:30:20,SPT120018W,OK
2023-09-25 16:48:57,SPT120018W,OK
2023-09-25 16:51:02,SPT120018W,OK
2023-09-25 16:52:46,SPT120018W,KO
2023-09-25 16:53:23,SPT120018W,OK
2023-09-25 16:54:09,SPT120018W,OK
2023-09-25 16:55:31,SPT120018W,OK
