ts,gabarit
2023-10-09 09:02:59,24
2023-10-09 09:03:44,24
2023-10-09 09:03:46,24
2023-10-09 09:03:48,24
2023-10-09 09:03:51,24
2023-10-09 09:03:58,24
2023-10-09 09:04:20,10
2023-10-09 09:04:23,10
2023-10-09 09:04:25,10
2023-10-09 09:04:53,10
2023-10-09 09:05:04,10
2023-10-09 09:05:56,5
2023-10-09 09:05:58,5
2023-10-09 09:06:01,5
2023-10-09 09:06:03,5
2023-10-09 09:06:05,5
2023-10-09 09:06:07,5
2023-10-09 09:06:10,5
2023-10-09 09:06:12,5
2023-10-09 09:06:14,5
2023-10-09 09:06:16,5
2023-10-09 09:06:37,5
2023-10-09 09:06:39,5
2023-10-09 09:06:41,5
2023-10-09 09:06:43,5
2023-10-09 09:06:45,5
2023-10-09 09:06:47,5
2023-10-09 09:06:49,5
2023-10-09 09:06:51,5
2023-10-09 09:06:54,5
2023-10-09 09:07:06,5
2023-10-09 09:07:08,5
2023-10-09 09:07:10,5
2023-10-09 09:07:12,5
2023-10-09 09:07:14,5
2023-10-09 09:07:16,5
2023-10-09 09:07:18,5
2023-10-09 09:07:20,5
2023-10-09 09:07:22,5
2023-10-09 09:07:24,5
2023-10-09 09:07:27,5
2023-10-09 09:09:09,17
2023-10-09 09:14:44,9
2023-10-09 09:15:23,9
2023-10-09 09:15:25,9
2023-10-09 09:15:27,9
2023-10-09 09:15:29,9
2023-10-09 09:15:31,9
2023-10-09 09:15:33,9
2023-10-09 09:15:35,9
2023-10-09 09:15:37,9
2023-10-09 09:20:51,22
2023-10-09 09:22:50,8
2023-10-09 09:22:52,8
2023-10-09 09:22:54,8
2023-10-09 09:23:15,8
2023-10-09 09:23:17,8
2023-10-09 09:23:19,8
2023-10-09 09:23:21,8
2023-10-09 09:23:28,8
2023-10-09 09:24:50,10
2023-10-09 09:24:52,10
2023-10-09 09:24:54,10
2023-10-09 09:24:56,10
2023-10-09 09:24:58,10
2023-10-09 09:26:49,3
2023-10-09 09:26:51,3
2023-10-09 09:26:53,3
2023-10-09 09:28:00,1
2023-10-09 09:31:34,9
2023-10-09 09:32:05,9
2023-10-09 09:32:07,9
2023-10-09 09:32:09,9
2023-10-09 09:32:11,9
2023-10-09 09:32:13,9
2023-10-09 09:35:02,22
2023-10-09 09:35:04,22
2023-10-09 09:35:06,22
2023-10-09 09:35:33,22
2023-10-09 09:35:35,22
2023-10-09 09:38:23,10
2023-10-09 09:44:13,3
2023-10-09 09:44:42,3
2023-10-09 09:44:44,3
2023-10-09 09:44:46,3
2023-10-09 09:44:48,3
2023-10-09 09:44:51,3
2023-10-09 09:44:53,3
2023-10-09 09:44:55,3
2023-10-09 09:44:57,3
2023-10-09 09:44:59,3
2023-10-09 09:45:01,3
2023-10-09 09:45:03,3
2023-10-09 09:45:05,3
2023-10-09 09:45:07,3
2023-10-09 09:45:09,3
2023-10-09 09:45:11,3
2023-10-09 09:45:13,3
2023-10-09 09:45:15,3
2023-10-09 09:46:37,1
2023-10-09 09:47:09,1
2023-10-09 09:49:08,9
2023-10-09 09:49:10,9
2023-10-09 09:49:16,9
2023-10-09 09:55:06,24
2023-10-09 09:55:53,24
2023-10-09 09:58:36,15
2023-10-09 09:59:34,15
