ts,id,rssi
2023-10-03 09:41:47,10,-100
2023-10-03 09:41:47,11,-100
2023-10-03 09:41:47,15,-100
2023-10-03 09:41:52,1,-62
2023-10-03 09:41:52,2,-65
2023-10-03 09:42:10,2,-74
2023-10-03 09:42:22,1,-56
2023-10-03 09:42:22,2,-57
2023-10-03 09:42:28,2,-70
2023-10-03 09:42:52,2,-63
2023-10-03 09:42:58,1,-67
2023-10-03 09:43:04,1,-55
2023-10-03 09:43:04,2,-57
2023-10-03 09:43:22,1,-61
2023-10-03 09:43:40,1,-55
2023-10-03 09:43:40,2,-63
2023-10-03 09:43:58,2,-72
2023-10-03 09:44:04,2,-57
2023-10-03 09:44:10,2,-67
2023-10-03 09:44:16,1,-48
2023-10-03 09:44:28,2,-100
2023-10-03 09:44:46,1,-61
2023-10-03 09:44:58,2,-80
2023-10-03 09:45:10,1,-61
2023-10-03 09:45:16,2,-63
2023-10-03 09:45:28,2,-53
2023-10-03 09:45:40,1,-55
2023-10-03 09:45:40,2,-63
2023-10-03 09:46:16,1,-48
2023-10-03 09:46:22,1,-60
2023-10-03 09:46:28,2,-72
2023-10-03 09:46:34,1,-100
2023-10-03 09:46:40,1,-65
2023-10-03 09:46:46,2,-62
2023-10-03 09:46:52,1,-58
2023-10-03 09:46:52,2,-70
2023-10-03 09:47:04,2,-59
2023-10-03 09:47:10,2,-68
2023-10-03 09:47:16,1,-65
2023-10-03 09:47:28,1,-73
2023-10-03 09:47:40,1,-57
2023-10-03 09:47:46,2,-76
2023-10-03 09:47:52,1,-65
2023-10-03 09:47:58,1,-56
2023-10-03 09:48:04,1,-63
2023-10-03 09:48:04,2,-70
2023-10-03 09:48:16,1,-57
2023-10-03 09:48:22,1,-64
2023-10-03 09:48:22,2,-58
2023-10-03 09:48:28,2,-68
2023-10-03 09:48:46,1,-55
2023-10-03 09:48:46,2,-59
2023-10-03 09:48:58,1,-65
2023-10-03 09:49:04,1,-58
2023-10-03 09:49:10,1,-64
2023-10-03 09:49:16,1,-58
2023-10-03 09:49:16,2,-100
2023-10-03 09:49:22,2,-66
2023-10-03 09:49:28,1,-72
