ts,id,rssi
2023-10-09 09:00:02,1,-100
2023-10-09 09:00:02,2,-100
2023-10-09 09:00:08,2,-50
2023-10-09 09:00:14,1,-57
2023-10-09 09:00:26,2,-66
2023-10-09 09:00:38,2,-50
2023-10-09 09:00:50,2,-61
2023-10-09 09:01:14,2,-50
2023-10-09 09:01:20,2,-66
2023-10-09 09:01:44,2,-50
2023-10-09 09:01:50,2,-63
2023-10-09 09:02:02,2,-51
2023-10-09 09:02:08,2,-59
2023-10-09 09:02:14,2,-49
2023-10-09 09:02:26,2,-58
2023-10-09 09:02:32,2,-67
2023-10-09 09:02:38,2,-54
2023-10-09 09:03:14,2,-68
2023-10-09 09:03:20,2,-57
2023-10-09 09:04:14,2,-100
2023-10-09 09:04:26,2,-60
2023-10-09 09:06:20,1,-51
2023-10-09 09:06:50,1,-57
2023-10-09 09:07:02,2,-66
2023-10-09 09:07:08,2,-60
2023-10-09 09:08:57,2,-66
2023-10-09 09:09:03,2,-58
2023-10-09 09:09:27,2,-65
2023-10-09 09:09:33,2,-57
2023-10-09 09:10:33,2,-70
2023-10-09 09:10:39,2,-63
2023-10-09 09:12:09,2,-57
2023-10-09 09:12:33,2,-65
2023-10-09 09:12:45,2,-58
2023-10-09 09:13:27,1,-63
2023-10-09 09:13:33,2,-66
2023-10-09 09:13:33,1,-56
2023-10-09 09:13:45,2,-54
2023-10-09 09:13:45,1,-62
2023-10-09 09:14:03,2,-65
2023-10-09 09:14:45,2,-56
2023-10-09 09:15:09,2,-64
2023-10-09 09:15:15,2,-56
2023-10-09 09:16:09,2,-64
2023-10-09 09:16:15,2,-58
2023-10-09 09:18:15,2,-64
2023-10-09 09:18:21,2,-56
2023-10-09 09:19:09,1,-56
2023-10-09 09:19:16,2,-63
2023-10-09 09:19:22,2,-53
2023-10-09 09:19:28,2,-67
2023-10-09 09:19:34,2,-58
2023-10-09 09:21:04,1,-62
2023-10-09 09:21:46,1,-56
2023-10-09 09:22:16,2,-100
2023-10-09 09:22:22,2,-62
2023-10-09 09:22:28,2,-54
2023-10-09 09:22:28,1,-63
2023-10-09 09:22:34,2,-66
2023-10-09 09:22:34,1,-57
2023-10-09 09:22:40,2,-56
2023-10-09 09:22:46,1,-63
2023-10-09 09:23:04,2,-62
2023-10-09 09:23:16,2,-56
2023-10-09 09:23:34,1,-57
2023-10-09 09:23:40,2,-65
2023-10-09 09:23:46,2,-54
2023-10-09 09:23:46,1,-63
2023-10-09 09:24:04,2,-63
2023-10-09 09:24:10,2,-57
2023-10-09 09:24:40,1,-57
2023-10-09 09:25:22,1,-64
2023-10-09 09:25:28,1,-56
2023-10-09 09:25:34,2,-100
2023-10-09 09:25:46,2,-55
2023-10-09 09:26:10,1,-65
2023-10-09 09:26:22,1,-58
2023-10-09 09:27:46,1,-64
