ts,id,rssi
2023-08-25 09:00:02,1,-63
2023-08-25 09:00:20,1,-70
2023-08-25 09:00:20,2,-100
2023-08-25 09:00:26,2,-75
2023-08-25 09:00:26,1,-64
2023-08-25 09:02:02,1,-70
2023-08-25 09:02:26,1,-61
2023-08-25 09:02:57,1,-69
2023-08-25 09:03:03,1,-63
2023-08-25 09:05:27,1,-100
2023-08-25 09:05:33,1,-64
2023-08-25 09:06:27,1,-70
2023-08-25 09:06:39,1,-100
2023-08-25 09:06:45,1,-62
2023-08-25 09:06:57,2,-100
2023-08-25 09:07:03,1,-71
2023-08-25 09:07:09,2,-73
2023-08-25 09:07:27,1,-62
2023-08-25 09:08:21,1,-70
2023-08-25 09:08:34,1,-61
2023-08-25 09:08:40,1,-70
2023-08-25 09:09:16,1,-62
2023-08-25 09:09:22,2,-100
2023-08-25 09:09:28,2,-73
2023-08-25 09:10:28,1,-69
2023-08-25 09:10:34,1,-63
2023-08-25 09:11:04,1,-69
2023-08-25 09:11:16,1,-63
2023-08-25 09:11:52,1,-71
2023-08-25 09:12:04,2,-100
2023-08-25 09:12:10,2,-71
2023-08-25 09:12:10,1,-62
2023-08-25 09:12:22,1,-70
2023-08-25 09:12:34,1,-63
2023-08-25 09:13:10,1,-70
2023-08-25 09:13:16,1,-62
2023-08-25 09:13:22,1,-71
2023-08-25 09:13:34,1,-60
2023-08-25 09:13:40,1,-70
2023-08-25 09:14:10,1,-64
2023-08-25 09:14:10,2,-100
2023-08-25 09:14:28,2,-73
2023-08-25 09:15:28,1,-74
2023-08-25 09:15:34,1,-62
2023-08-25 09:16:53,1,-100
2023-08-25 09:16:59,1,-60
2023-08-25 09:17:11,1,-100
2023-08-25 09:17:29,1,-59
2023-08-25 09:17:41,1,-69
2023-08-25 09:17:47,1,-61
2023-08-25 09:17:53,1,-71
2023-08-25 09:18:05,1,-62
2023-08-25 09:19:35,1,-100
2023-08-25 09:19:41,1,-71
2023-08-25 09:19:53,1,-100
2023-08-25 09:19:59,1,-63
2023-08-25 09:20:47,1,-71
2023-08-25 09:20:59,1,-59
2023-08-25 09:21:59,2,-100
2023-08-25 09:21:59,2,-100
2023-08-25 09:22:45,1,-100
2023-08-25 09:22:50,1,-64
2023-08-25 09:22:51,2,-75
2023-08-25 09:23:15,1,-71
2023-08-25 09:23:26,1,-62
2023-08-25 09:23:38,2,-100
2023-08-25 09:23:57,2,-73
2023-08-25 09:27:27,1,-68
2023-08-25 09:28:03,1,-62
2023-08-25 09:28:51,1,-70
2023-08-25 09:29:03,1,-100
2023-08-25 09:29:09,1,-61
2023-08-25 09:30:09,1,-68
2023-08-25 09:30:27,1,-61
2023-08-25 09:30:45,1,-67
2023-08-25 09:31:33,1,-60
2023-08-25 09:31:39,1,-66
2023-08-25 09:33:09,1,-60
2023-08-25 09:33:15,1,-67
2023-08-25 09:34:09,1,-100
2023-08-25 09:34:15,1,-72
2023-08-25 09:34:21,1,-63
2023-08-25 09:35:03,2,-100
2023-08-25 09:35:16,2,-71
2023-08-25 09:35:22,2,-78
2023-08-25 09:35:52,2,-72
2023-08-25 09:36:16,2,-100
2023-08-25 09:36:22,2,-73
2023-08-25 09:36:52,1,-69
2023-08-25 09:37:34,1,-63
2023-08-25 09:38:16,1,-72
2023-08-25 09:38:22,1,-62
2023-08-25 09:40:04,1,-69
2023-08-25 09:40:40,1,-63
2023-08-25 09:40:52,1,-70
2023-08-25 09:40:58,1,-63
2023-08-25 09:41:40,1,-69
2023-08-25 09:42:10,1,-63
2023-08-25 09:42:22,2,-79
2023-08-25 09:42:34,2,-69
2023-08-25 09:42:52,2,-78
2023-08-25 09:42:58,2,-72
2023-08-25 09:43:04,2,-78
2023-08-25 09:43:22,2,-70
2023-08-25 09:43:41,2,-76
2023-08-25 09:43:53,1,-71
2023-08-25 09:43:59,1,-61
2023-08-25 09:44:11,1,-68
2023-08-25 09:44:29,2,-70
2023-08-25 09:45:05,2,-76
2023-08-25 09:45:41,1,-62
2023-08-25 09:45:53,1,-68
2023-08-25 09:46:29,2,-100
2023-08-25 09:46:35,1,-62
2023-08-25 09:46:35,2,-72
2023-08-25 09:46:59,1,-69
2023-08-25 09:47:23,1,-61
2023-08-25 09:47:29,1,-69
2023-08-25 09:47:59,1,-62
2023-08-25 09:48:11,1,-70
2023-08-25 09:48:11,2,-79
2023-08-25 09:48:17,2,-71
2023-08-25 09:48:23,1,-63
