ts,task,empid,sec
2023-07-27 12:17:19,0,5.0,51.0
2023-07-27 12:17:27,0,,
2023-07-27 12:21:58,0,5.0,353.0
2023-07-27 12:22:05,0,,
2023-07-27 12:22:08,0,5.0,4.0
2023-07-27 12:22:25,2,5.0,17.0
2023-07-27 12:22:47,2,5.0,21.0
2023-07-27 12:23:36,0,,
2023-07-27 12:23:42,0,5.0,7.0
2023-07-27 12:23:52,2,5.0,9.0
2023-07-27 12:24:00,0,,
2023-07-27 12:24:03,0,5.0,5.0
2023-07-27 12:24:05,2,5.0,1.0
2023-07-27 12:24:16,0,,
2023-07-27 12:25:04,0,5.0,45.0
2023-07-27 12:25:07,2,5.0,2.0
2023-07-27 12:25:09,2,5.0,2.0
2023-07-27 12:25:11,2,5.0,1.0
2023-07-27 12:25:13,0,,
2023-07-27 12:25:48,0,5.0,34.0
2023-07-27 12:25:51,0,,
2023-07-27 12:28:56,0,5.0,260.0
2023-07-27 12:34:58,0,5.0,82.0
2023-07-27 12:34:59,0,,
2023-07-27 12:35:01,0,5.0,3.0
2023-07-27 12:35:36,0,,
2023-07-27 12:35:39,0,5.0,5.0
2023-07-27 12:35:46,2,5.0,6.0
2023-07-27 12:35:59,2,5.0,13.0
2023-07-27 12:36:06,2,5.0,7.0
2023-07-27 12:36:20,2,5.0,14.0
2023-07-27 12:36:26,2,5.0,6.0
2023-07-27 12:36:59,0,,
2023-07-27 12:37:01,0,5.0,4.0
2023-07-27 12:37:08,2,5.0,6.0
2023-07-27 12:37:17,2,5.0,9.0
2023-07-27 12:37:26,2,5.0,9.0
2023-07-27 12:37:35,2,5.0,9.0
2023-07-27 12:37:45,2,5.0,10.0
2023-07-27 12:37:54,0,,
2023-07-27 12:37:55,0,5.0,3.0
2023-07-27 12:38:05,2,5.0,9.0
2023-07-27 12:38:17,2,5.0,12.0
2023-07-27 12:38:31,2,5.0,14.0
2023-07-27 12:38:37,2,5.0,6.0
2023-07-27 12:38:44,2,5.0,7.0
2023-07-27 12:39:04,2,5.0,20.0
2023-07-27 12:39:43,2,5.0,39.0
2023-07-27 12:39:46,2,5.0,2.0
