Stamp,Agent,Model,Nquadro
2023-09-26 10:51:00,T014,ORIONT-40,202302000079885
2023-09-26 10:52:00,T012,SPT120018W,202301000127881
2023-09-26 10:53:00,T013,SPT120018W,202302000080017
2023-09-26 10:54:00,T013,SPT120018W,202302000080021
2023-09-26 10:55:00,T013,SPT120018W,202302000080022
2023-09-26 10:56:00,T014,ORIONT-40,202302000079886
2023-09-26 10:56:00,T012,SPT120018W,202301000127882
2023-09-26 10:56:00,T013,SPT120018W,202302000080023
2023-09-26 10:57:00,T012,SPT120018W,202301000127883
2023-09-26 10:58:00,T014,ORIONT-40,202302000079883
2023-09-26 10:58:00,T013,SPT120018W,202302000080024
2023-09-26 10:58:00,T012,SPT120018W,202301000127884
2023-09-26 10:59:00,T012,SPT120018W,202301000127885
2023-09-26 10:59:00,T014,ORIONT-40,202302000079883
2023-09-26 10:59:00,T013,SPT120018W,202302000080025
2023-09-26 11:00:00,T012,SPT120018W,202301000127886
2023-09-26 11:01:00,T014,ORIONT-40,202302000079883
2023-09-26 11:01:00,T013,SPT120018W,202302000080026
2023-09-26 11:01:00,T012,SPT120018W,202301000127887
2023-09-26 11:03:00,T012,SPT120018W,202301000127888
2023-09-26 11:04:00,T012,SPT120018W,202301000127889
2023-09-26 11:06:00,T012,SPT120018W,202301000127890
2023-09-26 11:06:00,T013,SPT120018W,202302000080027
2023-09-26 11:07:00,T012,SPT120018W,202301000127891
2023-09-26 11:07:00,T014,ORIONT-40,202302000079879
2023-09-26 11:08:00,T013,SPT120018W,202302000080028
2023-09-26 11:09:00,T012,SPT120018W,202301000127892
2023-09-26 11:09:00,T013,SPT120018W,202302000080029
2023-09-26 11:09:00,T012,SPT120018W,202301000127893
2023-09-26 11:10:00,T014,ORIONT-40,202302000079881
2023-09-26 11:10:00,T012,SPT120018W,202301000127894
2023-09-26 11:10:00,T013,SPT120018W,202302000080030
2023-09-26 11:12:00,T013,SPT120018W,202302000080031
2023-09-26 11:12:00,T014,ORIONT-40,202302000079882
2023-09-26 11:13:00,T012,SPT120018W,202301000127895
2023-09-26 11:13:00,T012,SPT120018W,202301000127896
2023-09-26 11:14:00,T012,SPT120018W,202301000127897
2023-09-26 11:14:00,T013,SPT120018W,202302000080032
2023-09-26 11:15:00,T012,SPT120018W,202301000127898
2023-09-26 11:16:00,T014,ORIONT-40,202302000079887
2023-09-26 11:16:00,T012,SPT120018W,202301000127899
2023-09-26 11:17:00,T013,SPT120018W,202302000080033
2023-09-26 11:18:00,T012,SPT120018W,202301000127900
2023-09-26 11:18:00,T013,SPT120018W,202302000080034
2023-09-26 11:19:00,T012,SPT120018W,202301000127901
2023-09-26 11:19:00,T013,SPT120018W,202302000080035
2023-09-26 11:20:00,T012,SPT120018W,202301000127902
2023-09-26 11:21:00,T014,OCTAN-40,202302000079997
2023-09-26 11:21:00,T012,SPT120018W,202301000127903
2023-09-26 11:22:00,T013,SPT120018W,202302000080036
2023-09-26 11:24:00,T012,SPT120018W,202301000127904
2023-09-26 11:24:00,T014,OCTAN-40,202302000079998
2023-09-26 11:25:00,T012,SPT120018W,202301000127905
2023-09-26 11:26:00,T012,SPT120018W,202301000127906
2023-09-26 11:26:00,T013,SPT120018W,202302000080037
2023-09-26 11:26:00,T014,OCTAN-40,202302000079999
2023-09-26 11:27:00,T012,SPT120018W,202301000127907
2023-09-26 11:28:00,T013,SPT120018W,202302000080037
2023-09-26 11:29:00,T012,SPT120018W,202301000127908
2023-09-26 11:29:00,T014,OCTAN-40,202302000080000
2023-09-26 11:30:00,T013,SPT120018W,202302000080038
2023-09-26 11:30:00,T012,SPT120018W,202301000127909
2023-09-26 11:31:00,T013,SPT120018W,202302000080039
2023-09-26 11:31:00,T012,SPT120018W,202301000127910
2023-09-26 11:32:00,T013,SPT120018W,202302000080040
2023-09-26 11:34:00,T013,SPT120018W,202302000080040
2023-09-26 11:34:00,T012,SPT120018W,202301000127911
2023-09-26 11:35:00,T013,SPT120018W,202302000080040
2023-09-26 11:35:00,T012,SPT120018W,202301000127911
2023-09-26 11:36:00,T012,SPT120018W,202301000127912
2023-09-26 11:37:00,T013,SPT120018W,202302000080041
2023-09-26 11:37:00,T012,SPT120018W,202301000127913
2023-09-26 11:38:00,T012,SPT120018W,202301000127914
2023-09-26 11:38:00,T013,SPT120018W,202302000080042
2023-09-26 11:39:00,T012,SPT120018W,202301000127915
2023-09-26 11:40:00,T013,SPT120018W,202302000080043
2023-09-26 11:40:00,T012,SPT120018W,202301000127916
2023-09-26 11:41:00,T012,SPT120018W,202301000127917
2023-09-26 11:42:00,T013,SPT120018W,202302000080044
2023-09-26 11:43:00,T012,SPT120018W,202301000127918
2023-09-26 11:43:00,T013,SPT120018W,202302000080045
2023-09-26 11:44:00,T012,SPT120018W,202301000127919
