ts,id,rssi
2023-08-04 09:01:06,1,-70
2023-08-04 09:01:12,1,-60
2023-08-04 09:03:24,1,-66
2023-08-04 09:03:43,1,-59
2023-08-04 09:03:55,1,-66
2023-08-04 09:04:13,1,-58
2023-08-04 09:04:19,1,-66
2023-08-04 09:04:37,1,-59
2023-08-04 09:06:31,1,-65
2023-08-04 09:06:37,1,-59
2023-08-04 09:07:13,1,-65
2023-08-04 09:07:43,1,-72
2023-08-04 09:07:49,1,-63
2023-08-04 09:11:07,2,-71
2023-08-04 09:11:13,2,-64
2023-08-04 09:11:25,1,-71
2023-08-04 09:11:25,2,-71
2023-08-04 09:11:37,1,-60
2023-08-04 09:11:37,2,-59
2023-08-04 09:11:43,1,-67
2023-08-04 09:13:43,1,-60
2023-08-04 09:13:49,1,-69
2023-08-04 09:14:55,1,-58
2023-08-04 09:15:01,1,-68
2023-08-04 09:15:07,1,-78
2023-08-04 09:15:13,1,-58
2023-08-04 09:15:13,2,-50
2023-08-04 09:15:19,2,-65
2023-08-04 09:15:25,1,-68
2023-08-04 09:15:31,1,-57
2023-08-04 09:15:43,1,-75
2023-08-04 09:15:43,2,-55
2023-08-04 09:15:49,1,-61
2023-08-04 09:15:55,1,-54
2023-08-04 09:16:01,1,-76
2023-08-04 09:16:07,1,-58
2023-08-04 09:16:07,2,-64
2023-08-04 09:16:19,1,-51
2023-08-04 09:16:19,2,-55
2023-08-04 09:16:37,1,-64
2023-08-04 09:16:49,1,-49
2023-08-04 09:16:55,1,-64
2023-08-04 09:17:01,1,-54
2023-08-04 09:17:01,2,-63
2023-08-04 09:17:07,2,-54
2023-08-04 09:17:25,1,-60
2023-08-04 09:17:25,2,-65
2023-08-04 09:17:31,1,-48
2023-08-04 09:17:49,1,-58
2023-08-04 09:18:01,2,-79
2023-08-04 09:18:13,2,-64
2023-08-04 09:18:19,2,-58
2023-08-04 09:18:25,2,-50
2023-08-04 09:18:31,2,-64
2023-08-04 09:18:37,2,-72
2023-08-04 09:18:49,1,-64
2023-08-04 09:18:55,2,-57
2023-08-04 09:19:08,1,-73
2023-08-04 09:19:13,1,-64
2023-08-04 09:19:13,2,-66
2023-08-04 09:19:19,1,-70
2023-08-04 09:19:26,2,-57
2023-08-04 09:19:31,1,-52
2023-08-04 09:19:44,1,-60
2023-08-04 09:19:50,1,-52
2023-08-04 09:19:50,2,-63
2023-08-04 09:20:08,1,-63
2023-08-04 09:20:14,1,-70
2023-08-04 09:20:20,1,-53
2023-08-04 09:20:20,2,-72
2023-08-04 09:20:26,2,-62
2023-08-04 09:20:32,1,-74
2023-08-04 09:20:38,1,-62
2023-08-04 09:20:44,1,-71
2023-08-04 09:20:56,1,-65
2023-08-04 09:21:14,1,-58
2023-08-04 09:21:32,1,-67
2023-08-04 09:21:38,1,-52
2023-08-04 09:21:44,1,-69
2023-08-04 09:21:50,1,-58
2023-08-04 09:22:26,2,-70
2023-08-04 09:22:44,1,-75
2023-08-04 09:22:50,1,-64
2023-08-04 09:22:56,2,-58
2023-08-04 09:23:02,1,-58
2023-08-04 09:23:02,2,-71
2023-08-04 09:23:14,1,-69
2023-08-04 09:23:20,2,-65
2023-08-04 09:23:26,1,-63
2023-08-04 09:23:38,1,-56
2023-08-04 09:23:50,1,-67
2023-08-04 09:23:56,2,-59
2023-08-04 09:24:02,1,-61
2023-08-04 09:24:14,1,-71
2023-08-04 09:24:14,2,-69
2023-08-04 09:24:20,1,-60
2023-08-04 09:24:26,1,-73
2023-08-04 09:24:32,1,-63
2023-08-04 09:24:38,2,-59
