,ts,gabarit
808,2023-10-06 09:02:38,9
807,2023-10-06 09:02:43,0
806,2023-10-06 09:03:27,10
805,2023-10-06 09:03:29,10
804,2023-10-06 09:03:34,0
803,2023-10-06 09:04:02,10
802,2023-10-06 09:04:05,10
801,2023-10-06 09:04:10,0
800,2023-10-06 09:06:11,1
799,2023-10-06 09:06:16,0
798,2023-10-06 09:06:37,1
797,2023-10-06 09:06:42,0
796,2023-10-06 09:07:02,1
795,2023-10-06 09:07:07,0
794,2023-10-06 09:08:22,0
793,2023-10-06 09:09:58,14
792,2023-10-06 09:10:03,0
791,2023-10-06 09:10:35,0
790,2023-10-06 09:12:23,15
789,2023-10-06 09:12:28,0
788,2023-10-06 09:13:14,19
787,2023-10-06 09:13:19,0
786,2023-10-06 09:13:39,19
785,2023-10-06 09:13:42,19
784,2023-10-06 09:13:47,0
783,2023-10-06 09:13:55,19
782,2023-10-06 09:14:00,0
781,2023-10-06 09:14:31,3
780,2023-10-06 09:14:37,0
779,2023-10-06 09:15:16,3
778,2023-10-06 09:15:18,3
777,2023-10-06 09:15:20,3
776,2023-10-06 09:15:25,0
775,2023-10-06 09:17:59,0
774,2023-10-06 09:18:32,13
773,2023-10-06 09:18:37,0
772,2023-10-06 09:18:38,13
771,2023-10-06 09:18:39,13
770,2023-10-06 09:18:43,13
769,2023-10-06 09:18:48,0
768,2023-10-06 09:20:22,5
767,2023-10-06 09:20:24,5
766,2023-10-06 09:20:30,0
765,2023-10-06 09:21:21,10
764,2023-10-06 09:21:26,0
763,2023-10-06 09:22:52,1
762,2023-10-06 09:22:57,0
761,2023-10-06 09:27:43,15
760,2023-10-06 09:27:45,15
759,2023-10-06 09:27:50,0
758,2023-10-06 09:28:51,19
757,2023-10-06 09:28:56,0
756,2023-10-06 09:28:58,19
755,2023-10-06 09:29:03,19
754,2023-10-06 09:29:05,19
753,2023-10-06 09:29:07,19
752,2023-10-06 09:29:12,0
751,2023-10-06 09:29:41,19
750,2023-10-06 09:29:46,0
749,2023-10-06 09:29:48,19
748,2023-10-06 09:29:50,19
747,2023-10-06 09:29:52,19
746,2023-10-06 09:29:54,19
745,2023-10-06 09:29:59,0
744,2023-10-06 09:30:00,3
743,2023-10-06 09:30:02,3
742,2023-10-06 09:30:04,3
741,2023-10-06 09:30:06,3
740,2023-10-06 09:30:08,3
739,2023-10-06 09:30:10,3
738,2023-10-06 09:30:12,3
737,2023-10-06 09:30:14,3
736,2023-10-06 09:30:16,3
735,2023-10-06 09:30:18,3
734,2023-10-06 09:30:20,3
733,2023-10-06 09:30:22,3
732,2023-10-06 09:30:24,3
731,2023-10-06 09:30:26,3
730,2023-10-06 09:30:28,3
729,2023-10-06 09:30:30,3
728,2023-10-06 09:30:32,3
727,2023-10-06 09:30:34,3
726,2023-10-06 09:30:36,3
725,2023-10-06 09:30:38,3
724,2023-10-06 09:30:40,3
723,2023-10-06 09:30:42,3
722,2023-10-06 09:30:44,3
