,ts,gabarit
556,2023-10-06 09:05:10,0
555,2023-10-06 09:06:20,15
554,2023-10-06 09:06:25,0
553,2023-10-06 09:08:05,19
552,2023-10-06 09:08:10,0
551,2023-10-06 09:09:16,3
550,2023-10-06 09:09:21,0
549,2023-10-06 09:10:19,21
548,2023-10-06 09:10:25,0
547,2023-10-06 09:11:41,13
546,2023-10-06 09:11:46,0
545,2023-10-06 09:13:03,0
544,2023-10-06 09:14:55,10
543,2023-10-06 09:15:00,0
542,2023-10-06 09:16:27,0
541,2023-10-06 09:17:53,18
540,2023-10-06 09:17:58,0
539,2023-10-06 09:19:37,0
538,2023-10-06 09:21:17,23
537,2023-10-06 09:21:22,0
536,2023-10-06 09:22:32,15
535,2023-10-06 09:22:45,0
534,2023-10-06 09:23:49,19
533,2023-10-06 09:23:54,0
532,2023-10-06 09:25:08,3
531,2023-10-06 09:25:13,0
530,2023-10-06 09:26:42,21
529,2023-10-06 09:26:47,0
528,2023-10-06 09:28:08,0
527,2023-10-06 09:29:32,5
526,2023-10-06 09:29:37,0
525,2023-10-06 09:30:56,10
524,2023-10-06 09:31:03,0
523,2023-10-06 09:32:15,18
522,2023-10-06 09:32:20,0
521,2023-10-06 09:34:07,14
520,2023-10-06 09:34:13,0
519,2023-10-06 09:35:19,8
518,2023-10-06 09:35:24,0
517,2023-10-06 09:36:35,0
516,2023-10-06 09:38:05,7
515,2023-10-06 09:38:10,0
514,2023-10-06 09:39:45,0
513,2023-10-06 09:40:53,3
512,2023-10-06 09:40:58,0
511,2023-10-06 09:42:17,0
510,2023-10-06 09:44:41,5
509,2023-10-06 09:44:46,0
508,2023-10-06 09:47:17,10
507,2023-10-06 09:47:22,0
506,2023-10-06 09:48:44,14
505,2023-10-06 09:48:49,0
504,2023-10-06 09:51:46,8
503,2023-10-06 09:51:53,0
502,2023-10-06 09:52:53,15
501,2023-10-06 09:52:58,0
500,2023-10-06 09:54:23,0
499,2023-10-06 09:55:27,7
498,2023-10-06 09:55:31,0
497,2023-10-06 09:57:19,0
