Stamp,Agent,Model,Nquadro
2023-09-26 10:51:48,T014,ORIONT-40,202302000079885
2023-09-26 10:52:27,T012,SPT120018W,202301000127881
2023-09-26 10:53:16,T013,SPT120018W,202302000080017
2023-09-26 10:54:40,T013,SPT120018W,202302000080021
2023-09-26 10:55:52,T013,SPT120018W,202302000080022
2023-09-26 10:56:05,T014,ORIONT-40,202302000079886
2023-09-26 10:56:20,T012,SPT120018W,202301000127882
2023-09-26 10:56:57,T013,SPT120018W,202302000080023
2023-09-26 10:57:30,T012,SPT120018W,202301000127883
2023-09-26 10:58:02,T014,ORIONT-40,202302000079883
2023-09-26 10:58:11,T013,SPT120018W,202302000080024
2023-09-26 10:58:30,T012,SPT120018W,202301000127884
2023-09-26 10:59:21,T012,SPT120018W,202301000127885
2023-09-26 10:59:26,T014,ORIONT-40,202302000079883
2023-09-26 10:59:27,T013,SPT120018W,202302000080025
2023-09-26 11:00:53,T012,SPT120018W,202301000127886
2023-09-26 11:01:20,T014,ORIONT-40,202302000079883
2023-09-26 11:01:43,T013,SPT120018W,202302000080026
2023-09-26 11:01:44,T012,SPT120018W,202301000127887
2023-09-26 11:03:06,T012,SPT120018W,202301000127888
2023-09-26 11:04:08,T012,SPT120018W,202301000127889
2023-09-26 11:06:10,T012,SPT120018W,202301000127890
2023-09-26 11:06:30,T013,SPT120018W,202302000080027
2023-09-26 11:07:07,T012,SPT120018W,202301000127891
2023-09-26 11:07:12,T014,ORIONT-40,202302000079879
2023-09-26 11:08:09,T013,SPT120018W,202302000080028
2023-09-26 11:09:11,T012,SPT120018W,202301000127892
2023-09-26 11:09:21,T013,SPT120018W,202302000080029
2023-09-26 11:09:52,T012,SPT120018W,202301000127893
2023-09-26 11:10:25,T014,ORIONT-40,202302000079881
2023-09-26 11:10:34,T012,SPT120018W,202301000127894
2023-09-26 11:10:34,T013,SPT120018W,202302000080030
2023-09-26 11:12:22,T013,SPT120018W,202302000080031
2023-09-26 11:12:36,T014,ORIONT-40,202302000079882
2023-09-26 11:13:06,T012,SPT120018W,202301000127895
2023-09-26 11:13:59,T012,SPT120018W,202301000127896
2023-09-26 11:14:48,T012,SPT120018W,202301000127897
2023-09-26 11:14:51,T013,SPT120018W,202302000080032
2023-09-26 11:15:46,T012,SPT120018W,202301000127898
2023-09-26 11:16:15,T014,ORIONT-40,202302000079887
2023-09-26 11:16:42,T012,SPT120018W,202301000127899
2023-09-26 11:17:00,T013,SPT120018W,202302000080033
2023-09-26 11:18:04,T012,SPT120018W,202301000127900
2023-09-26 11:18:28,T013,SPT120018W,202302000080034
2023-09-26 11:19:16,T012,SPT120018W,202301000127901
2023-09-26 11:19:47,T013,SPT120018W,202302000080035
2023-09-26 11:20:34,T012,SPT120018W,202301000127902
2023-09-26 11:21:54,T014,OCTAN-40,202302000079997
2023-09-26 11:21:58,T012,SPT120018W,202301000127903
2023-09-26 11:22:13,T013,SPT120018W,202302000080036
2023-09-26 11:24:09,T012,SPT120018W,202301000127904
2023-09-26 11:24:32,T014,OCTAN-40,202302000079998
2023-09-26 11:25:24,T012,SPT120018W,202301000127905
2023-09-26 11:26:29,T012,SPT120018W,202301000127906
2023-09-26 11:26:39,T013,SPT120018W,202302000080037
2023-09-26 11:26:55,T014,OCTAN-40,202302000079999
2023-09-26 11:27:31,T012,SPT120018W,202301000127907
2023-09-26 11:28:38,T013,SPT120018W,202302000080037
2023-09-26 11:29:25,T012,SPT120018W,202301000127908
2023-09-26 11:29:40,T014,OCTAN-40,202302000080000
2023-09-26 11:30:09,T013,SPT120018W,202302000080038
2023-09-26 11:30:52,T012,SPT120018W,202301000127909
2023-09-26 11:31:39,T013,SPT120018W,202302000080039
2023-09-26 11:31:59,T012,SPT120018W,202301000127910
2023-09-26 11:32:59,T013,SPT120018W,202302000080040
2023-09-26 11:34:04,T013,SPT120018W,202302000080040
2023-09-26 11:34:24,T012,SPT120018W,202301000127911
2023-09-26 11:35:39,T013,SPT120018W,202302000080040
2023-09-26 11:35:41,T012,SPT120018W,202301000127911
2023-09-26 11:36:45,T012,SPT120018W,202301000127912
2023-09-26 11:37:06,T013,SPT120018W,202302000080041
2023-09-26 11:37:35,T012,SPT120018W,202301000127913
2023-09-26 11:38:19,T012,SPT120018W,202301000127914
2023-09-26 11:38:41,T013,SPT120018W,202302000080042
2023-09-26 11:39:32,T012,SPT120018W,202301000127915
2023-09-26 11:40:19,T013,SPT120018W,202302000080043
2023-09-26 11:40:58,T012,SPT120018W,202301000127916
2023-09-26 11:41:48,T012,SPT120018W,202301000127917
2023-09-26 11:42:06,T013,SPT120018W,202302000080044
2023-09-26 11:43:05,T012,SPT120018W,202301000127918
2023-09-26 11:43:48,T013,SPT120018W,202302000080045
