,ts,id,rssi
1873,2023-08-26 09:01:42,1,-54
1872,2023-08-26 09:02:12,1,-60
1871,2023-08-26 09:02:24,1,-54
1870,2023-08-26 09:02:30,1,-65
1869,2023-08-26 09:02:42,1,-54
1868,2023-08-26 09:02:48,1,-65
1867,2023-08-26 09:03:24,1,-54
1866,2023-08-26 09:03:30,1,-60
1865,2023-08-26 09:03:42,1,-54
1864,2023-08-26 09:03:48,1,-65
1863,2023-08-26 09:04:00,1,-54
1862,2023-08-26 09:04:06,1,-65
1861,2023-08-26 09:04:25,1,-54
1860,2023-08-26 09:04:37,1,-60
1859,2023-08-26 09:04:49,2,-100
1858,2023-08-26 09:04:55,1,-54
1857,2023-08-26 09:04:55,2,-73
1856,2023-08-26 09:05:01,1,-60
1855,2023-08-26 09:05:07,1,-54
1854,2023-08-26 09:05:13,1,-65
1853,2023-08-26 09:06:07,1,-56
1852,2023-08-26 09:06:13,1,-65
1851,2023-08-26 09:06:19,1,-54
1850,2023-08-26 09:06:37,2,-100
1849,2023-08-26 09:06:43,1,-60
1848,2023-08-26 09:06:43,2,-73
1847,2023-08-26 09:06:49,1,-54
1846,2023-08-26 09:07:01,1,-60
1845,2023-08-26 09:07:37,1,-54
1844,2023-08-26 09:07:43,1,-61
1843,2023-08-26 09:07:55,1,-54
1842,2023-08-26 09:08:01,1,-61
1841,2023-08-26 09:08:07,1,-54
1840,2023-08-26 09:08:13,1,-65
1839,2023-08-26 09:08:19,1,-54
1838,2023-08-26 09:08:31,1,-60
1837,2023-08-26 09:08:37,1,-54
1836,2023-08-26 09:08:55,1,-60
1835,2023-08-26 09:10:31,1,-54
1834,2023-08-26 09:10:37,1,-64
1833,2023-08-26 09:11:43,1,-54
1832,2023-08-26 09:11:49,1,-65
1831,2023-08-26 09:12:25,1,-54
1830,2023-08-26 09:12:49,1,-61
1829,2023-08-26 09:12:55,1,-54
1828,2023-08-26 09:13:01,1,-64
1827,2023-08-26 09:13:37,1,-54
1826,2023-08-26 09:13:43,1,-65
1825,2023-08-26 09:13:49,1,-54
1824,2023-08-26 09:13:55,1,-65
1823,2023-08-26 09:14:19,1,-54
1822,2023-08-26 09:14:25,1,-65
1821,2023-08-26 09:14:31,1,-54
1820,2023-08-26 09:15:01,1,-60
1819,2023-08-26 09:15:13,1,-54
1818,2023-08-26 09:15:31,1,-65
1817,2023-08-26 09:15:37,1,-54
1816,2023-08-26 09:15:43,1,-65
1815,2023-08-26 09:16:31,1,-100
1814,2023-08-26 09:16:37,1,-65
1813,2023-08-26 09:16:49,1,-54
1812,2023-08-26 09:16:50,2,-100
1811,2023-08-26 09:17:01,1,-65
1810,2023-08-26 09:17:01,2,-74
1809,2023-08-26 09:17:08,1,-54
1808,2023-08-26 09:17:25,1,-65
1807,2023-08-26 09:18:08,1,-55
1806,2023-08-26 09:18:14,1,-61
1805,2023-08-26 09:18:56,1,-54
1804,2023-08-26 09:19:02,1,-61
1803,2023-08-26 09:19:56,1,-54
1802,2023-08-26 09:20:02,1,-60
1801,2023-08-26 09:20:14,1,-54
1800,2023-08-26 09:20:26,1,-61
1799,2023-08-26 09:20:56,1,-54
1798,2023-08-26 09:21:02,1,-65
1797,2023-08-26 09:22:08,1,-55
1796,2023-08-26 09:22:14,1,-65
1795,2023-08-26 09:22:20,1,-54
1794,2023-08-26 09:22:38,1,-65
1793,2023-08-26 09:22:44,1,-54
1792,2023-08-26 09:22:50,1,-65
1791,2023-08-26 09:22:56,1,-54
1790,2023-08-26 09:23:14,1,-60
1789,2023-08-26 09:23:20,1,-54
1788,2023-08-26 09:23:26,1,-65
1787,2023-08-26 09:23:38,1,-54
1786,2023-08-26 09:23:44,1,-65
1785,2023-08-26 09:24:02,1,-54
1784,2023-08-26 09:24:08,1,-65
1783,2023-08-26 09:25:44,1,-54
1782,2023-08-26 09:25:50,1,-61
1781,2023-08-26 09:25:56,1,-54
1780,2023-08-26 09:26:08,1,-65
1779,2023-08-26 09:26:38,1,-54
1778,2023-08-26 09:26:44,1,-65
1777,2023-08-26 09:27:02,1,-54
