,ts,gabarit
626,2023-09-28 09:07:10,0
625,2023-09-28 09:07:33,24
624,2023-09-28 09:07:38,0
623,2023-09-28 09:07:51,24
622,2023-09-28 09:07:56,0
621,2023-09-28 09:08:04,19
620,2023-09-28 09:08:09,0
619,2023-09-28 09:08:28,19
618,2023-09-28 09:08:32,19
617,2023-09-28 09:08:34,19
616,2023-09-28 09:08:39,19
615,2023-09-28 09:08:44,0
614,2023-09-28 09:12:38,22
613,2023-09-28 09:12:43,0
612,2023-09-28 09:13:16,22
611,2023-09-28 09:13:21,0
610,2023-09-28 09:13:30,22
609,2023-09-28 09:13:35,0
608,2023-09-28 09:16:29,12
607,2023-09-28 09:16:34,0
606,2023-09-28 09:18:20,23
605,2023-09-28 09:18:25,0
604,2023-09-28 09:20:14,17
603,2023-09-28 09:20:16,17
602,2023-09-28 09:20:18,17
601,2023-09-28 09:20:20,17
600,2023-09-28 09:20:22,17
599,2023-09-28 09:20:27,0
598,2023-09-28 09:26:06,0
597,2023-09-28 09:31:18,9
596,2023-09-28 09:31:23,0
595,2023-09-28 09:32:00,3
594,2023-09-28 09:32:03,3
593,2023-09-28 09:32:05,3
592,2023-09-28 09:32:07,3
591,2023-09-28 09:32:12,0
590,2023-09-28 09:32:59,8
589,2023-09-28 09:33:04,0
588,2023-09-28 09:35:32,0
587,2023-09-28 09:35:53,15
586,2023-09-28 09:35:55,15
585,2023-09-28 09:35:57,15
584,2023-09-28 09:35:59,15
583,2023-09-28 09:36:04,0
582,2023-09-28 09:36:05,15
581,2023-09-28 09:36:10,0
580,2023-09-28 09:37:41,16
579,2023-09-28 09:37:46,0
578,2023-09-28 09:38:59,16
577,2023-09-28 09:39:04,0
576,2023-09-28 09:39:11,16
575,2023-09-28 09:39:16,0
574,2023-09-28 09:42:39,19
573,2023-09-28 09:42:41,19
572,2023-09-28 09:42:46,0
571,2023-09-28 09:43:29,24
570,2023-09-28 09:43:34,0
569,2023-09-28 09:45:35,9
568,2023-09-28 09:45:37,9
567,2023-09-28 09:45:43,0
566,2023-09-28 09:48:24,3
565,2023-09-28 09:48:29,0
564,2023-09-28 09:49:29,22
563,2023-09-28 09:49:33,0
562,2023-09-28 09:50:31,22
561,2023-09-28 09:50:33,22
560,2023-09-28 09:50:35,22
559,2023-09-28 09:50:37,22
558,2023-09-28 09:50:39,22
557,2023-09-28 09:50:41,22
556,2023-09-28 09:50:46,0
555,2023-09-28 09:52:12,15
554,2023-09-28 09:52:17,0
553,2023-09-28 09:53:56,16
552,2023-09-28 09:54:01,0
551,2023-09-28 09:54:31,16
550,2023-09-28 09:54:34,16
549,2023-09-28 09:54:36,16
548,2023-09-28 09:54:41,0
547,2023-09-28 09:57:48,21
546,2023-09-28 09:57:53,0
545,2023-09-28 10:00:00,10
544,2023-09-28 10:00:05,0
543,2023-09-28 10:00:32,10
542,2023-09-28 10:00:37,0
541,2023-09-28 10:00:44,10
540,2023-09-28 10:00:50,0
539,2023-09-28 10:03:25,9
538,2023-09-28 10:03:30,0
537,2023-09-28 10:04:50,3
536,2023-09-28 10:04:55,0
535,2023-09-28 10:05:29,22
534,2023-09-28 10:05:34,0
533,2023-09-28 10:07:04,15
532,2023-09-28 10:07:08,15
531,2023-09-28 10:07:13,0
530,2023-09-28 10:07:57,16
529,2023-09-28 10:08:02,0
528,2023-09-28 10:09:32,17
527,2023-09-28 10:09:37,0
526,2023-09-28 10:09:55,17
525,2023-09-28 10:09:57,17
524,2023-09-28 10:09:59,17
523,2023-09-28 10:10:01,17
522,2023-09-28 10:10:03,17
521,2023-09-28 10:10:08,0
520,2023-09-28 10:11:01,19
519,2023-09-28 10:11:06,0
518,2023-09-28 10:11:32,19
517,2023-09-28 10:11:35,19
516,2023-09-28 10:11:37,19
515,2023-09-28 10:11:39,19
514,2023-09-28 10:11:41,19
513,2023-09-28 10:11:46,0
512,2023-09-28 10:11:48,19
511,2023-09-28 10:11:53,0
510,2023-09-28 10:16:58,3
509,2023-09-28 10:17:00,3
508,2023-09-28 10:17:02,3
507,2023-09-28 10:17:07,0
506,2023-09-28 10:18:40,5
505,2023-09-28 10:18:45,0
504,2023-09-28 10:19:03,5
503,2023-09-28 10:19:05,5
502,2023-09-28 10:19:07,5
501,2023-09-28 10:19:09,5
500,2023-09-28 10:19:11,5
499,2023-09-28 10:19:13,5
498,2023-09-28 10:19:18,0
497,2023-09-28 10:19:20,5
496,2023-09-28 10:19:25,0
495,2023-09-28 10:19:55,22
494,2023-09-28 10:20:00,0
493,2023-09-28 10:22:51,8
492,2023-09-28 10:22:53,8
491,2023-09-28 10:22:58,0
490,2023-09-28 10:25:35,17
489,2023-09-28 10:25:40,0
488,2023-09-28 10:49:36,3
487,2023-09-28 10:49:38,3
486,2023-09-28 10:49:41,3
485,2023-09-28 10:49:43,3
484,2023-09-28 10:49:45,3
483,2023-09-28 10:49:47,3
482,2023-09-28 10:49:49,3
481,2023-09-28 10:49:51,3
480,2023-09-28 10:49:53,3
479,2023-09-28 10:49:55,3
478,2023-09-28 10:49:57,3
477,2023-09-28 10:49:59,3
476,2023-09-28 10:50:01,3
475,2023-09-28 10:50:03,3
474,2023-09-28 10:50:05,3
473,2023-09-28 10:50:07,3
472,2023-09-28 10:50:09,3
471,2023-09-28 10:50:14,0
470,2023-09-28 10:50:17,3
469,2023-09-28 10:50:19,3
468,2023-09-28 10:50:21,3
467,2023-09-28 10:50:23,3
466,2023-09-28 10:50:28,0
465,2023-09-28 10:50:40,3
464,2023-09-28 10:50:45,0
463,2023-09-28 10:50:54,3
462,2023-09-28 10:50:59,0
461,2023-09-28 10:51:04,9
460,2023-09-28 10:51:09,0
459,2023-09-28 10:51:37,9
458,2023-09-28 10:51:39,9
457,2023-09-28 10:51:41,9
456,2023-09-28 10:51:44,9
455,2023-09-28 10:51:49,0
454,2023-09-28 10:52:18,22
453,2023-09-28 10:52:23,0
452,2023-09-28 10:54:59,15
451,2023-09-28 10:55:01,15
450,2023-09-28 10:55:03,15
449,2023-09-28 10:55:08,0
448,2023-09-28 10:57:23,16
447,2023-09-28 10:57:25,16
446,2023-09-28 10:57:27,16
445,2023-09-28 10:57:29,16
444,2023-09-28 10:57:31,16
443,2023-09-28 10:57:33,16
442,2023-09-28 10:57:38,0
441,2023-09-28 11:03:00,19
440,2023-09-28 11:03:02,19
439,2023-09-28 11:03:04,19
438,2023-09-28 11:03:06,19
437,2023-09-28 11:03:08,19
436,2023-09-28 11:03:13,0
435,2023-09-28 11:06:26,10
434,2023-09-28 11:06:32,0
433,2023-09-28 11:07:47,3
432,2023-09-28 11:07:52,0
431,2023-09-28 11:08:09,3
430,2023-09-28 11:08:15,3
429,2023-09-28 11:08:15,3
428,2023-09-28 11:08:20,3
427,2023-09-28 11:08:24,3
426,2023-09-28 11:08:29,0
425,2023-09-28 11:09:07,22
424,2023-09-28 11:09:12,0
423,2023-09-28 11:09:49,7
422,2023-09-28 11:09:55,0
421,2023-09-28 11:10:56,5
420,2023-09-28 11:11:02,0
419,2023-09-28 11:11:21,5
418,2023-09-28 11:11:23,5
417,2023-09-28 11:11:26,5
416,2023-09-28 11:11:33,0
415,2023-09-28 11:11:51,5
414,2023-09-28 11:11:56,5
413,2023-09-28 11:12:01,5
412,2023-09-28 11:12:05,5
411,2023-09-28 11:12:12,5
410,2023-09-28 11:12:16,5
409,2023-09-28 11:12:21,5
408,2023-09-28 11:12:29,0
407,2023-09-28 11:17:45,17
406,2023-09-28 11:17:50,0
405,2023-09-28 11:17:55,17
404,2023-09-28 11:18:00,0
403,2023-09-28 11:18:42,19
402,2023-09-28 11:18:47,0
401,2023-09-28 11:20:14,3
400,2023-09-28 11:20:38,0
399,2023-09-28 11:21:58,22
398,2023-09-28 11:22:04,22
397,2023-09-28 11:22:11,22
396,2023-09-28 11:22:17,22
395,2023-09-28 11:22:17,22
394,2023-09-28 11:22:21,0
393,2023-09-28 11:22:26,22
392,2023-09-28 11:22:39,0
391,2023-09-28 11:26:49,9
390,2023-09-28 11:27:03,0
389,2023-09-28 11:27:56,9
388,2023-09-28 11:28:04,0
387,2023-09-28 11:28:07,9
386,2023-09-28 11:28:12,0
385,2023-09-28 11:30:58,17
