,ts,gabarit
284,2023-09-28 09:03:35,0
283,2023-09-28 09:07:50,11
282,2023-09-28 09:07:57,0
281,2023-09-28 09:09:10,0
280,2023-09-28 09:11:48,12
279,2023-09-28 09:11:52,0
278,2023-09-28 09:12:47,12
277,2023-09-28 09:12:52,0
276,2023-09-28 09:13:54,17
275,2023-09-28 09:13:59,0
274,2023-09-28 09:15:22,13
273,2023-09-28 09:15:28,0
272,2023-09-28 09:22:45,0
271,2023-09-28 09:25:51,0
270,2023-09-28 09:27:20,3
269,2023-09-28 09:28:02,0
268,2023-09-28 09:28:58,8
267,2023-09-28 09:29:05,0
266,2023-09-28 09:31:35,15
265,2023-09-28 09:31:41,0
264,2023-09-28 09:33:08,0
263,2023-09-28 09:34:23,13
262,2023-09-28 09:34:27,0
261,2023-09-28 09:36:58,19
260,2023-09-28 09:37:09,0
259,2023-09-28 09:38:39,24
258,2023-09-28 09:38:43,0
257,2023-09-28 09:40:08,2
256,2023-09-28 09:40:14,0
255,2023-09-28 09:41:14,9
254,2023-09-28 09:41:20,0
253,2023-09-28 09:42:26,3
252,2023-09-28 09:43:25,0
251,2023-09-28 09:43:46,22
250,2023-09-28 09:44:39,0
249,2023-09-28 09:46:24,0
248,2023-09-28 09:47:21,12
247,2023-09-28 09:47:26,0
246,2023-09-28 09:48:31,16
245,2023-09-28 09:48:36,0
244,2023-09-28 09:50:33,13
243,2023-09-28 09:50:38,0
242,2023-09-28 09:51:13,21
241,2023-09-28 09:51:17,21
240,2023-09-28 09:51:19,21
239,2023-09-28 09:51:22,21
238,2023-09-28 09:51:24,21
237,2023-09-28 09:51:26,21
236,2023-09-28 09:51:28,21
235,2023-09-28 09:51:31,21
234,2023-09-28 09:51:34,21
233,2023-09-28 09:51:49,21
232,2023-09-28 09:53:26,0
231,2023-09-28 09:54:53,10
230,2023-09-28 09:55:15,0
229,2023-09-28 09:58:03,0
228,2023-09-28 10:00:06,3
227,2023-09-28 10:00:10,0
226,2023-09-28 10:01:18,22
225,2023-09-28 10:01:23,0
224,2023-09-28 10:04:15,15
223,2023-09-28 10:04:20,0
222,2023-09-28 10:05:51,16
221,2023-09-28 10:05:56,0
220,2023-09-28 10:07:10,17
219,2023-09-28 10:07:15,0
218,2023-09-28 10:08:25,19
217,2023-09-28 10:08:32,0
216,2023-09-28 10:09:42,21
215,2023-09-28 10:09:45,0
214,2023-09-28 10:10:57,2
213,2023-09-28 10:11:03,0
212,2023-09-28 10:13:15,11
211,2023-09-28 10:13:21,0
210,2023-09-28 10:14:32,3
209,2023-09-28 10:15:01,0
208,2023-09-28 10:15:41,5
207,2023-09-28 10:15:46,0
206,2023-09-28 10:17:22,22
205,2023-09-28 10:17:28,0
204,2023-09-28 10:19:31,8
203,2023-09-28 10:19:36,0
202,2023-09-28 10:21:55,17
201,2023-09-28 10:22:01,0
200,2023-09-28 10:23:27,18
199,2023-09-28 10:23:32,0
198,2023-09-28 10:24:34,21
197,2023-09-28 10:24:41,0
196,2023-09-28 10:25:43,2
195,2023-09-28 10:25:48,0
194,2023-09-28 10:27:05,11
193,2023-09-28 10:27:17,0
192,2023-09-28 10:28:41,3
191,2023-09-28 10:29:03,0
190,2023-09-28 10:29:42,9
189,2023-09-28 10:29:48,0
188,2023-09-28 10:48:13,0
187,2023-09-28 10:48:46,22
186,2023-09-28 10:50:33,0
185,2023-09-28 10:53:17,15
184,2023-09-28 10:53:17,0
183,2023-09-28 10:55:19,0
182,2023-09-28 10:56:10,21
181,2023-09-28 10:56:15,0
180,2023-09-28 10:57:09,0
179,2023-09-28 11:00:16,11
178,2023-09-28 11:00:18,0
177,2023-09-28 11:01:38,10
176,2023-09-28 11:01:56,0
175,2023-09-28 11:03:17,3
174,2023-09-28 11:03:18,0
173,2023-09-28 11:04:17,22
172,2023-09-28 11:04:18,22
171,2023-09-28 11:04:20,22
170,2023-09-28 11:04:23,22
169,2023-09-28 11:04:24,22
168,2023-09-28 11:04:26,22
167,2023-09-28 11:04:29,22
166,2023-09-28 11:04:32,22
165,2023-09-28 11:04:33,22
164,2023-09-28 11:04:36,22
163,2023-09-28 11:04:37,22
162,2023-09-28 11:04:38,22
161,2023-09-28 11:04:41,22
160,2023-09-28 11:04:45,22
159,2023-09-28 11:05:33,0
158,2023-09-28 11:07:02,5
157,2023-09-28 11:07:10,0
156,2023-09-28 11:09:48,8
155,2023-09-28 11:10:38,0
154,2023-09-28 11:13:57,0
153,2023-09-28 11:16:28,19
152,2023-09-28 11:16:30,0
151,2023-09-28 11:19:15,0
150,2023-09-28 11:20:02,13
149,2023-09-28 11:20:15,0
148,2023-09-28 11:23:50,0
147,2023-09-28 11:28:24,17
146,2023-09-28 11:28:32,0
145,2023-09-28 11:30:16,11
144,2023-09-28 11:31:15,0
143,2023-09-28 11:31:39,3
142,2023-09-28 11:31:47,0
141,2023-09-28 11:32:53,10
140,2023-09-28 11:33:26,0
139,2023-09-28 11:36:33,0
138,2023-09-28 11:36:42,0
137,2023-09-28 11:41:03,0
136,2023-09-28 11:45:17,0
135,2023-09-28 11:46:38,15
134,2023-09-28 11:48:09,0
133,2023-09-28 11:49:17,3
132,2023-09-28 11:49:22,0
131,2023-09-28 11:51:01,0
130,2023-09-28 11:52:53,22
129,2023-09-28 11:53:18,0
128,2023-09-28 11:53:46,0
127,2023-09-28 11:54:15,7
126,2023-09-28 11:54:19,0
125,2023-09-28 11:55:08,7
124,2023-09-28 11:55:25,0
123,2023-09-28 11:55:57,20
122,2023-09-28 11:55:57,0
121,2023-09-28 11:57:51,4
120,2023-09-28 11:57:59,0
119,2023-09-28 11:59:07,0
118,2023-09-28 11:59:57,11
117,2023-09-28 12:00:39,0
116,2023-09-28 12:04:10,10
115,2023-09-28 12:04:37,0
114,2023-09-28 12:05:19,3
113,2023-09-28 12:05:33,0
112,2023-09-28 12:09:38,14
111,2023-09-28 12:09:50,0
110,2023-09-28 12:09:50,0
109,2023-09-28 12:10:42,20
108,2023-09-28 12:10:58,0
107,2023-09-28 12:13:23,19
106,2023-09-28 12:13:39,0
105,2023-09-28 12:15:33,8
104,2023-09-28 12:15:34,0
103,2023-09-28 12:15:35,15
102,2023-09-28 12:15:50,0
101,2023-09-28 12:16:33,16
100,2023-09-28 12:16:46,16
99,2023-09-28 12:17:02,0
98,2023-09-28 12:18:18,0
97,2023-09-28 12:20:23,0
96,2023-09-28 12:22:22,0
95,2023-09-28 12:23:42,17
94,2023-09-28 12:23:47,0
93,2023-09-28 12:24:50,4
92,2023-09-28 12:25:51,0
91,2023-09-28 12:27:04,21
90,2023-09-28 12:27:12,0
89,2023-09-28 12:29:46,0
88,2023-09-28 12:29:51,8
87,2023-09-28 12:29:51,0
86,2023-09-28 12:32:25,10
85,2023-09-28 12:32:31,0
84,2023-09-28 12:33:32,22
83,2023-09-28 12:33:35,0
82,2023-09-28 12:34:41,3
81,2023-09-28 12:34:48,0
80,2023-09-28 12:37:24,9
79,2023-09-28 12:37:26,0
78,2023-09-28 12:39:44,0
77,2023-09-28 12:40:21,15
76,2023-09-28 12:40:36,15
75,2023-09-28 12:40:37,0
74,2023-09-28 12:41:07,15
73,2023-09-28 12:41:17,15
72,2023-09-28 12:41:19,15
71,2023-09-28 12:41:19,15
70,2023-09-28 12:41:19,15
69,2023-09-28 12:41:22,15
68,2023-09-28 12:42:38,16
67,2023-09-28 12:42:39,0
66,2023-09-28 12:43:28,11
65,2023-09-28 12:43:33,0
64,2023-09-28 12:44:43,8
63,2023-09-28 12:44:44,8
62,2023-09-28 12:44:46,8
61,2023-09-28 12:44:48,8
60,2023-09-28 12:44:50,8
59,2023-09-28 12:44:53,8
58,2023-09-28 12:44:54,8
57,2023-09-28 12:44:56,8
56,2023-09-28 12:44:59,8
55,2023-09-28 12:45:03,0
54,2023-09-28 12:45:49,6
53,2023-09-28 12:45:54,0
52,2023-09-28 12:46:34,10
51,2023-09-28 12:46:42,10
50,2023-09-28 12:46:43,10
49,2023-09-28 12:46:43,10
48,2023-09-28 12:46:44,10
47,2023-09-28 12:46:46,10
46,2023-09-28 12:46:51,10
45,2023-09-28 12:46:51,10
44,2023-09-28 12:47:33,0
43,2023-09-28 12:49:00,0
42,2023-09-28 12:50:31,3
41,2023-09-28 12:50:35,3
40,2023-09-28 12:50:36,3
39,2023-09-28 12:50:39,0
38,2023-09-28 12:53:15,19
37,2023-09-28 12:53:16,19
36,2023-09-28 12:55:18,21
35,2023-09-28 12:55:18,0
34,2023-09-28 12:55:59,15
33,2023-09-28 12:56:04,0
32,2023-09-28 12:57:04,0
31,2023-09-28 14:01:57,18
30,2023-09-28 14:05:55,22
29,2023-09-28 14:05:55,0
28,2023-09-28 14:06:36,12
27,2023-09-28 14:06:39,0
26,2023-09-28 14:09:30,19
25,2023-09-28 14:10:00,0
24,2023-09-28 14:10:58,17
23,2023-09-28 14:11:04,0
22,2023-09-28 14:14:35,11
21,2023-09-28 14:15:48,0
20,2023-09-28 14:17:41,15
19,2023-09-28 14:17:47,0
18,2023-09-28 14:19:43,0
17,2023-09-28 14:20:33,18
16,2023-09-28 14:20:35,0
15,2023-09-28 14:21:26,10
14,2023-09-28 14:21:52,0
13,2023-09-28 14:22:33,9
12,2023-09-28 14:22:37,0
11,2023-09-28 14:26:29,0
10,2023-09-28 14:26:32,0
9,2023-09-28 14:26:49,13
8,2023-09-28 14:28:14,0
7,2023-09-28 14:32:23,3
6,2023-09-28 14:36:28,11
5,2023-09-28 14:36:28,11
4,2023-09-28 14:36:44,11
3,2023-09-28 14:36:44,0
2,2023-09-28 14:39:57,18
1,2023-09-28 14:40:02,0
0,2023-09-28 14:41:10,9
