,ts,gabarit
377,2023-10-02 12:31:10,19
376,2023-10-02 12:31:12,19
375,2023-10-02 12:31:17,0
374,2023-10-02 12:31:19,19
373,2023-10-02 12:31:24,0
372,2023-10-02 12:33:00,0
371,2023-10-02 12:35:37,8
370,2023-10-02 12:35:42,0
369,2023-10-02 12:35:49,8
368,2023-10-02 12:35:54,0
367,2023-10-02 12:37:20,22
366,2023-10-02 12:37:22,22
365,2023-10-02 12:37:24,22
364,2023-10-02 12:37:26,22
363,2023-10-02 12:37:28,22
362,2023-10-02 12:37:30,22
361,2023-10-02 12:37:35,0
360,2023-10-02 12:37:59,22
359,2023-10-02 12:38:01,22
358,2023-10-02 12:38:03,22
357,2023-10-02 12:38:08,0
356,2023-10-02 12:38:22,22
355,2023-10-02 12:38:27,0
354,2023-10-02 12:39:41,1
353,2023-10-02 12:39:46,0
352,2023-10-02 12:40:12,1
351,2023-10-02 12:40:17,0
350,2023-10-02 12:40:22,1
349,2023-10-02 12:40:27,0
348,2023-10-02 12:43:36,3
347,2023-10-02 12:43:41,0
346,2023-10-02 12:43:58,3
345,2023-10-02 12:44:03,0
344,2023-10-02 12:44:09,3
343,2023-10-02 12:44:14,0
342,2023-10-02 12:45:57,5
341,2023-10-02 12:46:03,0
340,2023-10-02 12:48:11,15
339,2023-10-02 12:48:16,0
338,2023-10-02 12:57:02,1
337,2023-10-02 12:57:07,0
336,2023-10-02 14:03:44,3
335,2023-10-02 14:03:49,0
334,2023-10-02 14:04:11,3
333,2023-10-02 14:04:16,0
332,2023-10-02 14:04:25,3
331,2023-10-02 14:04:30,0
330,2023-10-02 14:07:18,15
329,2023-10-02 14:07:20,15
328,2023-10-02 14:07:22,15
327,2023-10-02 14:07:24,15
326,2023-10-02 14:07:26,15
325,2023-10-02 14:07:31,0
324,2023-10-02 14:11:52,21
323,2023-10-02 14:11:57,0
322,2023-10-02 14:18:46,17
321,2023-10-02 14:18:51,0
320,2023-10-02 14:21:57,3
319,2023-10-02 14:21:59,3
318,2023-10-02 14:22:01,3
317,2023-10-02 14:22:03,3
316,2023-10-02 14:22:05,3
315,2023-10-02 14:22:10,0
314,2023-10-02 14:22:24,3
313,2023-10-02 14:22:27,3
312,2023-10-02 14:22:33,0
311,2023-10-02 14:22:40,3
310,2023-10-02 14:22:42,3
309,2023-10-02 14:22:44,3
308,2023-10-02 14:22:46,3
307,2023-10-02 14:22:48,3
306,2023-10-02 14:22:53,0
305,2023-10-02 14:23:32,22
304,2023-10-02 14:23:37,0
303,2023-10-02 14:27:35,9
302,2023-10-02 14:27:40,0
301,2023-10-02 14:28:01,9
300,2023-10-02 14:28:03,9
299,2023-10-02 14:28:05,9
298,2023-10-02 14:28:07,9
297,2023-10-02 14:28:09,9
296,2023-10-02 14:28:11,9
295,2023-10-02 14:28:16,0
294,2023-10-02 14:32:24,16
293,2023-10-02 14:32:29,0
292,2023-10-02 14:36:47,1
291,2023-10-02 14:36:52,0
290,2023-10-02 14:37:27,1
289,2023-10-02 14:37:29,1
288,2023-10-02 14:37:34,0
287,2023-10-02 14:38:22,17
286,2023-10-02 14:38:27,0
285,2023-10-02 14:40:13,3
284,2023-10-02 14:40:18,0
283,2023-10-02 14:41:54,22
282,2023-10-02 14:41:59,0
281,2023-10-02 14:42:27,22
280,2023-10-02 14:42:29,22
279,2023-10-02 14:42:31,22
278,2023-10-02 14:42:33,22
277,2023-10-02 14:42:35,22
276,2023-10-02 14:42:37,22
275,2023-10-02 14:42:39,22
274,2023-10-02 14:42:44,0
273,2023-10-02 14:50:08,0
272,2023-10-02 14:50:57,16
271,2023-10-02 14:51:02,0
270,2023-10-02 14:51:07,16
269,2023-10-02 14:51:09,16
268,2023-10-02 14:51:11,16
267,2023-10-02 14:51:13,16
266,2023-10-02 14:51:15,16
265,2023-10-02 14:51:20,0
264,2023-10-02 14:51:34,24
263,2023-10-02 14:51:39,0
262,2023-10-02 14:55:36,17
261,2023-10-02 14:55:41,0
260,2023-10-02 14:56:52,17
259,2023-10-02 14:56:55,17
258,2023-10-02 14:57:01,0
257,2023-10-02 15:00:07,9
256,2023-10-02 15:00:09,9
255,2023-10-02 15:00:11,9
254,2023-10-02 15:00:13,9
253,2023-10-02 15:00:15,9
252,2023-10-02 15:00:17,9
251,2023-10-02 15:00:19,9
250,2023-10-02 15:00:21,9
249,2023-10-02 15:00:23,9
248,2023-10-02 15:00:25,9
247,2023-10-02 15:00:27,9
246,2023-10-02 15:00:29,9
245,2023-10-02 15:00:31,9
244,2023-10-02 15:00:33,9
243,2023-10-02 15:00:35,9
242,2023-10-02 15:00:37,9
241,2023-10-02 15:00:39,9
240,2023-10-02 15:00:41,9
239,2023-10-02 15:00:43,9
238,2023-10-02 15:00:45,9
237,2023-10-02 15:00:47,9
236,2023-10-02 15:00:49,9
235,2023-10-02 15:00:51,9
234,2023-10-02 15:00:53,9
233,2023-10-02 15:00:55,9
232,2023-10-02 15:00:57,9
231,2023-10-02 15:00:59,9
230,2023-10-02 15:01:01,9
229,2023-10-02 15:01:03,9
228,2023-10-02 15:01:07,9
227,2023-10-02 15:01:12,0
