,ts,id,rssi
1147,2023-08-02 09:00:03,1,-78
1146,2023-08-02 09:00:09,2,-73
1145,2023-08-02 09:00:15,1,-70
1144,2023-08-02 09:00:21,2,-66
1143,2023-08-02 09:00:27,2,-72
1142,2023-08-02 09:00:33,2,-62
1141,2023-08-02 09:00:39,2,-72
1140,2023-08-02 09:00:45,1,-79
1139,2023-08-02 09:00:57,2,-64
1138,2023-08-02 09:01:03,1,-70
1137,2023-08-02 09:01:39,1,-79
1136,2023-08-02 09:01:51,1,-72
1135,2023-08-02 09:02:09,2,-74
1134,2023-08-02 09:02:15,2,-64
1133,2023-08-02 09:02:33,2,-71
1132,2023-08-02 09:02:57,2,-64
1131,2023-08-02 09:03:04,2,-74
1130,2023-08-02 09:03:16,2,-68
1129,2023-08-02 09:03:28,2,-76
1128,2023-08-02 09:03:40,2,-65
1127,2023-08-02 09:04:28,2,-75
1126,2023-08-02 09:04:40,2,-64
1125,2023-08-02 09:04:58,2,-75
1124,2023-08-02 09:05:10,2,-65
1123,2023-08-02 09:06:04,2,-76
1122,2023-08-02 09:06:10,2,-65
1121,2023-08-02 09:07:52,2,-75
1120,2023-08-02 09:08:04,2,-68
1119,2023-08-02 09:08:34,2,-74
1118,2023-08-02 09:08:52,2,-67
1117,2023-08-02 09:08:58,2,-74
1116,2023-08-02 09:09:04,2,-64
1115,2023-08-02 09:09:22,2,-71
1114,2023-08-02 09:09:28,2,-64
1113,2023-08-02 09:10:41,2,-74
1112,2023-08-02 09:10:47,2,-63
1111,2023-08-02 09:10:53,2,-73
1110,2023-08-02 09:11:29,2,-67
1109,2023-08-02 09:12:17,2,-73
1108,2023-08-02 09:12:29,2,-63
1107,2023-08-02 09:12:35,2,-73
1106,2023-08-02 09:12:53,2,-64
1105,2023-08-02 09:13:05,2,-70
1104,2023-08-02 09:13:11,2,-61
1103,2023-08-02 09:13:17,2,-69
1102,2023-08-02 09:15:05,2,-63
1101,2023-08-02 09:17:11,2,-71
1100,2023-08-02 09:17:35,2,-64
1099,2023-08-02 09:17:41,2,-72
1098,2023-08-02 09:17:47,2,-65
1097,2023-08-02 09:17:53,2,-71
1096,2023-08-02 09:18:05,2,-65
1095,2023-08-02 09:18:11,2,-74
1094,2023-08-02 09:18:35,2,-64
1093,2023-08-02 09:18:47,2,-70
1092,2023-08-02 09:18:59,2,-63
1091,2023-08-02 09:19:05,2,-71
1090,2023-08-02 09:19:23,2,-63
1089,2023-08-02 09:20:53,2,-70
1088,2023-08-02 09:20:59,1,-66
1087,2023-08-02 09:21:05,2,-61
1086,2023-08-02 09:21:11,1,-80
1085,2023-08-02 09:21:17,1,-73
1084,2023-08-02 09:21:23,2,-67
1083,2023-08-02 09:21:35,2,-74
1082,2023-08-02 09:21:41,2,-65
1081,2023-08-02 09:21:47,2,-71
1080,2023-08-02 09:21:59,2,-65
1079,2023-08-02 09:23:11,2,-72
1078,2023-08-02 09:23:48,2,-64
1077,2023-08-02 09:23:54,2,-71
1076,2023-08-02 09:24:06,2,-63
1075,2023-08-02 09:24:30,2,-71
1074,2023-08-02 09:24:42,2,-63
1073,2023-08-02 09:25:00,1,-67
1072,2023-08-02 09:25:12,1,-73
1071,2023-08-02 09:25:24,2,-74
1070,2023-08-02 09:25:30,2,-63
1069,2023-08-02 09:25:36,2,-74
1068,2023-08-02 09:25:36,1,0
1067,2023-08-02 09:25:42,1,-71
1066,2023-08-02 09:25:48,2,-66
1065,2023-08-02 09:26:36,2,-73
1064,2023-08-02 09:26:42,2,-66
1063,2023-08-02 09:27:06,2,-73
1062,2023-08-02 09:27:12,2,-66
1061,2023-08-02 09:27:18,2,-74
1060,2023-08-02 09:27:24,2,-61
1059,2023-08-02 09:27:42,2,-72
1058,2023-08-02 09:28:12,2,-61
1057,2023-08-02 09:28:18,2,-67
1056,2023-08-02 09:28:48,2,-61
1055,2023-08-02 09:28:54,2,-67
1054,2023-08-02 09:29:06,2,-61
1053,2023-08-02 09:29:24,2,-71
1052,2023-08-02 09:29:30,2,-63
1051,2023-08-02 09:29:36,2,-72
1050,2023-08-02 09:29:54,2,-66
1049,2023-08-02 09:30:06,2,-73
1048,2023-08-02 09:30:18,2,-61
1047,2023-08-02 09:30:24,2,-74
1046,2023-08-02 09:30:42,2,-65
1045,2023-08-02 09:30:54,2,-73
1044,2023-08-02 09:31:00,2,-61
1043,2023-08-02 09:31:48,2,-74
1042,2023-08-02 09:31:54,2,-67
1041,2023-08-02 09:32:48,2,-73
1040,2023-08-02 09:32:55,2,-67
1039,2023-08-02 09:33:01,2,-61
1038,2023-08-02 09:33:19,2,-67
1037,2023-08-02 09:34:25,2,-61
1036,2023-08-02 09:34:37,2,-67
1035,2023-08-02 09:34:43,2,-73
1034,2023-08-02 09:35:01,2,-67
1033,2023-08-02 09:35:31,2,-73
1032,2023-08-02 09:35:37,2,-67
1031,2023-08-02 09:39:31,2,-73
1030,2023-08-02 09:39:43,2,-62
1029,2023-08-02 09:39:49,2,-72
1028,2023-08-02 09:40:31,2,-61
1027,2023-08-02 09:40:37,2,-72
1026,2023-08-02 09:40:43,2,-64
1025,2023-08-02 09:41:01,2,-73
1024,2023-08-02 09:41:07,2,-65
1023,2023-08-02 09:42:01,2,-73
1022,2023-08-02 09:42:07,2,-66
1021,2023-08-02 09:45:13,2,-72
1020,2023-08-02 09:45:19,2,-65
1019,2023-08-02 09:45:25,2,-72
1018,2023-08-02 09:45:37,2,-62
1017,2023-08-02 09:45:45,2,-72
1016,2023-08-02 09:45:49,2,-63
1015,2023-08-02 09:46:19,2,-70
1014,2023-08-02 09:46:50,2,-63
1013,2023-08-02 09:46:56,2,-71
1012,2023-08-02 09:47:02,2,-63
1011,2023-08-02 09:47:20,2,-71
1010,2023-08-02 09:47:32,2,-62
1009,2023-08-02 09:48:02,2,-72
1008,2023-08-02 09:48:08,2,-62
1007,2023-08-02 09:48:20,2,-71
1006,2023-08-02 09:48:26,2,-63
1005,2023-08-02 09:48:50,2,-73
1004,2023-08-02 09:48:56,2,-61
1003,2023-08-02 09:49:08,2,-67
1002,2023-08-02 09:49:14,2,-61
1001,2023-08-02 09:49:38,2,-71
1000,2023-08-02 09:49:56,2,-63
999,2023-08-02 09:50:26,2,-69
998,2023-08-02 09:51:08,2,-62
997,2023-08-02 09:51:26,2,-68
996,2023-08-02 09:51:50,2,-62
995,2023-08-02 09:51:50,1,-64
994,2023-08-02 09:52:08,1,-71
993,2023-08-02 09:52:20,2,-70
992,2023-08-02 09:52:26,2,-62
991,2023-08-02 09:52:32,2,-73
990,2023-08-02 09:52:50,2,-66
989,2023-08-02 09:53:02,2,-73
988,2023-08-02 09:53:08,2,-67
987,2023-08-02 09:53:32,2,-73
986,2023-08-02 09:53:44,2,-67
985,2023-08-02 09:53:50,2,-60
984,2023-08-02 09:54:03,2,-68
983,2023-08-02 09:54:08,2,-58
982,2023-08-02 09:54:14,2,-80
981,2023-08-02 09:54:21,2,-65
980,2023-08-02 09:54:27,1,-65
979,2023-08-02 09:54:39,2,-72
978,2023-08-02 09:54:39,1,-76
977,2023-08-02 09:54:45,1,-70
976,2023-08-02 09:55:34,2,-61
975,2023-08-02 09:55:45,2,-69
974,2023-08-02 09:56:15,2,-61
973,2023-08-02 09:56:21,2,-75
972,2023-08-02 09:56:33,2,-63
971,2023-08-02 09:56:39,2,-72
970,2023-08-02 09:57:15,2,-62
969,2023-08-02 09:57:21,2,-73
968,2023-08-02 09:57:27,2,-64
967,2023-08-02 09:57:33,2,-71
966,2023-08-02 09:57:39,2,-63
965,2023-08-02 09:58:03,2,-69
964,2023-08-02 09:58:15,2,-61
963,2023-08-02 09:58:27,2,-69
962,2023-08-02 09:58:39,2,-63
961,2023-08-02 09:59:33,2,-69
960,2023-08-02 09:59:39,2,-61
959,2023-08-02 09:59:51,2,-67
958,2023-08-02 10:01:03,2,-61
957,2023-08-02 10:01:39,2,-64
956,2023-08-02 10:02:51,2,-72
955,2023-08-02 10:02:57,2,-65
954,2023-08-02 10:03:03,2,-73
953,2023-08-02 10:03:15,2,-61
952,2023-08-02 10:03:27,2,-71
951,2023-08-02 10:03:51,2,-60
950,2023-08-02 10:03:57,2,-72
949,2023-08-02 10:04:03,2,-66
948,2023-08-02 10:04:21,2,-60
947,2023-08-02 10:04:27,1,-64
946,2023-08-02 10:04:33,1,-71
945,2023-08-02 10:04:52,2,-71
944,2023-08-02 10:04:58,2,-59
943,2023-08-02 10:05:22,2,-65
942,2023-08-02 10:05:28,2,-72
941,2023-08-02 10:05:34,2,-65
940,2023-08-02 10:05:34,1,-71
939,2023-08-02 10:05:52,1,-64
938,2023-08-02 10:05:58,2,-71
937,2023-08-02 10:06:04,1,-70
936,2023-08-02 10:06:10,2,-59
935,2023-08-02 10:06:22,2,-72
934,2023-08-02 10:06:46,2,-60
933,2023-08-02 10:06:52,2,-71
932,2023-08-02 10:06:58,1,-63
931,2023-08-02 10:07:28,2,-58
930,2023-08-02 10:07:34,1,-70
929,2023-08-02 10:07:40,2,-64
928,2023-08-02 10:07:46,2,-71
927,2023-08-02 10:07:52,2,-63
926,2023-08-02 10:07:52,1,-64
925,2023-08-02 10:08:10,1,-72
924,2023-08-02 10:08:22,2,-72
923,2023-08-02 10:08:28,2,-64
922,2023-08-02 10:08:34,2,-72
921,2023-08-02 10:08:40,2,-60
920,2023-08-02 10:09:16,2,-71
919,2023-08-02 10:09:28,2,-60
918,2023-08-02 10:09:28,1,-65
917,2023-08-02 10:10:16,1,-73
916,2023-08-02 10:10:28,1,-64
915,2023-08-02 10:10:40,1,-73
914,2023-08-02 10:10:52,1,-65
913,2023-08-02 10:11:16,2,-52
912,2023-08-02 10:11:16,1,-72
911,2023-08-02 10:11:22,1,-66
910,2023-08-02 10:11:28,1,-59
909,2023-08-02 10:11:34,2,-69
908,2023-08-02 10:11:40,1,-69
907,2023-08-02 10:11:58,2,-40
906,2023-08-02 10:12:04,2,-63
905,2023-08-02 10:12:10,2,-50
904,2023-08-02 10:13:34,1,-62
903,2023-08-02 10:13:40,1,-68
902,2023-08-02 10:17:10,1,-62
901,2023-08-02 10:17:16,1,-70
900,2023-08-02 10:17:22,1,-63
899,2023-08-02 10:17:28,1,-69
898,2023-08-02 10:17:34,1,-63
897,2023-08-02 10:17:40,1,-69
896,2023-08-02 10:18:16,1,-63
895,2023-08-02 10:18:28,1,-71
894,2023-08-02 10:19:10,1,-63
893,2023-08-02 10:19:17,1,-69
892,2023-08-02 10:19:28,1,-63
891,2023-08-02 10:19:40,1,-70
890,2023-08-02 10:19:47,1,-63
889,2023-08-02 10:19:52,1,-69
888,2023-08-02 10:19:58,1,-63
887,2023-08-02 10:20:17,1,-71
886,2023-08-02 10:20:41,1,-63
885,2023-08-02 10:20:59,1,-70
884,2023-08-02 10:21:05,1,-63
883,2023-08-02 10:21:11,1,-69
882,2023-08-02 10:21:17,1,-63
881,2023-08-02 10:21:29,1,-70
880,2023-08-02 10:21:35,1,-63
879,2023-08-02 10:21:41,1,-69
878,2023-08-02 10:21:47,1,-63
877,2023-08-02 10:21:53,1,-70
876,2023-08-02 10:22:35,1,-63
875,2023-08-02 10:22:41,1,-70
874,2023-08-02 10:23:35,2,-56
873,2023-08-02 10:26:11,2,-63
872,2023-08-02 10:26:17,2,-56
871,2023-08-02 10:29:59,2,-63
870,2023-08-02 10:30:11,2,-57
869,2023-08-02 10:30:17,2,-65
868,2023-08-02 10:30:53,2,-57
867,2023-08-02 10:38:18,2,-64
866,2023-08-02 10:38:24,2,-57
865,2023-08-02 10:40:00,2,-63
864,2023-08-02 10:40:12,2,-56
863,2023-08-02 10:41:24,2,-64
862,2023-08-02 10:41:30,2,-57
861,2023-08-02 10:41:48,2,-64
860,2023-08-02 10:41:54,2,-56
859,2023-08-02 10:42:06,2,-64
858,2023-08-02 10:42:12,2,-56
857,2023-08-02 10:42:18,2,-64
856,2023-08-02 10:42:24,2,-56
855,2023-08-02 10:42:30,2,-64
854,2023-08-02 10:42:36,2,-57
853,2023-08-02 10:42:48,2,-64
852,2023-08-02 10:43:00,2,-56
851,2023-08-02 10:43:06,2,-64
850,2023-08-02 10:43:12,2,-57
849,2023-08-02 10:43:18,2,-65
848,2023-08-02 10:43:24,2,-56
847,2023-08-02 10:43:36,2,-64
846,2023-08-02 10:43:54,2,-57
845,2023-08-02 10:44:30,2,-65
844,2023-08-02 10:44:36,2,-57
843,2023-08-02 10:45:42,2,-64
842,2023-08-02 10:45:48,2,-57
841,2023-08-02 10:46:00,2,-64
840,2023-08-02 10:46:06,2,-56
839,2023-08-02 10:47:48,2,-65
838,2023-08-02 10:47:54,2,-56
837,2023-08-02 10:48:00,2,-64
836,2023-08-02 10:48:12,2,-57
835,2023-08-02 10:48:36,2,-64
834,2023-08-02 10:48:42,2,-57
833,2023-08-02 10:49:30,2,-66
832,2023-08-02 10:49:36,2,-57
831,2023-08-02 10:50:06,2,-65
830,2023-08-02 10:50:13,2,-56
829,2023-08-02 10:51:18,2,-65
828,2023-08-02 10:51:25,2,-57
827,2023-08-02 10:51:43,2,-65
826,2023-08-02 10:51:49,2,-57
825,2023-08-02 10:52:13,2,-63
824,2023-08-02 10:52:19,2,-56
823,2023-08-02 10:52:25,2,-70
822,2023-08-02 10:52:31,2,-62
821,2023-08-02 10:53:01,2,-72
820,2023-08-02 10:53:07,2,-65
819,2023-08-02 10:53:19,2,-59
818,2023-08-02 10:53:25,2,-69
817,2023-08-02 10:53:43,2,-59
816,2023-08-02 10:53:49,2,-69
815,2023-08-02 10:54:55,2,-58
814,2023-08-02 10:55:01,2,-64
813,2023-08-02 11:02:07,1,-73
812,2023-08-02 11:02:13,1,-67
811,2023-08-02 11:02:43,1,-73
810,2023-08-02 11:07:01,1,-67
809,2023-08-02 11:07:26,1,-74
808,2023-08-02 11:08:14,1,-68
807,2023-08-02 11:09:26,1,-74
806,2023-08-02 11:10:10,1,-68
805,2023-08-02 11:14:58,1,-74
804,2023-08-02 11:15:04,1,-68
803,2023-08-02 11:18:28,1,-75
802,2023-08-02 11:18:34,1,-67
801,2023-08-02 11:19:10,1,-73
800,2023-08-02 11:19:16,1,-66
799,2023-08-02 11:19:28,1,-73
798,2023-08-02 11:19:34,1,-67
797,2023-08-02 11:19:52,1,-73
796,2023-08-02 11:20:04,1,-66
795,2023-08-02 11:20:28,1,-73
794,2023-08-02 11:20:34,1,-67
793,2023-08-02 11:20:46,1,-73
792,2023-08-02 11:21:28,2,-70
791,2023-08-02 11:22:52,2,-60
790,2023-08-02 11:25:29,2,-66
789,2023-08-02 11:25:35,2,-60
788,2023-08-02 11:25:59,2,-66
787,2023-08-02 11:26:41,2,-60
786,2023-08-02 11:26:47,2,-67
785,2023-08-02 11:27:11,2,-60
784,2023-08-02 11:27:29,2,-66
783,2023-08-02 11:27:29,1,-80
782,2023-08-02 11:27:41,2,-60
781,2023-08-02 11:27:41,1,-71
780,2023-08-02 11:27:47,1,-79
779,2023-08-02 11:27:59,1,-70
778,2023-08-02 11:28:05,1,-80
777,2023-08-02 11:28:17,1,-70
776,2023-08-02 11:28:23,1,-77
775,2023-08-02 11:28:29,1,-69
774,2023-08-02 11:29:35,2,-66
773,2023-08-02 11:29:41,2,-60
772,2023-08-02 11:29:59,1,-81
771,2023-08-02 11:31:05,1,-70
770,2023-08-02 11:31:11,1,-77
769,2023-08-02 11:31:17,1,-70
768,2023-08-02 11:31:23,1,-78
767,2023-08-02 11:31:41,1,-68
766,2023-08-02 11:32:05,1,-80
765,2023-08-02 11:32:12,2,-66
764,2023-08-02 11:32:12,1,-69
763,2023-08-02 11:32:18,1,-76
762,2023-08-02 11:32:24,2,0
761,2023-08-02 11:32:30,2,-60
760,2023-08-02 11:32:36,1,-69
759,2023-08-02 11:32:42,1,-75
758,2023-08-02 11:32:48,2,-66
757,2023-08-02 11:32:48,1,-68
756,2023-08-02 11:32:54,1,-78
755,2023-08-02 11:33:00,2,-60
754,2023-08-02 11:33:00,1,-69
753,2023-08-02 11:33:06,1,-79
752,2023-08-02 11:33:18,1,0
751,2023-08-02 11:33:24,1,-80
750,2023-08-02 11:33:30,1,-69
749,2023-08-02 11:33:36,1,-82
748,2023-08-02 11:33:54,1,0
747,2023-08-02 11:34:24,1,-70
746,2023-08-02 11:34:48,2,-67
745,2023-08-02 11:36:42,2,-61
744,2023-08-02 11:37:30,1,-77
743,2023-08-02 11:37:54,1,-70
742,2023-08-02 11:39:00,2,-68
741,2023-08-02 11:39:06,1,-77
740,2023-08-02 11:39:12,2,-60
