ts,id,rssi
2023-08-02 09:00:01,2,-66
2023-08-02 09:00:01,1,-65
2023-08-02 09:00:07,2,-56
2023-08-02 09:00:13,1,-57
2023-08-02 09:00:19,1,-68
2023-08-02 09:00:25,2,-73
2023-08-02 09:00:31,2,-55
2023-08-02 09:00:37,2,-69
2023-08-02 09:00:49,1,-59
2023-08-02 09:00:55,2,-55
2023-08-02 09:01:13,2,-68
2023-08-02 09:01:25,2,-57
2023-08-02 09:01:25,1,-67
2023-08-02 09:01:43,1,-58
2023-08-02 09:01:49,2,-66
2023-08-02 09:01:50,1,-65
2023-08-02 09:02:01,2,-55
2023-08-02 09:02:07,2,-67
2023-08-02 09:02:07,1,-58
2023-08-02 09:02:13,2,-73
2023-08-02 09:02:19,2,-55
2023-08-02 09:02:25,2,-65
2023-08-02 09:02:31,1,-70
2023-08-02 09:02:49,1,-59
2023-08-02 09:02:55,1,-66
2023-08-02 09:03:01,2,-71
2023-08-02 09:03:13,2,-55
2023-08-02 09:03:19,2,-71
2023-08-02 09:03:25,2,-64
2023-08-02 09:03:31,2,-55
2023-08-02 09:03:43,1,-59
2023-08-02 09:03:49,2,-63
2023-08-02 09:03:50,1,-66
2023-08-02 09:03:55,2,-71
2023-08-02 09:04:07,2,-56
2023-08-02 09:04:13,2,-71
2023-08-02 09:04:25,2,-55
2023-08-02 09:04:31,2,-71
2023-08-02 09:04:32,1,-59
2023-08-02 09:04:38,2,-55
2023-08-02 09:04:43,2,-72
2023-08-02 09:05:01,2,-56
2023-08-02 09:05:01,1,-66
2023-08-02 09:05:08,2,-72
2023-08-02 09:05:32,1,-59
2023-08-02 09:05:50,2,-55
2023-08-02 09:05:56,1,-66
2023-08-02 09:06:02,2,-63
2023-08-02 09:06:08,1,-59
2023-08-02 09:06:14,2,-72
2023-08-02 09:06:20,2,-63
2023-08-02 09:06:50,2,-72
2023-08-02 09:07:08,2,-58
2023-08-02 09:07:14,2,-69
2023-08-02 09:07:38,1,-67
2023-08-02 09:07:44,2,-61
2023-08-02 09:07:56,2,-55
2023-08-02 09:08:02,2,-68
2023-08-02 09:08:14,2,-55
2023-08-02 09:08:26,2,-67
2023-08-02 09:09:02,1,-57
2023-08-02 09:09:08,1,-64
2023-08-02 09:09:14,1,-57
2023-08-02 09:09:26,1,-64
2023-08-02 09:09:32,2,-55
2023-08-02 09:09:32,1,-58
2023-08-02 09:09:38,2,-64
2023-08-02 09:09:50,1,-64
2023-08-02 09:09:56,1,-58
2023-08-02 09:10:02,2,-55
2023-08-02 09:10:02,1,-64
2023-08-02 09:10:08,2,-64
2023-08-02 09:10:20,2,-55
2023-08-02 09:10:26,2,-64
2023-08-02 09:10:26,1,-58
2023-08-02 09:10:32,1,-64
2023-08-02 09:10:38,2,-55
2023-08-02 09:10:44,2,-67
2023-08-02 09:10:50,2,-55
2023-08-02 09:10:56,1,-58
2023-08-02 09:11:02,2,-65
2023-08-02 09:11:02,1,-64
2023-08-02 09:11:14,2,-55
2023-08-02 09:11:20,2,-65
2023-08-02 09:11:20,1,-58
2023-08-02 09:11:26,2,-55
2023-08-02 09:11:26,1,-64
2023-08-02 09:11:38,1,-58
2023-08-02 09:11:44,1,-65
2023-08-02 09:11:56,2,-67
2023-08-02 09:12:08,2,-55
2023-08-02 09:12:08,1,-58
2023-08-02 09:12:20,2,-63
2023-08-02 09:12:20,1,-65
2023-08-02 09:12:26,2,-57
2023-08-02 09:12:50,2,-66
2023-08-02 09:12:56,2,-55
2023-08-02 09:13:02,1,-72
2023-08-02 09:13:08,1,-60
2023-08-02 09:13:14,1,-72
2023-08-02 09:13:20,1,-63
2023-08-02 09:13:26,2,-61
2023-08-02 09:13:32,2,-69
2023-08-02 09:13:38,2,-56
2023-08-02 09:13:44,2,-66
2023-08-02 09:13:50,2,-58
2023-08-02 09:14:02,2,-64
2023-08-02 09:14:14,2,-57
2023-08-02 09:15:02,2,-67
2023-08-02 09:15:08,2,-57
2023-08-02 09:15:20,2,-66
2023-08-02 09:15:26,2,-56
2023-08-02 09:15:50,2,-64
2023-08-02 09:15:56,2,-57
2023-08-02 09:16:08,2,-66
2023-08-02 09:16:26,2,-60
2023-08-02 09:16:44,2,-66
2023-08-02 09:17:09,2,-60
2023-08-02 09:17:21,2,-69
2023-08-02 09:17:39,2,-58
2023-08-02 09:17:39,1,-72
2023-08-02 09:17:45,2,-66
2023-08-02 09:17:45,1,-63
2023-08-02 09:17:51,2,-58
2023-08-02 09:17:57,2,-67
2023-08-02 09:18:03,1,-70
2023-08-02 09:18:27,2,-57
2023-08-02 09:18:27,1,-64
2023-08-02 09:18:33,2,-68
2023-08-02 09:18:45,1,-72
2023-08-02 09:18:51,1,-63
2023-08-02 09:18:57,1,-72
2023-08-02 09:19:09,2,-57
2023-08-02 09:19:09,1,-61
2023-08-02 09:19:27,1,-74
2023-08-02 09:19:33,1,-63
2023-08-02 09:19:57,2,-64
2023-08-02 09:20:03,2,-57
2023-08-02 09:20:27,2,-63
2023-08-02 09:20:33,2,-56
2023-08-02 09:20:51,2,-62
2023-08-02 09:22:09,2,-56
2023-08-02 09:22:15,2,-63
2023-08-02 09:22:27,2,-57
2023-08-02 09:22:33,2,-67
2023-08-02 09:22:45,2,-60
2023-08-02 09:22:51,2,-69
2023-08-02 09:22:57,2,-57
2023-08-02 09:22:57,1,-69
2023-08-02 09:23:03,2,-65
2023-08-02 09:23:09,1,-61
2023-08-02 09:23:15,2,-59
2023-08-02 09:23:27,2,-65
2023-08-02 09:23:51,2,-58
2023-08-02 09:23:51,1,-67
2023-08-02 09:23:57,2,-64
2023-08-02 09:24:21,1,-58
2023-08-02 09:24:27,2,-58
2023-08-02 09:24:33,2,-64
2023-08-02 09:24:33,1,-64
2023-08-02 09:25:09,2,-57
2023-08-02 09:25:15,2,-72
2023-08-02 09:25:15,1,-74
2023-08-02 09:25:21,2,-58
2023-08-02 09:25:27,1,-62
2023-08-02 09:25:33,2,-65
2023-08-02 09:25:39,2,-56
2023-08-02 09:25:45,2,-65
2023-08-02 09:25:57,2,-56
2023-08-02 09:26:09,2,-65
2023-08-02 09:26:15,2,-56
2023-08-02 09:26:21,2,-65
2023-08-02 09:26:33,2,-56
2023-08-02 09:27:21,2,-64
2023-08-02 09:27:33,2,-74
2023-08-02 09:27:39,2,-60
2023-08-02 09:27:52,1,-69
2023-08-02 09:28:10,2,-67
2023-08-02 09:28:22,2,-57
2023-08-02 09:28:22,1,-63
2023-08-02 09:28:27,2,-65
2023-08-02 09:28:52,2,-59
2023-08-02 09:29:04,2,-66
2023-08-02 09:29:10,2,-60
2023-08-02 09:29:52,2,-67
2023-08-02 09:29:58,2,-59
2023-08-02 09:30:04,2,-65
2023-08-02 09:30:22,2,-57
2023-08-02 09:30:40,2,-66
2023-08-02 09:30:58,2,-59
2023-08-02 09:31:22,2,-69
2023-08-02 09:31:28,2,-63
2023-08-02 09:31:34,2,-57
2023-08-02 09:31:40,2,-64
2023-08-02 09:32:22,2,-57
2023-08-02 09:32:40,2,-64
2023-08-02 09:32:52,2,-56
2023-08-02 09:33:10,2,-62
2023-08-02 09:33:22,2,-56
2023-08-02 09:33:28,2,-63
2023-08-02 09:33:40,2,-56
2023-08-02 09:33:46,2,-66
2023-08-02 09:34:58,2,-57
2023-08-02 09:35:05,2,-65
2023-08-02 09:35:17,2,-57
2023-08-02 09:35:23,2,-63
2023-08-02 09:35:53,2,-56
2023-08-02 09:35:59,2,-62
2023-08-02 09:37:29,2,-56
2023-08-02 09:37:35,2,-63
2023-08-02 09:37:47,2,-57
2023-08-02 09:37:53,2,-67
2023-08-02 09:37:59,2,-60
2023-08-02 09:38:05,2,-66
2023-08-02 09:38:35,2,-58
2023-08-02 09:38:47,2,-65
2023-08-02 09:38:53,2,-58
2023-08-02 09:39:05,2,-65
2023-08-02 09:39:17,2,-58
2023-08-02 09:39:23,2,-64
2023-08-02 09:39:47,2,-57
2023-08-02 09:39:53,2,-64
2023-08-02 09:39:59,2,-72
2023-08-02 09:40:05,1,-72
2023-08-02 09:40:11,2,-61
2023-08-02 09:40:17,2,-71
2023-08-02 09:40:17,1,-66
2023-08-02 09:40:23,2,-64
2023-08-02 09:40:23,1,-72
2023-08-02 09:40:29,1,-64
2023-08-02 09:40:41,1,-72
2023-08-02 09:40:47,1,-61
2023-08-02 09:40:53,1,-68
2023-08-02 09:41:05,1,-60
2023-08-02 09:41:23,2,-57
2023-08-02 09:41:30,2,-66
2023-08-02 09:41:36,1,-69
2023-08-02 09:41:54,2,-54
2023-08-02 09:42:06,2,-66
2023-08-02 09:42:12,2,-56
2023-08-02 09:42:12,1,-59
2023-08-02 09:42:18,2,-65
2023-08-02 09:42:24,2,-56
2023-08-02 09:42:30,2,-62
2023-08-02 09:42:48,2,-55
2023-08-02 09:42:48,1,-66
2023-08-02 09:42:54,2,-65
2023-08-02 09:43:06,2,-58
2023-08-02 09:43:24,2,-70
2023-08-02 09:43:30,2,-64
2023-08-02 09:43:54,2,-58
2023-08-02 09:44:00,2,-66
2023-08-02 09:44:24,1,-59
2023-08-02 09:44:48,2,-58
2023-08-02 09:45:31,2,-65
2023-08-02 09:45:31,1,-65
2023-08-02 09:45:37,2,-57
2023-08-02 09:45:43,2,-65
2023-08-02 09:45:43,1,-59
