,ts,id,rssi
3324,2023-10-10 09:00:02,2,-70
3323,2023-10-10 09:00:44,2,-63
3322,2023-10-10 09:00:56,1,-62
3321,2023-10-10 09:01:20,2,-72
3320,2023-10-10 09:01:26,2,-61
3319,2023-10-10 09:01:50,2,-100
3318,2023-10-10 09:01:57,1,-55
3317,2023-10-10 09:02:09,2,-77
3316,2023-10-10 09:02:09,1,-68
3315,2023-10-10 09:02:27,2,-100
3314,2023-10-10 09:02:39,2,-63
3313,2023-10-10 09:03:03,2,-100
3312,2023-10-10 09:03:09,2,-78
3311,2023-10-10 09:03:27,1,-61
3310,2023-10-10 09:03:39,2,-71
3309,2023-10-10 09:03:39,1,-74
3308,2023-10-10 09:03:51,2,-78
3307,2023-10-10 09:03:51,1,-64
3306,2023-10-10 09:03:57,1,-57
3305,2023-10-10 09:04:15,1,-66
3304,2023-10-10 09:04:15,2,-100
3303,2023-10-10 09:04:27,2,-76
3302,2023-10-10 09:04:33,2,-82
3301,2023-10-10 09:04:33,1,-58
3300,2023-10-10 09:04:39,2,-75
3299,2023-10-10 09:04:39,1,-66
3298,2023-10-10 09:05:09,1,-56
3297,2023-10-10 09:05:09,2,-100
3296,2023-10-10 09:05:15,2,-68
3295,2023-10-10 09:05:27,1,-70
3294,2023-10-10 09:05:27,2,-100
3293,2023-10-10 09:05:39,2,-81
3292,2023-10-10 09:05:39,1,-49
3291,2023-10-10 09:05:45,1,-63
3290,2023-10-10 09:05:51,2,-66
3289,2023-10-10 09:06:03,1,-100
3288,2023-10-10 09:06:09,1,-75
3287,2023-10-10 09:06:27,1,-68
3286,2023-10-10 09:06:33,1,-61
3285,2023-10-10 09:06:51,2,-72
3284,2023-10-10 09:06:57,2,-66
3283,2023-10-10 09:07:21,2,-77
3282,2023-10-10 09:07:39,2,-67
3281,2023-10-10 09:07:51,2,-100
3280,2023-10-10 09:07:57,2,-70
3279,2023-10-10 09:08:51,1,-71
3278,2023-10-10 09:09:21,2,-62
3277,2023-10-10 09:09:39,2,-70
3276,2023-10-10 09:09:39,1,-62
3275,2023-10-10 09:09:51,1,-73
3274,2023-10-10 09:10:03,1,-64
3273,2023-10-10 09:10:09,1,-71
3272,2023-10-10 09:10:15,1,-59
3271,2023-10-10 09:10:21,1,-73
3270,2023-10-10 09:10:33,1,-61
3269,2023-10-10 09:10:39,2,-76
3268,2023-10-10 09:10:52,1,-67
3267,2023-10-10 09:11:09,2,-68
3266,2023-10-10 09:11:28,1,-100
3265,2023-10-10 09:11:34,1,-67
3264,2023-10-10 09:12:04,1,-75
3263,2023-10-10 09:12:10,1,-66
3262,2023-10-10 09:12:22,2,-100
3261,2023-10-10 09:12:28,2,-69
3260,2023-10-10 09:12:28,1,-74
3259,2023-10-10 09:12:40,2,-63
3258,2023-10-10 09:12:46,1,-55
3257,2023-10-10 09:12:52,1,-62
3256,2023-10-10 09:13:10,2,-57
3255,2023-10-10 09:13:10,1,-71
3254,2023-10-10 09:13:22,2,-64
3253,2023-10-10 09:13:28,1,-60
3252,2023-10-10 09:13:34,2,-50
3251,2023-10-10 09:13:40,1,-53
3250,2023-10-10 09:13:46,2,-61
3249,2023-10-10 09:13:46,1,-59
3248,2023-10-10 09:13:52,2,-53
3247,2023-10-10 09:13:58,1,-67
3246,2023-10-10 09:14:04,1,-59
3245,2023-10-10 09:14:10,2,-65
3244,2023-10-10 09:14:16,2,-73
3243,2023-10-10 09:14:16,1,-75
3242,2023-10-10 09:14:22,2,-63
3241,2023-10-10 09:14:34,2,-74
3240,2023-10-10 09:14:52,2,-64
3239,2023-10-10 09:15:04,1,-63
3238,2023-10-10 09:15:10,2,-55
3237,2023-10-10 09:15:10,1,-71
3236,2023-10-10 09:15:16,2,-75
3235,2023-10-10 09:15:22,2,-67
3234,2023-10-10 09:15:40,1,-100
3233,2023-10-10 09:16:04,2,-74
3232,2023-10-10 09:16:16,2,-100
3231,2023-10-10 09:16:22,2,-55
3230,2023-10-10 09:16:40,2,-61
3229,2023-10-10 09:17:10,2,-78
3228,2023-10-10 09:17:22,1,-64
3227,2023-10-10 09:17:28,2,-100
3226,2023-10-10 09:17:34,2,-74
3225,2023-10-10 09:17:52,1,-76
3224,2023-10-10 09:18:04,2,-100
3223,2023-10-10 09:18:22,1,-100
3222,2023-10-10 09:19:10,1,-73
