ts,gabarit
2023-10-02 15:00:41,9
2023-10-02 15:00:43,9
2023-10-02 15:00:45,9
2023-10-02 15:00:47,9
2023-10-02 15:00:49,9
2023-10-02 15:00:51,9
2023-10-02 15:00:53,9
2023-10-02 15:00:55,9
2023-10-02 15:00:57,9
2023-10-02 15:00:59,9
2023-10-02 15:01:01,9
2023-10-02 15:01:03,9
2023-10-02 15:01:07,9
2023-10-02 15:02:04,22
2023-10-02 15:06:20,21
2023-10-02 15:06:24,21
2023-10-02 15:06:33,21
2023-10-02 15:07:44,24
2023-10-02 15:07:46,24
2023-10-02 15:07:48,24
2023-10-02 15:07:50,24
2023-10-02 15:07:52,24
2023-10-02 15:07:54,24
2023-10-02 15:07:56,24
2023-10-02 15:08:24,24
2023-10-02 15:08:30,24
2023-10-02 15:08:32,24
2023-10-02 15:08:34,24
2023-10-02 15:08:36,24
2023-10-02 15:08:38,24
2023-10-02 15:08:40,24
2023-10-02 15:08:42,24
2023-10-02 15:08:44,24
2023-10-02 15:09:58,7
2023-10-02 15:12:14,17
2023-10-02 15:15:24,15
2023-10-02 15:17:04,19
2023-10-02 15:19:45,8
2023-10-02 15:20:32,8
2023-10-02 15:23:25,24
2023-10-02 15:26:52,17
2023-10-02 15:27:16,17
2023-10-02 15:27:27,17
2023-10-02 15:27:52,15
2023-10-02 15:28:20,15
2023-10-02 15:28:32,15
2023-10-02 15:29:30,19
2023-10-02 15:30:00,19
2023-10-02 15:30:02,19
2023-10-02 15:30:04,19
2023-10-02 15:30:06,19
2023-10-02 15:30:08,19
2023-10-02 15:30:10,19
2023-10-02 15:31:50,9
2023-10-02 15:34:42,8
2023-10-02 15:34:44,8
2023-10-02 15:35:15,8
2023-10-02 15:35:17,8
2023-10-02 15:37:23,24
2023-10-02 15:38:09,24
2023-10-02 15:38:13,24
2023-10-02 15:38:16,24
2023-10-02 15:38:18,24
2023-10-02 15:38:24,24
2023-10-02 15:38:27,24
2023-10-02 15:38:34,24
2023-10-02 15:41:54,17
2023-10-02 15:44:22,15
2023-10-02 15:51:30,9
2023-10-02 15:52:01,9
2023-10-02 15:58:46,24
2023-10-02 15:59:16,24
2023-10-02 16:00:48,10
2023-10-02 16:03:49,17
2023-10-02 16:04:35,15
2023-10-02 16:04:37,15
2023-10-02 16:04:39,15
2023-10-02 16:09:48,19
2023-10-02 16:10:17,19
2023-10-02 16:12:20,1
2023-10-02 16:12:55,1
2023-10-02 16:14:50,10
2023-10-02 16:15:32,10
2023-10-02 16:17:36,15
2023-10-02 16:22:41,9
2023-10-02 16:23:42,19
2023-10-02 16:28:43,8
2023-10-02 16:28:45,8
2023-10-02 16:28:55,8
2023-10-02 16:29:01,1
2023-10-02 16:29:45,1
2023-10-02 16:29:47,1
2023-10-02 16:47:54,10
2023-10-02 16:53:05,24
2023-10-02 16:53:29,24
2023-10-02 16:53:40,24
2023-10-02 16:53:51,3
2023-10-02 16:56:41,9
2023-10-02 16:58:01,19
2023-10-02 16:58:34,19
2023-10-02 16:58:36,19
2023-10-02 16:58:38,19
2023-10-02 16:58:40,19
2023-10-02 16:58:42,19
2023-10-02 16:58:44,19
2023-10-02 16:58:46,19
2023-10-02 17:03:57,5
2023-10-02 17:05:29,10
2023-10-02 17:05:53,10
2023-10-02 17:06:03,10
2023-10-02 17:09:31,24
2023-10-02 17:09:56,24
2023-10-02 17:10:10,24
2023-10-02 17:10:14,3
2023-10-02 17:11:14,3
2023-10-02 17:12:11,9
2023-10-02 17:12:43,9
2023-10-02 17:12:46,9
2023-10-02 17:12:48,9
2023-10-02 17:12:50,9
2023-10-02 17:12:52,9
2023-10-02 17:17:24,1
2023-10-02 17:17:54,1
2023-10-02 17:17:56,1
2023-10-02 17:17:58,1
2023-10-02 17:18:00,1
2023-10-02 17:19:19,5
2023-10-02 17:19:47,5
2023-10-02 17:20:14,5
2023-10-02 17:20:28,5
2023-10-02 17:23:42,10
2023-10-02 17:23:44,10
2023-10-02 17:23:46,10
2023-10-02 17:23:48,10
2023-10-02 17:23:50,10
2023-10-02 17:23:52,10
2023-10-02 17:30:03,9
2023-10-02 17:34:44,17
2023-10-02 17:42:20,12
2023-10-02 17:42:51,12
2023-10-02 17:43:09,12
2023-10-02 17:52:53,19
2023-10-02 17:56:42,1
2023-10-02 17:56:44,1
2023-10-02 17:57:14,1
2023-10-02 17:57:16,1
2023-10-02 17:57:30,1
2023-10-02 17:57:38,8
