ts,id,rssi
2023-07-31 09:00:17,1,-67
2023-07-31 09:00:23,2,-66
2023-07-31 09:00:29,2,-60
2023-07-31 09:00:35,1,-74
2023-07-31 09:00:53,1,-68
2023-07-31 09:00:53,2,-67
2023-07-31 09:01:05,1,-62
2023-07-31 09:01:11,1,-77
2023-07-31 09:01:23,1,-62
2023-07-31 09:01:29,1,-73
2023-07-31 09:01:35,1,-67
2023-07-31 09:01:59,2,-60
2023-07-31 09:02:05,2,-67
2023-07-31 09:02:23,2,-55
2023-07-31 09:02:29,2,-71
2023-07-31 09:02:35,2,-51
2023-07-31 09:02:41,2,-65
2023-07-31 09:02:53,1,-74
2023-07-31 09:02:53,2,-57
2023-07-31 09:02:59,2,-67
2023-07-31 09:03:11,2,-59
2023-07-31 09:03:17,2,-66
2023-07-31 09:03:23,2,-53
2023-07-31 09:03:29,2,-71
2023-07-31 09:03:41,2,-57
2023-07-31 09:03:59,1,-68
2023-07-31 09:03:59,2,-69
2023-07-31 09:04:05,2,-55
2023-07-31 09:04:11,2,-71
2023-07-31 09:04:17,1,-62
2023-07-31 09:04:17,2,-57
2023-07-31 09:04:23,2,-70
2023-07-31 09:04:29,1,-71
2023-07-31 09:04:29,2,-60
2023-07-31 09:04:35,2,-67
2023-07-31 09:04:53,2,-54
2023-07-31 09:04:59,1,-59
2023-07-31 09:05:00,2,-67
2023-07-31 09:05:06,1,-75
2023-07-31 09:05:06,2,-60
2023-07-31 09:05:11,1,-62
2023-07-31 09:05:17,1,-70
2023-07-31 09:05:17,2,-68
2023-07-31 09:05:24,2,-60
2023-07-31 09:05:36,2,-72
2023-07-31 09:05:42,2,-61
2023-07-31 09:05:48,1,-59
2023-07-31 09:06:06,1,-68
2023-07-31 09:06:06,2,-67
2023-07-31 09:06:12,1,-75
2023-07-31 09:06:18,1,-64
2023-07-31 09:06:18,2,-73
2023-07-31 09:06:24,1,-73
2023-07-31 09:06:24,2,-60
2023-07-31 09:06:36,2,-68
2023-07-31 09:06:42,2,-61
2023-07-31 09:06:48,1,-63
2023-07-31 09:06:48,2,-68
2023-07-31 09:06:54,1,-69
2023-07-31 09:07:06,2,-61
2023-07-31 09:07:18,2,-68
2023-07-31 09:07:30,2,-55
2023-07-31 09:07:36,2,-75
2023-07-31 09:07:42,1,-59
2023-07-31 09:07:42,2,-64
2023-07-31 09:07:48,1,-75
2023-07-31 09:07:48,2,-53
2023-07-31 09:07:54,1,-61
2023-07-31 09:07:54,2,-63
2023-07-31 09:08:06,1,-67
2023-07-31 09:08:24,1,-75
2023-07-31 09:08:36,1,-68
2023-07-31 09:08:48,1,-61
2023-07-31 09:08:54,1,-75
2023-07-31 09:09:00,1,-66
2023-07-31 09:09:12,1,-60
2023-07-31 09:09:18,2,-61
2023-07-31 09:09:24,2,-50
2023-07-31 09:09:30,1,-73
2023-07-31 09:09:30,2,-56
2023-07-31 09:09:36,2,-44
2023-07-31 09:09:42,2,-53
2023-07-31 09:09:48,1,-62
2023-07-31 09:09:48,2,-59
2023-07-31 09:09:54,2,-65
2023-07-31 09:10:00,1,-69
2023-07-31 09:10:00,2,-53
2023-07-31 09:10:12,2,-67
2023-07-31 09:10:18,1,-64
2023-07-31 09:10:30,1,-77
2023-07-31 09:10:36,1,-69
2023-07-31 09:10:54,2,-74
2023-07-31 09:11:00,2,-64
2023-07-31 09:11:24,1,-75
2023-07-31 09:11:24,2,-56
2023-07-31 09:11:30,2,-66
2023-07-31 09:11:36,1,-65
2023-07-31 09:11:42,2,-73
2023-07-31 09:11:48,2,-58
2023-07-31 09:12:18,1,-73
2023-07-31 09:12:24,1,-62
2023-07-31 09:12:36,1,-70
2023-07-31 09:12:36,2,-66
2023-07-31 09:12:42,2,-60
2023-07-31 09:12:54,2,-72
2023-07-31 09:13:06,2,-63
2023-07-31 09:13:12,1,-60
2023-07-31 09:13:18,1,-68
2023-07-31 09:13:36,2,-71
2023-07-31 09:13:42,2,-61
2023-07-31 09:13:48,2,-71
2023-07-31 09:13:54,2,-56
2023-07-31 09:14:00,2,-66
2023-07-31 09:14:06,2,-59
2023-07-31 09:14:12,1,-75
2023-07-31 09:14:12,2,-65
