ts,id,rssi
2023-08-25 09:00:25,1,-74
2023-08-25 09:00:31,1,-66
2023-08-25 09:02:13,2,-65
2023-08-25 09:02:55,2,-59
2023-08-25 09:03:37,1,-73
2023-08-25 09:03:43,1,-66
2023-08-25 09:04:25,1,-72
2023-08-25 09:04:49,1,-65
2023-08-25 09:06:25,2,-65
2023-08-25 09:07:01,2,-58
2023-08-25 09:07:07,1,-71
2023-08-25 09:07:13,2,-65
2023-08-25 09:07:49,1,-64
2023-08-25 09:08:25,1,-71
2023-08-25 09:09:26,2,-59
2023-08-25 09:11:08,2,-65
2023-08-25 09:11:20,2,-59
2023-08-25 09:11:56,1,-65
2023-08-25 09:12:02,2,-65
2023-08-25 09:12:08,1,-71
2023-08-25 09:12:14,1,-65
2023-08-25 09:12:32,1,-71
2023-08-25 09:13:38,2,-58
2023-08-25 09:13:50,1,-64
2023-08-25 09:13:56,2,-65
2023-08-25 09:14:02,1,-71
2023-08-25 09:14:26,2,-57
2023-08-25 09:14:38,1,-64
2023-08-25 09:14:50,1,-73
2023-08-25 09:15:14,2,-65
2023-08-25 09:15:20,1,-64
2023-08-25 09:15:26,1,-73
2023-08-25 09:15:32,2,-59
2023-08-25 09:15:44,2,-65
2023-08-25 09:16:08,1,-65
2023-08-25 09:16:14,1,-72
2023-08-25 09:16:26,1,-66
2023-08-25 09:16:32,1,-73
2023-08-25 09:17:08,1,-64
2023-08-25 09:17:14,1,-73
2023-08-25 09:17:20,1,-62
2023-08-25 09:17:44,1,-72
2023-08-25 09:17:50,1,-65
2023-08-25 09:18:26,1,-73
2023-08-25 09:18:44,2,-59
2023-08-25 09:19:14,1,-63
2023-08-25 09:19:20,1,-72
2023-08-25 09:19:26,2,-65
2023-08-25 09:19:44,2,-59
2023-08-25 09:19:50,1,-66
2023-08-25 09:20:08,2,-65
2023-08-25 09:22:45,1,-74
2023-08-25 09:22:45,1,-100
2023-08-25 09:22:51,2,-61
2023-08-25 09:22:51,1,-68
2023-08-25 09:24:09,1,-74
2023-08-25 09:24:40,1,-68
2023-08-25 09:31:46,1,-74
2023-08-25 09:31:52,1,-65
2023-08-25 09:32:34,1,-71
2023-08-25 09:32:46,1,-65
2023-08-25 09:32:52,1,-71
2023-08-25 09:33:04,1,-64
2023-08-25 09:33:28,1,-70
2023-08-25 09:35:46,1,-64
2023-08-25 09:36:22,1,-72
2023-08-25 09:36:40,1,-65
2023-08-25 09:36:46,1,-72
2023-08-25 09:37:52,1,-66
2023-08-25 09:38:16,1,-73
2023-08-25 09:38:28,1,-67
2023-08-25 09:41:11,1,-73
2023-08-25 09:42:23,1,-65
2023-08-25 09:42:59,2,-67
2023-08-25 09:43:35,1,-73
2023-08-25 09:43:47,2,-61
2023-08-25 09:43:47,1,-67
2023-08-25 09:46:41,2,-67
2023-08-25 09:46:47,2,-61
2023-08-25 09:49:41,2,-68
2023-08-25 09:49:53,2,-62
2023-08-25 09:52:11,2,-100
2023-08-25 09:52:17,2,-63
2023-08-25 09:54:54,1,-73
2023-08-25 09:55:17,1,-66
2023-08-25 09:55:24,1,-72
2023-08-25 09:55:30,1,-65
2023-08-25 09:55:48,1,-72
2023-08-25 09:55:54,1,-66
2023-08-25 09:56:12,1,-73
2023-08-25 09:56:24,1,-67
2023-08-25 10:00:00,2,-70
2023-08-25 10:00:00,1,-73
2023-08-25 10:00:06,2,-62
2023-08-25 10:00:12,1,-67
2023-08-25 10:04:18,2,-69
2023-08-25 10:04:30,2,-62
2023-08-25 10:05:54,2,-68
2023-08-25 10:06:06,2,-61
2023-08-25 10:06:12,2,-69
2023-08-25 10:06:18,2,-60
2023-08-25 10:06:48,2,-66
2023-08-25 10:07:18,2,-59
2023-08-25 10:07:42,2,-65
2023-08-25 10:29:19,2,-65
2023-08-25 10:39:44,1,-66
2023-08-25 10:41:44,1,-72
2023-08-25 10:41:56,1,-65
2023-08-25 10:42:14,1,-71
2023-08-25 10:42:32,1,-64
2023-08-25 10:43:20,1,-71
2023-08-25 10:43:26,1,-64
2023-08-25 10:43:44,1,-71
2023-08-25 10:44:02,1,-65
2023-08-25 10:44:14,1,-71
2023-08-25 10:44:20,1,-65
2023-08-25 10:45:32,1,-71
2023-08-25 10:45:44,1,-65
2023-08-25 10:46:50,1,-71
2023-08-25 10:47:26,2,-59
2023-08-25 10:47:38,2,-65
2023-08-25 10:47:44,1,-65
2023-08-25 10:48:20,1,-72
2023-08-25 10:48:26,1,-66
