Stamp,Model,Status
2023-09-27 09:00:15,SPT120018W,OK
2023-09-27 09:02:31,SPT120018W,OK
2023-09-27 09:04:14,SPT120018W,OK
2023-09-27 09:05:28,SPT120018W,OK
2023-09-27 09:06:57,SPT120018W,OK
2023-09-27 09:07:58,SPT120018W,OK
2023-09-27 09:09:49,SPT120018W,OK
2023-09-27 09:10:51,SPT120018W,OK
2023-09-27 09:12:23,SPT120018W,OK
2023-09-27 09:14:40,SPT120018W,OK
2023-09-27 09:15:29,SPT120018W,OK
2023-09-27 09:16:28,SPT120018W,OK
2023-09-27 09:17:42,SPT120018W,OK
2023-09-27 09:19:32,SPT120018W,OK
2023-09-27 09:20:17,SPT120018W,OK
2023-09-27 09:21:49,SPT120018W,OK
2023-09-27 09:23:24,SPT120018W,OK
2023-09-27 09:24:31,SPT120018W,OK
2023-09-27 09:26:04,SPT120018W,OK
2023-09-27 09:27:28,SPT120018W,OK
2023-09-27 09:28:49,SPT120018W,OK
2023-09-27 09:30:36,SPT120018W,OK
2023-09-27 09:31:23,SPT120018W,OK
2023-09-27 09:34:01,SPT120018W,OK
2023-09-27 09:35:21,SPT120018W,OK
2023-09-27 09:36:07,SPT120018W,OK
2023-09-27 09:36:57,SPT120018W,OK
2023-09-27 09:37:43,SPT120018W,OK
2023-09-27 09:38:39,SPT120018W,OK
2023-09-27 09:40:19,SPT120018W,OK
2023-09-27 09:41:25,SPT120018W,OK
2023-09-27 09:42:49,SPT120018W,OK
2023-09-27 09:44:05,SPT120018W,OK
2023-09-27 09:46:00,SPT120018W,OK
2023-09-27 09:46:47,SPT120018W,OK
2023-09-27 09:49:00,SPT120018W,OK
2023-09-27 09:49:53,SPT120018W,OK
2023-09-27 09:50:53,SPT120018W,OK
2023-09-27 09:51:51,SPT120018W,OK
2023-09-27 09:54:03,SPT120018W,OK
2023-09-27 09:54:43,SPT120018W,OK
2023-09-27 09:56:22,SPT120018W,OK
2023-09-27 09:57:10,SPT120018W,OK
2023-09-27 09:58:35,SPT120018W,OK
2023-09-27 10:00:02,SPT120018W,OK
2023-09-27 10:01:32,SPT120018W,OK
2023-09-27 10:02:25,SPT120018W,OK
2023-09-27 10:03:19,SPT120018W,OK
2023-09-27 10:04:24,SPT120018W,OK
2023-09-27 10:05:52,SPT120018W,OK
2023-09-27 10:06:57,SPT120018W,OK
2023-09-27 10:07:59,SPT120018W,OK
2023-09-27 10:09:12,SPT120018W,OK
2023-09-27 10:10:06,SPT120018W,OK
2023-09-27 10:11:00,SPT120018W,OK
2023-09-27 10:11:58,SPT120018W,OK
2023-09-27 10:13:02,SPT120018W,OK
2023-09-27 10:14:00,SPT120018W,OK
2023-09-27 10:15:33,SPT120018W,OK
2023-09-27 10:16:54,SPT120018W,OK
2023-09-27 10:19:10,SPT120018W,OK
2023-09-27 10:19:59,SPT120018W,OK
2023-09-27 10:25:51,SPT120018W,OK
2023-09-27 10:27:02,SPT120018W,OK
2023-09-27 10:27:51,SPT120018W,OK
2023-09-27 10:28:40,SPT120018W,OK
2023-09-27 10:29:30,SPT120018W,OK
2023-09-27 10:31:08,SPT120018W,OK
2023-09-27 10:48:25,SPT120018W,OK
2023-09-27 10:49:41,SPT120018W,OK
2023-09-27 10:50:33,SPT120018W,OK
2023-09-27 10:51:34,SPT120018W,OK
2023-09-27 10:52:54,SPT120018W,OK
2023-09-27 10:53:47,SPT120018W,OK
2023-09-27 10:54:47,SPT120018W,OK
2023-09-27 10:55:38,SPT120018W,OK
2023-09-27 10:56:42,SPT120018W,OK
2023-09-27 10:58:23,SPT120018W,OK
2023-09-27 10:59:43,SPT120018W,OK
2023-09-27 11:00:31,SPT120018W,OK
2023-09-27 11:02:04,SPT120018W,OK
2023-09-27 11:02:55,SPT120018W,OK
2023-09-27 11:04:01,SPT120018W,OK
2023-09-27 11:05:34,SPT120018W,OK
2023-09-27 11:06:36,SPT120018W,OK
2023-09-27 11:07:48,SPT120018W,OK
2023-09-27 11:09:10,SPT120018W,OK
2023-09-27 11:10:39,SPT120018W,OK
2023-09-27 11:12:40,SPT120018W,OK
2023-09-27 11:13:28,SPT120018W,OK
2023-09-27 11:14:20,SPT120018W,OK
2023-09-27 11:15:17,SPT120018W,OK
2023-09-27 11:16:59,SPT120018W,OK
2023-09-27 11:17:50,SPT120018W,OK
2023-09-27 11:18:44,SPT120018W,OK
2023-09-27 11:20:57,SPT120018W,OK
2023-09-27 11:22:33,SPT120018W,OK
2023-09-27 11:23:10,SPT120018W,OK
2023-09-27 11:23:58,SPT120018W,OK
2023-09-27 11:24:48,SPT120018W,OK
2023-09-27 11:25:41,SPT120018W,OK
2023-09-27 11:26:31,SPT120018W,OK
2023-09-27 11:27:40,SPT120018W,KO
2023-09-27 11:28:17,SPT120018W,OK
2023-09-27 11:29:01,SPT120018W,OK
2023-09-27 11:30:03,SPT120018W,OK
2023-09-27 11:31:14,SPT120018W,OK
2023-09-27 11:32:15,SPT120018W,OK
2023-09-27 11:33:20,SPT120018W,OK
2023-09-27 11:34:34,SPT120018W,OK
2023-09-27 11:35:42,SPT120018W,OK
2023-09-27 11:36:40,SPT120018W,OK
2023-09-27 11:38:13,SPT120018W,KO
2023-09-27 11:38:50,SPT120018W,KO
2023-09-27 11:40:15,SPT120018W,KO
2023-09-27 11:40:50,SPT120018W,OK
2023-09-27 11:41:39,SPT120018W,OK
2023-09-27 11:42:29,SPT120018W,OK
2023-09-27 11:43:59,SPT120018W,OK
2023-09-27 11:44:45,SPT120018W,OK
2023-09-27 11:45:34,SPT120018W,OK
2023-09-27 11:46:19,SPT120018W,OK
2023-09-27 11:48:56,SPT120018W,OK
2023-09-27 11:49:58,SPT120018W,OK
2023-09-27 11:51:08,SPT120018W,OK
2023-09-27 11:51:59,SPT120018W,OK
2023-09-27 11:53:02,SPT120018W,OK
2023-09-27 11:53:50,SPT120018W,OK
2023-09-27 11:55:23,SPT120018W,OK
2023-09-27 11:57:05,SPT120018W,OK
2023-09-27 11:57:56,SPT120018W,OK
2023-09-27 11:59:05,SPT120018W,OK
2023-09-27 12:00:15,SPT120018W,OK
2023-09-27 12:01:27,SPT120018W,OK
2023-09-27 12:02:56,SPT120018W,OK
2023-09-27 12:04:10,SPT120018W,OK
2023-09-27 12:05:03,SPT120018W,OK
2023-09-27 12:06:19,SPT120018W,OK
2023-09-27 12:07:16,SPT120018W,OK
2023-09-27 12:09:26,SPT120018W,OK
2023-09-27 12:11:00,SPT120018W,OK
2023-09-27 12:13:04,SPT120018W,OK
2023-09-27 12:13:56,SPT120018W,OK
2023-09-27 12:14:47,SPT120018W,OK
2023-09-27 12:15:45,SPT120018W,OK
2023-09-27 12:17:25,SPT120018W,OK
2023-09-27 12:18:20,SPT120018W,OK
2023-09-27 12:20:29,SPT120018W,OK
2023-09-27 12:21:16,SPT120018W,OK
2023-09-27 12:22:25,SPT120018W,OK
2023-09-27 12:23:37,SPT120018W,OK
2023-09-27 12:24:45,SPT120018W,OK
2023-09-27 12:26:06,SPT120018W,OK
2023-09-27 12:28:14,SPT120018W,KO
2023-09-27 12:28:51,SPT120018W,OK
2023-09-27 12:29:49,SPT120018W,OK
2023-09-27 12:31:11,SPT120018W,OK
2023-09-27 12:32:52,SPT120018W,OK
2023-09-27 12:34:47,SPT120018W,OK
2023-09-27 12:36:10,SPT120018W,OK
2023-09-27 12:37:14,SPT120018W,OK
2023-09-27 12:38:42,SPT120018W,OK
2023-09-27 12:39:35,SPT120018W,OK
2023-09-27 12:40:59,SPT120018W,OK
2023-09-27 12:42:29,SPT120018W,KO
2023-09-27 12:43:07,SPT120018W,OK
2023-09-27 12:43:52,SPT120018W,OK
2023-09-27 12:45:33,SPT120018W,OK
2023-09-27 12:46:50,SPT120018W,OK
2023-09-27 12:49:20,SPT120018W,OK
2023-09-27 12:51:03,SPT120018W,OK
2023-09-27 12:51:56,SPT120018W,OK
2023-09-27 12:52:57,SPT120018W,OK
2023-09-27 12:53:55,SPT120018W,OK
2023-09-27 12:56:04,SPT120018W,OK
2023-09-27 12:56:54,SPT120018W,OK
2023-09-27 12:58:03,SPT120018W,OK
2023-09-27 14:00:37,SPT120018W,OK
2023-09-27 14:03:34,SPT120018W,OK
2023-09-27 14:04:24,SPT120018W,KO
2023-09-27 14:05:02,SPT120018W,OK
2023-09-27 14:05:58,SPT120018W,OK
2023-09-27 14:06:48,SPT120018W,OK
2023-09-27 14:08:40,SPT120018W,OK
2023-09-27 14:10:35,SPT120018W,OK
2023-09-27 14:12:08,SPT120018W,OK
2023-09-27 14:12:56,SPT120018W,OK
2023-09-27 14:14:20,SPT120018W,OK
2023-09-27 14:15:49,SPT120018W,OK
2023-09-27 14:17:40,SPT120018W,OK
2023-09-27 14:20:25,SPT120018W,OK
2023-09-27 14:21:22,SPT120018W,OK
2023-09-27 14:22:20,SPT120018W,OK
2023-09-27 14:23:21,SPT120018W,OK
2023-09-27 14:24:36,SPT120018W,OK
2023-09-27 14:25:53,SPT120018W,OK
2023-09-27 14:27:50,SPT120018W,OK
2023-09-27 14:28:57,SPT120018W,OK
2023-09-27 14:30:31,SPT120018W,KO
2023-09-27 14:31:26,SPT120018W,OK
2023-09-27 14:32:22,SPT120018W,OK
2023-09-27 14:34:08,SPT120018W,OK
2023-09-27 14:35:42,SPT120018W,OK
2023-09-27 14:37:09,SPT120018W,OK
2023-09-27 14:39:12,SPT120018W,OK
2023-09-27 14:43:30,SPT120018W,OK
2023-09-27 14:44:17,SPT120018W,OK
2023-09-27 14:45:10,SPT120018W,OK
2023-09-27 14:45:56,SPT120018W,OK
2023-09-27 14:47:13,SPT120018W,OK
2023-09-27 14:48:26,SPT120018W,OK
2023-09-27 14:50:03,SPT120018W,OK
2023-09-27 14:53:09,SPT120018W,OK
2023-09-27 14:54:39,SPT120018W,OK
2023-09-27 14:55:34,SPT120018W,OK
2023-09-27 14:56:23,SPT120018W,OK
2023-09-27 14:57:31,SPT120018W,OK
2023-09-27 14:59:06,SPT120018W,OK
2023-09-27 15:00:03,SPT120018W,OK
2023-09-27 15:01:37,SPT120018W,OK
2023-09-27 15:02:53,SPT120018W,OK
2023-09-27 15:05:37,SPT120018W,OK
2023-09-27 15:06:36,SPT120018W,OK
2023-09-27 15:08:49,SPT120018W,OK
2023-09-27 15:09:43,SPT120018W,OK
2023-09-27 15:10:27,SPT120018W,KO
2023-09-27 15:11:03,SPT120018W,OK
2023-09-27 15:11:48,SPT120018W,OK
2023-09-27 15:13:07,SPT120018W,OK
2023-09-27 15:13:58,SPT120018W,OK
2023-09-27 15:14:51,SPT120018W,OK
2023-09-27 15:16:02,SPT120018W,OK
2023-09-27 15:17:34,SPT120018W,OK
2023-09-27 15:19:17,SPT120018W,OK
