,ts,id,rssi
1711,2023-08-27 09:00:00,1,-60
1710,2023-08-27 09:01:18,1,-54
1709,2023-08-27 09:01:30,1,-65
1708,2023-08-27 09:01:42,1,-55
1707,2023-08-27 09:01:54,1,-61
1706,2023-08-27 09:02:48,1,-54
1705,2023-08-27 09:03:06,1,-60
1704,2023-08-27 09:03:18,1,-54
1703,2023-08-27 09:03:24,1,-61
1702,2023-08-27 09:04:00,1,-54
1701,2023-08-27 09:04:06,1,-65
1700,2023-08-27 09:04:18,1,-54
1699,2023-08-27 09:04:30,1,-65
1698,2023-08-27 09:06:19,1,-54
1697,2023-08-27 09:06:25,1,-61
1696,2023-08-27 09:06:31,1,-54
1695,2023-08-27 09:06:37,1,-61
1694,2023-08-27 09:06:43,1,-54
1693,2023-08-27 09:07:13,1,-64
1692,2023-08-27 09:07:19,1,-54
1691,2023-08-27 09:07:49,1,-60
1690,2023-08-27 09:07:55,1,-54
1689,2023-08-27 09:08:07,1,-61
1688,2023-08-27 09:08:43,1,-54
1687,2023-08-27 09:09:01,1,-62
1686,2023-08-27 09:09:07,1,-54
1685,2023-08-27 09:09:31,1,-62
1684,2023-08-27 09:09:37,1,-54
1683,2023-08-27 09:10:43,1,-61
1682,2023-08-27 09:10:49,1,-54
1681,2023-08-27 09:10:55,1,-65
1680,2023-08-27 09:12:25,1,-54
1679,2023-08-27 09:12:31,1,-60
1678,2023-08-27 09:14:01,2,-100
1677,2023-08-27 09:14:07,1,-54
1676,2023-08-27 09:14:07,2,-73
1675,2023-08-27 09:14:13,1,-64
1674,2023-08-27 09:14:37,1,-55
1673,2023-08-27 09:14:43,1,-65
1672,2023-08-27 09:14:49,1,-54
1671,2023-08-27 09:14:55,1,-64
1670,2023-08-27 09:15:31,1,-100
1669,2023-08-27 09:15:38,1,-64
1668,2023-08-27 09:16:02,1,-54
1667,2023-08-27 09:16:50,1,-60
1666,2023-08-27 09:16:56,1,-54
1665,2023-08-27 09:17:02,1,-64
1664,2023-08-27 09:17:20,1,-54
1663,2023-08-27 09:17:26,1,-64
1662,2023-08-27 09:17:50,1,-54
1661,2023-08-27 09:17:56,1,-64
1660,2023-08-27 09:17:56,2,-100
1659,2023-08-27 09:18:02,2,-73
1658,2023-08-27 09:18:08,1,-54
1657,2023-08-27 09:18:20,1,-64
1656,2023-08-27 09:20:56,1,-54
1655,2023-08-27 09:21:02,1,-61
1654,2023-08-27 09:21:26,1,-54
1653,2023-08-27 09:21:44,1,-64
1652,2023-08-27 09:21:50,1,-54
1651,2023-08-27 09:22:02,1,-64
1650,2023-08-27 09:22:38,1,-54
1649,2023-08-27 09:22:50,1,-64
1648,2023-08-27 09:23:02,1,-54
1647,2023-08-27 09:23:14,1,-64
1646,2023-08-27 09:23:38,1,-55
1645,2023-08-27 09:23:44,1,-64
1644,2023-08-27 09:24:08,2,-79
1643,2023-08-27 09:24:20,2,-73
1642,2023-08-27 09:24:32,1,-54
1641,2023-08-27 09:24:32,2,-100
1640,2023-08-27 09:24:44,1,-61
1639,2023-08-27 09:24:56,1,-54
1638,2023-08-27 09:24:56,2,-73
1637,2023-08-27 09:26:02,1,-61
1636,2023-08-27 09:26:08,1,-54
1635,2023-08-27 09:26:50,1,-60
1634,2023-08-27 09:26:56,1,-54
1633,2023-08-27 09:27:02,1,-61
1632,2023-08-27 09:27:08,1,-54
1631,2023-08-27 09:27:38,1,-64
1630,2023-08-27 09:29:56,2,-100
1629,2023-08-27 09:30:03,2,-74
1628,2023-08-27 09:30:09,1,-54
1627,2023-08-27 09:30:57,1,-61
1626,2023-08-27 09:31:03,1,-55
1625,2023-08-27 09:31:33,1,-61
1624,2023-08-27 09:31:39,1,-54
1623,2023-08-27 09:31:45,1,-64
1622,2023-08-27 09:32:21,1,-54
1621,2023-08-27 09:32:57,1,-64
1620,2023-08-27 09:33:15,1,-54
1619,2023-08-27 09:33:27,1,-61
1618,2023-08-27 09:34:09,1,-54
1617,2023-08-27 09:34:15,1,-61
1616,2023-08-27 09:35:03,2,-100
1615,2023-08-27 09:35:09,2,-74
1614,2023-08-27 09:35:27,1,-54
1613,2023-08-27 09:35:33,1,-64
1612,2023-08-27 09:35:51,1,-54
1611,2023-08-27 09:35:57,1,-64
1610,2023-08-27 09:37:27,1,-54
1609,2023-08-27 09:37:39,1,-61
1608,2023-08-27 09:37:45,1,-54
1607,2023-08-27 09:38:03,1,-64
1606,2023-08-27 09:38:09,1,-54
1605,2023-08-27 09:38:15,1,-64
1604,2023-08-27 09:38:21,1,-54
1603,2023-08-27 09:38:27,1,-64
1602,2023-08-27 09:38:57,1,-54
1601,2023-08-27 09:39:03,1,-64
1600,2023-08-27 09:39:33,1,-54
1599,2023-08-27 09:39:40,1,-64
1598,2023-08-27 09:39:52,1,-54
1597,2023-08-27 09:41:16,1,-64
1596,2023-08-27 09:41:22,1,-55
1595,2023-08-27 09:41:40,1,-61
1594,2023-08-27 09:42:04,1,-54
1593,2023-08-27 09:42:10,1,-64
1592,2023-08-27 09:42:16,1,-54
1591,2023-08-27 09:42:34,2,-100
1590,2023-08-27 09:42:40,1,-64
1589,2023-08-27 09:42:40,2,-73
1588,2023-08-27 09:43:04,1,-54
1587,2023-08-27 09:43:10,1,-64
1586,2023-08-27 09:44:28,1,-54
1585,2023-08-27 09:44:34,1,-64
1584,2023-08-27 09:44:52,1,-54
1583,2023-08-27 09:45:10,1,-64
1582,2023-08-27 09:45:16,1,-54
1581,2023-08-27 09:45:28,1,-61
1580,2023-08-27 09:46:22,1,-54
1579,2023-08-27 09:46:40,1,-60
1578,2023-08-27 09:46:46,1,-54
1577,2023-08-27 09:46:52,1,-60
1576,2023-08-27 09:46:58,1,-54
1575,2023-08-27 09:47:04,2,-100
1574,2023-08-27 09:47:10,2,-76
1573,2023-08-27 09:49:22,1,-64
1572,2023-08-27 09:49:28,1,-54
1571,2023-08-27 09:49:40,1,-64
1570,2023-08-27 09:50:52,1,-54
1569,2023-08-27 09:50:58,1,-64
1568,2023-08-27 09:51:28,1,-54
1567,2023-08-27 09:51:34,1,-64
1566,2023-08-27 09:52:16,1,-54
1565,2023-08-27 09:52:22,1,-64
1564,2023-08-27 09:53:58,2,-100
1563,2023-08-27 09:54:04,2,-74
1562,2023-08-27 09:55:10,1,-54
1561,2023-08-27 09:55:47,1,-61
1560,2023-08-27 09:55:53,1,-54
1559,2023-08-27 09:55:59,1,-64
1558,2023-08-27 09:56:23,2,-100
1557,2023-08-27 09:56:35,2,-73
1556,2023-08-27 09:56:41,1,-55
1555,2023-08-27 09:56:53,1,-64
1554,2023-08-27 09:57:05,1,-54
1553,2023-08-27 09:57:11,1,-61
1552,2023-08-27 09:57:29,1,-54
1551,2023-08-27 09:57:59,1,-64
1550,2023-08-27 09:58:29,1,-54
1549,2023-08-27 09:58:35,1,-61
1548,2023-08-27 09:58:47,1,-54
1547,2023-08-27 09:58:53,1,-61
1546,2023-08-27 09:58:59,1,-54
1545,2023-08-27 10:00:35,1,-60
1544,2023-08-27 10:00:53,1,-54
1543,2023-08-27 10:01:11,1,-64
1542,2023-08-27 10:03:17,1,-54
1541,2023-08-27 10:03:23,1,-60
1540,2023-08-27 10:03:41,1,-54
1539,2023-08-27 10:03:47,1,-60
1538,2023-08-27 10:04:59,1,-54
1537,2023-08-27 10:05:11,1,-64
1536,2023-08-27 10:07:41,1,-54
1535,2023-08-27 10:07:48,1,-61
1534,2023-08-27 10:07:54,1,-54
1533,2023-08-27 10:08:06,1,-61
1532,2023-08-27 10:08:12,1,-54
1531,2023-08-27 10:09:00,1,-64
1530,2023-08-27 10:09:06,1,-54
1529,2023-08-27 10:09:12,1,-64
1528,2023-08-27 10:09:24,1,-54
1527,2023-08-27 10:09:36,1,-64
1526,2023-08-27 10:09:36,2,-100
